sample_id,page_id,document_id,doc_key,title,page_label,text_length,disposition_code,batch7_bucket,image_path_resolved,page_url,text_excerpt,check_items,human_result,human_reviewer,human_reviewed_at,human_notes
S13-11,20462,1427,domestic-ocr/S3:domestic:NLC:minmeng-yanlunji-1945-whole,《中國民主同盟言論集》,page-0001,57,D4_COVER_TITLE,Q3_OCR_SUSPECT,/Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC511-027032016010761-42571/ocr/page-0001.ocr.md,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC511-027032016010761-42571/ocr/page-0001.ocr.md#text,中国民主同盟言论集 时事研究社出版 章专 店曹华 <!-- month-task-ocr-complete -->,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-12,17505,1246,domestic-page/NLC404-00J001436-85454,《民憲》第二卷第一期,71,106,D5_AD_OR_CARTOON,Q5_SHORT_REVIEW,/Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC404-00J001436-85454/images/page-0071.png,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/data/domestic/press_scans/NLC404-00J001436-85454_民憲_第二卷第一期.pdf#page=71,堂安永標虎 种四药良名馳 各大藥房 水 粉丹油 清祛 一頭 化止 百搽 均有代售 腸 風 服痛 氣渴 病食 健 降 郎牙 辟止 可兼 胃 止痛疫咳 治宜 行旅家居 備不可不 號十街正池花蓮崗星七：址廠 廠藥製慶重,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-13,18463,1242,domestic-page/SSID-13679264,《觀察》第三卷第一至十二期合订本,17,104,D5_AD_OR_CARTOON,Q5_SHORT_REVIEW,/Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/SSID-13679264/images/page-0017.png,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/data/domestic/press_scans/SSID-13679264_观察_第3卷第1-12期.pdf#page=17,一第卷三第 中空 (轉) DETROIT FREE PRESS 抗 TRAPEZE ... BE THERE! 政府题 中国 画 贊成的舉手 方成 稿投迎歡 良馴很在現牠，緊要不 民意 方部 作樺李 後以釋被,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-14,16778,1285,domestic-page/NLC404-01J000514-10484,《光明報》1948 年1卷1期,1,116,D6_OCR_GARBLED,Q5_SHORT_REVIEW,/Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC404-01J000514-10484/images/page-0001.png,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/data/domestic/press_scans/NLC404-01J000514-10484_光明報_1948年1卷1期.pdf#page=1,Kwong ming Pao MAY1 9 1919 國新社 郭沫若： 卷 新 求和空氣籠罩南京（政治通訊） 駁胡適國際形勢裏的兩個問題 麦 中 自由 ?護救去死買何為 ？「胡」假？強「胡 谷 米 ！梁「胡與「胡」問精？無已藏軍將知,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-15,18605,1242,domestic-page/SSID-13679264,《觀察》第三卷第一至十二期合订本,159,115,D6_OCR_GARBLED,Q5_SHORT_REVIEW,/Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/SSID-13679264/images/page-0159.png,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/data/domestic/press_scans/SSID-13679264_观察_第3卷第1-12期.pdf#page=159,13 ·期七第卷三第 登定贸 、2基 部 盡蠟殘更 方分 RUSSIAN SIDE WESTERN SIDE GERMANY 1霉倒，嘿嘿 (轉載 NEW HAMPSHIRE 作揚可楊 (刻木)状告路攔 MORNING UNIN),影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-16,20148,1304,domestic-ocr/S3:domestic:NLC:minmeng-wenxian-1946-situation-declaration-1945-01-15,时局宣言,page-0029,113,D6_OCR_GARBLED,Q5_SHORT_REVIEW,/Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC416-01jh004281-12557/ocr/page-0029.ocr.md,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC416-01jh004281-12557/ocr/page-0029.ocr.md#text,计与其空谈还政于民何如实行与民合作以免自误误国之为愈也邦人君子幸共图之 词以布观听则不惟当前一切困难间题无从解决整个国家民族且有陷于分裂破碎之处为国民党 一21 <!-- month-task-ocr-complete -->,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-17,20326,1342,domestic-ocr/S3:domestic:NLC:guangmingbao-1948-1949-v1n12,《光明報》1948年1卷12期（1948-08-16）,page-0001,57,D6_OCR_GARBLED,Q3_OCR_SUSPECT,/Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC404-01J000514-10514/ocr/page-0001.ocr.md,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC404-01J000514-10514/ocr/page-0001.ocr.md#text,东至旅汽 4三 12 D 日六十月八年七 武客容 <!-- month-task-ocr-complete -->,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-18,16714,1288,domestic-page/NLC404-01J000514-10515,《光明報》1949 年2卷1期,1,101,D7_SHORT_BODY_CANDIDATE,Q5_SHORT_REVIEW,/Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC404-01J000514-10515/images/page-0001.png,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/data/domestic/press_scans/NLC404-01J000514-10515_光明報_1949年2卷1期.pdf#page=1,朝明光 MAY10 1949 人民反對掠奪 中國人民對南京新剝 新政協問題筆談 卷期 新第 削措施的鬥爭任務 者 筆 執 張 馮 李文宜 馬叙倫 羅子爲 素 陶 文 2 沈志遠 (通旺) 立北平國 i藏,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-19,17625,1293,domestic-page/NLC416-01jh004281-12557,《民主同盟文獻》1946,13,82,D7_SHORT_BODY_CANDIDATE,Q5_SHORT_REVIEW,/Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC416-01jh004281-12557/images/page-0013.png,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/data/domestic/sourcebooks/NLC416-01jh004281-12557_民主同盟文獻_1946.pdf#page=13,十在當前政務上函應注寬下列各項一勵行後方節約運動切實改善前方待遇 察機關切實爲各稱行政上弊端之澄清。 二糾正各種行政上妨礙生產之措施以蘇民困井力牒民生之改善三健全監,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-20,17641,1293,domestic-page/NLC416-01jh004281-12557,《民主同盟文獻》1946,29,80,D7_SHORT_BODY_CANDIDATE,Q5_SHORT_REVIEW,/Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC416-01jh004281-12557/images/page-0029.png,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/data/domestic/sourcebooks/NLC416-01jh004281-12557_民主同盟文獻_1946.pdf#page=29,計與其空談還政於民何如實行與民合作以免自誤誤國之爲愈也邦人君子幸共圖之 詞以佈觀聽則不惟當前一切困難間題無從解決整個國家民族且有陷於分裂破碎之處爲國民黨 一21,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-21,17772,1293,domestic-page/NLC416-01jh004281-12557,《民主同盟文獻》1946,160,94,D7_SHORT_BODY_CANDIDATE,Q5_SHORT_REVIEW,/Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC416-01jh004281-12557/images/page-0160.png,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/data/domestic/sourcebooks/NLC416-01jh004281-12557_民主同盟文獻_1946.pdf#page=160,那無異破大局。 20。 共也不是反對民盟那是國民黨在政治上不肯讓步以求得交換之成功以遂其破壞政協之私圖 末了一句話根據以上說明國民黨必須儘量做讓共產黨放心的事若自己不肯在政治上讓步 152,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-22,17802,1294,domestic-page/NLC511-027032013012333-19131,《民主同盟文獻》另一扫描本,14,83,D7_SHORT_BODY_CANDIDATE,Q5_SHORT_REVIEW,/Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC511-027032013012333-19131/images/page-0014.png,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/data/domestic/sourcebooks/NLC511-027032013012333-19131_民主同盟文獻_alternate_scan.pdf#page=14,十在當前政務上亟應注意下列各項一勵行後方節約運動切實改善前方待遇 察機關，切實爲各種行政上弊端之澄清。 二糾正各種行政上妨礙生產之措施以蘇民困井力謀民生之改善三健全監,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
