candidate_id,repository_code,canonical_institution,institution_type,source_family,authority_level,material_type,material_class,source_kind,document_date_raw,date_iso_start,date_iso_end,date_precision,evidence_level_final,evidence_level_proposed,availability,access_mode,review_status
domestic:SAAC:catalog-05-05_60,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,汇编/出版物收录,汇编,archive_scan,1949-09-26,1949-09-26,1949-09-26,day,L1,L1,surrogate_online,open,accepted
domestic:HE:zhongguo-minmengtongmeng-shijiazhuang-shi-zhi-2013,HE,河北人民出版社/民盟石家庄市委,出版社/民盟,政协/统一战线/官方媒体,B,其他/未分类,待定,other,2013-05,2013-05,2013-05,month,L3,L3,catalogue_only_online,open,accepted
domestic:NLC:guangmingbao-1947-issue14-li-boqiu-plenum-gains,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1947-01-28,1947-01-28,1947-01-28,day,L1,L1,full_item_online,open,accepted
domestic:MMC:lijie-zhongyang-weiyuanhui-index,MMC,民盟中央委员会官网,民盟系统,民盟自身与盟史,A,汇编/出版物收录,汇编,book_or_assembly,2026,2026,2026,year,L2,L2,catalogue_only_online,open,accepted
domestic:SAAC:1949-09-21-05,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-09-21,1949-09-21,1949-09-21,day,L1,L1,surrogate_online,open,accepted
domestic:SAAC:catalog-06-06_07,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,汇编/出版物收录,汇编,archive_scan,1949-10-01,1949-10-01,1949-10-01,day,L1,L1,surrogate_online,open,accepted
domestic:CPPCC:liang-shuming-guangmingbao-founding-2020,CPPCC,全国政协网站,政协系统,政协/统一战线/官方媒体,A,官方出版物,汇编,official_publication,,,,empty,L4,L4,full_item_online,open,accepted
domestic:NLC:guangmingbao-1947-issue22-one-falls-thousands-rise-lu,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1947-08-01,1947-08-01,1947-08-01,day,L1,L1,full_item_online,open,accepted
domestic:NLC:guangmingbao-1946-issue06,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1946-11-08,1946-11-08,1946-11-08,day,L1,L1,full_item_online,open,accepted
domestic:SAAC:catalog-02-02_03,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,汇编/出版物收录,汇编,archive_scan,1949-06-15,1949-06-15,1949-06-15,day,L1,L1,surrogate_online,open,accepted
domestic:SAAC:51koukou-p05-dde08-i3,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-09-21,1949-09-21,1949-09-21,day,L2,L2,full_item_online,open,accepted
domestic:BJMM:website-anchor,BJMM,民盟北京市委员会(bjmm.org.cn),民盟省市委,民盟自身与盟史,B,官方史志/官网二次叙述,二手,official_history_page,2024,2024,2024,year,L2,L2,full_item_online,open,accepted
domestic:MM1941:outline-1937-jiuguohui-jiguan-bao,MM1941,《民盟历史文献全媒体数据库》minmeng1941.cn,民盟系统非官方数据库,民盟自身与盟史,C,汇编/出版物收录,汇编,book_or_assembly,1937,1937,1937,year,L3,L3,catalogue_only_online,login,accepted
domestic:SAAC:1949-index-c06,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-09-21,1949-09-21,1949-09-21,day,L1,L1,surrogate_online,open,accepted
domestic:MM1941:outline-shaanxi-sheng-zhibu-choubei-weiyuanhui-mingdan,MM1941,《民盟历史文献全媒体数据库》minmeng1941.cn,民盟系统非官方数据库,民盟自身与盟史,C,汇编/出版物收录,汇编,book_or_assembly,1942,1942,1942,year,L3,L3,catalogue_only_online,login,accepted
domestic:NLC:minxian-85454-1945-05-15,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1945-05-15,1945-05-15,1945-05-15,day,L1,L1,full_item_online,open,accepted
domestic:WS:pcc-national-assembly-resolution-1946,WS,维基文库/公网数据库,公共网络资源,公共数字化/学术/海外,C,网页转述/转录,二手,web_transcription,1946,1946,1946,year,LX,LX,full_item_online,open,accepted
domestic:MX:wang-lingu-1942-art-troupe,MX,民盟上海市委《盟贤》内部汇编,民盟系统内部资料,民盟自身与盟史,B,汇编/出版物收录,汇编,press_scan,2024,2024,2024,year,L3,L3,not_online,offline,needs_human_review
domestic:NLC:guangmingbao-1947-issue18-peng-zemin-statement,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1947-05-14,1947-05-14,1947-05-14,day,L1,L1,full_item_online,open,accepted
domestic:SAAC:51koukou-p01-dde21,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-06-21,1949-06-21,1949-06-21,day,L2,L2,full_item_online,open,accepted
domestic:NGD:jie-fang-qian-jiao-tuan-ji-fengyun,NGD,农工党中央委员会,民主党派系统,政协/统一战线/官方媒体,B,官方出版物,汇编,official_publication,2024,2024,2024,year,L2,L2,full_item_online,open,accepted
domestic:NLC:guangmingbao-1948-1949-v1n12,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1948-08-16,1948-08-16,1948-08-16,day,L1,L1,full_item_online,open,accepted
domestic:SAAC:catalog-02-02_06,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,汇编/出版物收录,汇编,archive_scan,1949-06-15,1949-06-15,1949-06-15,day,L1,L1,surrogate_online,open,accepted
domestic:WM:1945-liucanzhengyuan-fangwen-yanan,WM,Wikimedia Commons 民国人物/盟史分类,国际公共数字资源,公共数字化/学术/海外,B,报刊原刊扫描（原件）,一手,press_scan,1945,1945,1945,year,L2,L2,full_item_online,open,accepted
domestic:SAAC:51koukou-p06-dde09-f1,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-10-01,1949-10-01,1949-10-01,day,L2,L2,full_item_online,open,accepted
domestic:SAAC:1949-index-c20,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-09-23,1949-09-23,1949-09-23,day,L1,L1,surrogate_online,open,accepted
domestic:SHCM:revolutionary-relics-1945-minmeng-platform,SHCM,中共一大纪念馆,文博系统,其他,B,官方史志/官网二次叙述,二手,official_history_page,1945-10,1945-10,1945-10,month,L3,L3,catalogue_only_online,reading_room,accepted
domestic:MGCH:TJPRESS-minjizhongtian-zhuguan,MGCH,团结出版社(民革中央直属),民主党派系统出版机构,政协/统一战线/官方媒体,B,汇编/出版物收录,汇编,other,1987-12-25,1987-12-25,1987-12-25,day,L2,L2,catalogue_only_online,open,accepted
domestic:NLC:guangmingbao-1947-issue14-pcc-anniversary-editorial,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1947-01-28,1947-01-28,1947-01-28,day,L1,L1,full_item_online,open,accepted
domestic:MMHIST:huang-yan-pei-constitution-draft-1946-01-19,MMHIST,民盟中央文史资料委员会/马恩主义文库汇编,民盟系统,民盟自身与盟史,B,汇编/出版物收录,汇编,book_or_assembly,1946-01-19,1946-01-19,1946-01-19,day,L2,L2,surrogate_online,open,accepted
domestic:FRUS:1943-07-31-d232-ringwalt-liang-shuming-interview,FRUS,美国国务院 FRUS 外交档案(民盟项目组编),境外档案,公共数字化/学术/海外,A,汇编/出版物收录,汇编,book_or_assembly,1943-07-31,1943-07-31,1943-07-31,day,L2,L3,full_item_online,open,accepted
domestic:MM1941:outline-1937-06-24-qijunzi-shangsu,MM1941,《民盟历史文献全媒体数据库》minmeng1941.cn,民盟系统非官方数据库,民盟自身与盟史,C,汇编/出版物收录,汇编,,1937-06-24,1937-06-24,1937-06-24,day,L3,L3,catalogue_only_online,login,accepted
domestic:SAAC:catalog-01-01_21,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,汇编/出版物收录,汇编,archive_scan,1949-06-21,1949-06-21,1949-06-21,day,L1,L1,surrogate_online,open,accepted
domestic:SAAC:51koukou-p02-dde06-f1,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-06,1949-06,1949-06,month,L2,L2,full_item_online,open,accepted
domestic:GMD:2022-12-22-zhongguo-minmeng-baojing,GMD,光明日报(gmw.cn),官方媒体,政协/统一战线/官方媒体,B,官方出版物,汇编,official_publication,2022-12-22,2022-12-22,2022-12-22,day,L2,L2,full_item_online,open,accepted
domestic:93JS:lead-历史的必然-郑重的选择-中共中央发布-五一口号-的历史由,93JS,九三学社中央委员会,民主党派系统,政协/统一战线/官方媒体,B,其他/未分类,待定,other,1948-05,1948-05,1948-05,month,L4,L4,full_item_online,open,accepted
domestic:NLC:guangmingbao-1948-1949-v2n1,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1949-01-10,1949-01-10,1949-01-10,day,L1,L1,full_item_online,open,accepted
domestic:NLC:guangmingbao-1947-issue22-fight-for-human-rights-editorial,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1947-08-01,1947-08-01,1947-08-01,day,L1,L1,full_item_online,open,accepted
domestic:SAAC:51koukou-p06-dde11-f1,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-10-01,1949-10-01,1949-10-01,day,L2,L2,full_item_online,open,accepted
domestic:GXMM:dagongbao-1947-10-30-ban-activities,GXMM,民盟广西区委,民盟省市委,民盟自身与盟史,B,官方史志/官网二次叙述,二手,official_history_page,1947-10-30,1947-10-30,1947-10-30,day,L4,L4,catalogue_only_online,open,accepted
domestic:SAAC:1949-index-c13,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-09-22,1949-09-22,1949-09-22,day,L1,L1,surrogate_online,open,accepted
domestic:SAAC:catalog-01-01_11,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,汇编/出版物收录,汇编,archive_scan,1948-11-20,1948-11-20,1948-11-20,day,L1,L1,surrogate_online,open,accepted
domestic:GMD:2017-12-07-xinwen-beijing-zhongguo-minmeng,GMD,光明日报(gmw.cn),官方媒体,政协/统一战线/官方媒体,B,官方出版物,汇编,official_publication,2017-12-07,2017-12-07,2017-12-07,day,L2,L2,full_item_online,open,accepted
domestic:SAAC:1949-index-c25,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-09-24,1949-09-24,1949-09-24,day,L1,L1,surrogate_online,open,accepted
domestic:SAAC:51koukou-p02-dde04-f1,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-06,1949-06,1949-06,month,L2,L2,full_item_online,open,accepted
domestic:MG:minge-gov-cn-history-1948-hongkong,MG,民革中央委员会,民主党派系统,政协/统一战线/官方媒体,B,其他/未分类,待定,other,1948-01-01,1948-01-01,1948-01-01,day,L2,L2,full_item_online,open,accepted
domestic:NLC:guangmingbao-1947-19-article-05,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1947-10-28,1947-10-28,1947-10-28,day,L1,L1,full_item_online,open,accepted
domestic:SAAC:51koukou-p05-dde02,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-09-21,1949-09-21,1949-09-21,day,L2,L2,full_item_online,open,accepted
domestic:FRUS:1943-09-18-d272-atcheson-federation-platform,FRUS,美国国务院 FRUS 外交档案(民盟项目组编),境外档案,公共数字化/学术/海外,A,汇编/出版物收录,汇编,book_or_assembly,1943-09-18,1943-09-18,1943-09-18,day,L2,L3,full_item_online,open,accepted
domestic:SAAC:catalog-03-03_04_01,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,汇编/出版物收录,汇编,archive_scan,1949-06-18,1949-06-18,1949-06-18,day,L1,L1,surrogate_online,open,accepted
domestic:SAAC:catalog-03-03_04_03,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,汇编/出版物收录,汇编,archive_scan,1949-07-20,1949-07-20,1949-07-20,day,L1,L1,surrogate_online,open,accepted
domestic:WM:1946-taoxingzhi-zangli,WM,Wikimedia Commons 民国人物/盟史分类,国际公共数字资源,公共数字化/学术/海外,B,报刊原刊扫描（原件）,一手,press_scan,1946-11,1946-11,1946-11,month,L2,L2,full_item_online,open,accepted
domestic:MMHIST:lo-lung-chi-common-program-1946-01-16,MMHIST,民盟中央文史资料委员会/马恩主义文库汇编,民盟系统,民盟自身与盟史,B,汇编/出版物收录,汇编,book_or_assembly,1946-01-16,1946-01-16,1946-01-16,day,L2,L2,surrogate_online,open,accepted
domestic:MM1941:outline-1942-1949-xian-minmeng-xibei-zongzhibu-mimi-huodongdi,MM1941,《民盟历史文献全媒体数据库》minmeng1941.cn,民盟系统非官方数据库,民盟自身与盟史,C,汇编/出版物收录,汇编,book_or_assembly,1942-1949,1942,1949,range,L3,L3,catalogue_only_online,login,accepted
domestic:SH:2010-01-10-zhenxie-huifu,SH,搜狐网,商业媒体,其他,C,其他/未分类,待定,other,2010-01-10,2010-01-10,2010-01-10,day,L2,L2,full_item_online,open,accepted
domestic:SAAC:catalog-02-02_15,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,汇编/出版物收录,汇编,archive_scan,1949-07-11,1949-07-11,1949-07-11,day,L1,L1,surrogate_online,open,accepted
domestic:GXMM:dagongbao-1947-10-28-illegal-declaration,GXMM,民盟广西区委,民盟省市委,民盟自身与盟史,B,官方史志/官网二次叙述,二手,official_history_page,1947-10-28,1947-10-28,1947-10-28,day,L4,L4,catalogue_only_online,open,accepted
domestic:SAAC:1949-item-a09,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-09-27,1949-09-27,1949-09-27,day,L1,L1,surrogate_online,open,accepted
domestic:SAAC:catalog-03-03_02_02,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,汇编/出版物收录,汇编,archive_scan,1949-06-28,1949-06-28,1949-06-28,day,L1,L1,surrogate_online,open,accepted
domestic:SAAC:51koukou-p06-dde07-f1,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-10-01,1949-10-01,1949-10-01,day,L2,L2,full_item_online,open,accepted
domestic:SAAC:51koukou-p06-dde02-f1,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-10-01,1949-10-01,1949-10-01,day,L2,L2,full_item_online,open,accepted
domestic:WM:1946-nierongzhen-tici-li-gongpu,WM,Wikimedia Commons 民国人物/盟史分类,国际公共数字资源,公共数字化/学术/海外,B,报刊原刊扫描（原件）,一手,press_scan,1946,1946,1946,year,L2,L2,full_item_online,open,accepted
domestic:NLC:guangmingbao-1947-12-second-plenum-domestic-situation,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1947-01-08,1947-01-08,1947-01-08,day,L1,L1,full_item_online,open,accepted
domestic:SAAC:51koukou-p05-dde06-i3,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-09-21,1949-09-21,1949-09-21,day,L2,L2,full_item_online,open,accepted
domestic:GXMM:xinminbao-professors-statement-1947-11-04,GXMM,民盟广西区委,民盟省市委,民盟自身与盟史,B,官方史志/官网二次叙述,二手,official_history_page,1947-11-04,1947-11-04,1947-11-04,day,L4,L4,full_item_online,open,accepted
domestic:SAAC:1949-index-c07,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-09-21,1949-09-21,1949-09-21,day,L1,L1,surrogate_online,open,accepted
domestic:NLC:guangmingbao-1946-issue07-shen-zhiyuan-truce-statement-review,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1946-11-18,1946-11-18,1946-11-18,day,L1,L1,full_item_online,open,accepted
domestic:MM1941:outline-1937-06-11-jiangsu-fayuan-shenli,MM1941,《民盟历史文献全媒体数据库》minmeng1941.cn,民盟系统非官方数据库,民盟自身与盟史,C,汇编/出版物收录,汇编,,1937-06-11,1937-06-11,1937-06-11,day,L3,L3,catalogue_only_online,login,accepted
domestic:SAAC:51koukou-p04-dde06-i3,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-06-15,1949-06-15,1949-06-15,day,L2,L2,full_item_online,open,accepted
domestic:SAAC:1949-03-12-01,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-03-12/1949-03-23,1949-03-12,1949-03-23,multi,L1,L1,surrogate_online,open,accepted
domestic:SAAC:51koukou-p02-dde01-f1,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-06,1949-06,1949-06,month,L2,L2,full_item_online,open,accepted
domestic:MMC:zhangcheng-latest,MMC,民盟中央委员会官网,民盟系统,民盟自身与盟史,A,汇编/出版物收录,汇编,book_or_assembly,2024,2024,2024,year,L2,L2,full_item_online,open,accepted
domestic:WM:1949-xinzhengxie-choubeihui-changwei-heying,WM,Wikimedia Commons 民国人物/盟史分类,国际公共数字资源,公共数字化/学术/海外,B,报刊原刊扫描（原件）,一手,press_scan,1949,1949,1949,year,L2,L2,full_item_online,open,accepted
domestic:SAAC:catalog-03-03_01_01,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,汇编/出版物收录,汇编,archive_scan,1949-06-17,1949-06-17,1949-06-17,day,L1,L1,surrogate_online,open,accepted
domestic:NLC:minmeng-wenxian-1946-whole,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,汇编/出版物收录,汇编,press_scan,1946-12,1946-12,1946-12,month,L2,L2,full_item_online,open,accepted
domestic:SAAC:51koukou-p01-dde07,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1948-10-01,1948-10-01,1948-10-01,day,L2,L2,full_item_online,open,accepted
domestic:MMZY:lead-楚图南-民盟文章,MMZY,民盟中央委员会,民盟系统,民盟自身与盟史,A,汇编/出版物收录,汇编,book_or_assembly,1945—1949,1945,1949,range,L4,L4,full_item_online,open,accepted
domestic:NLC:minxian-85445-1944-06-30,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1944-06-30,1944-06-30,1944-06-30,day,L1,L1,full_item_online,open,accepted
domestic:MM1941:platform-anchor-minmeng1941-cn,MM1941,《民盟历史文献全媒体数据库》minmeng1941.cn,民盟系统非官方数据库,民盟自身与盟史,C,汇编/出版物收录,汇编,book_or_assembly,2026,2026,2026,year,L3,L3,catalogue_only_online,login,accepted
domestic:NLC:guangmingbao-1947-12-oppose-us-atrocities-shanghai,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1947-01-08,1947-01-08,1947-01-08,day,L1,L1,full_item_online,open,accepted
domestic:NLC:guangmingbao-1947-issue22-learn-taofen-spirit-hu,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1947-08-01,1947-08-01,1947-08-01,day,L1,L1,full_item_online,open,accepted
domestic:SAAC:catalog-02-02_13,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,汇编/出版物收录,汇编,archive_scan,1949-06-19,1949-06-19,1949-06-19,day,L1,L1,surrogate_online,open,accepted
domestic:MMHIST:yannan-meeting-minutes-1945-07-04,MMHIST,民盟中央文史资料委员会/马恩主义文库汇编,民盟系统,民盟自身与盟史,B,汇编/出版物收录,汇编,book_or_assembly,1945-07-01/1945-07-04,1945-07-01,1945-07-04,multi,L2,L2,catalogue_only_online,open,accepted
domestic:NLC:guangmingbao-1946-issue11-china-at-1947-threshold,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1946-09-13,1946-09-13,1946-09-13,day,L1,L1,full_item_online,open,accepted
domestic:CPC:2024-09-30-fengyutongzhou-gongyi-guoshi,CPC,中国共产党新闻网,官方媒体,政协/统一战线/官方媒体,B,官方出版物,汇编,official_publication,2024-09-30,2024-09-30,2024-09-30,day,L2,L2,full_item_online,open,accepted
domestic:SAAC:1949-09-30-03,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-09-30,1949-09-30,1949-09-30,day,L1,L1,surrogate_online,open,accepted
domestic:SAAC:catalog-03-03_06_09,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,汇编/出版物收录,汇编,archive_scan,1949-09,1949-09,1949-09,month,L1,L1,surrogate_online,open,accepted
domestic:NLC:guangmingbao-1947-issue15-huang-yaomian-pcc-line,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1947-02-08,1947-02-08,1947-02-08,day,L1,L1,full_item_online,open,accepted
domestic:SHDPZ:zlc-characters-line79-liu-simou-1942-return,SHDPZ,上海市地方志办公室,地方志机构,政协/统一战线/官方媒体,A,报刊原刊扫描（原件）,一手,press_scan,2020-10-18,2020-10-18,2020-10-18,day,L3,L3,not_online,offline,needs_human_review
domestic:NLC:guangmingbao-1946-issue11-truman-december-18-statement,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1946-09-13,1946-09-13,1946-09-13,day,L1,L1,full_item_online,open,accepted
domestic:SHDPZ:zlc-characters-line527-shang-ding-1943-join,SHDPZ,上海市地方志办公室,地方志机构,政协/统一战线/官方媒体,A,报刊原刊扫描（原件）,一手,press_scan,2020-10-18,2020-10-18,2020-10-18,day,L3,L3,not_online,offline,needs_human_review
domestic:MMSH:web-leaders,MMSH,民盟上海市委,民盟省市委,民盟自身与盟史,B,其他/未分类,待定,,,,,empty,L4,L4,full_item_online,open,accepted
domestic:SHAC:6-5-1216-meng-illegal-transfer-1947,SHAC,上海市档案馆,地方档案馆,国内党政机关与档案馆,A,其他/未分类,待定,other,1947-11-11,1947-11-11,1947-11-11,day,L4,L4,catalogue_only_online,open,accepted
domestic:LNU:guangmingbao-index-1941,LNU,岭南大学数字典藏,高校/学术机构,公共数字化/学术/海外,A,官方史志/官网二次叙述,二手,official_history_page,1941-10/1941-11,1941-10,1941-11,multi,L3,L3,full_item_online,open,accepted
