candidate_id,title,repository_code,proposed_level,accepted_level,disposition,final_level,conclusion,baseline_10_marker
domestic:SHDPZ:printed-page820-zhou-gucheng-federation-consultant-1942,周谷城 1942 年后被聘为民主政团同盟顾问条目（《上海民主党派志》印刷厂验收稿正文）,SHDPZ,L3,,保留为二手方志证据,L4,同上：周谷城 1942 任民主政团同盟顾问,需确认
domestic:MX:cheng-boren-1942-join-northwest-org,成柏仁 1942 年加入民盟条目（《盟贤》第 47 页）,MX,L3,,保留为内部汇编线索,L4,《盟贤》内部传记汇编（非正式出版物）；成柏仁 1942 入盟，二手证据,需确认
domestic:MX:shang-ding-1943-11-join-mengxian,尚丁 1943 年 11 月加入民盟条目（《盟贤》第 63 页；与 SHDPZ 印刷厂正文 1943-10 互证）,MX,L3,,保留为内部汇编线索,L4,同上：尚丁 1943-11 入盟；与 SHDPZ/RCL 多条互为印证,需确认
domestic:MX:ding-cong-1942-chongqing-artist,丁聪 1942 年在桂林/重庆/成都/昆明美术设计活动条目（《盟贤》第 158 页）,MX,L3,,保留为人物背景线索,L4,丁聪 1942 艺术活动条目，非民盟组织证据，仅人物背景,需确认
domestic:MX:shang-ding-1942-journalist-secretary,尚丁 1942 年任黄炎培秘书 + 政团同盟组织协调条目（《盟贤》第 63 页，1942 关键人物活动）,MX,L3,,保留为内部汇编线索,L4,尚丁 1942 任黄炎培秘书+组织协调条目，二手,需确认
domestic:MX:wang-lingu-1942-art-troupe,王林谷 1942 年入中国艺术剧社条目（《盟贤》，1946-12 入盟）,MX,L3,,保留为人物背景线索,L4,王林谷 1942 中国艺术剧社条目（1946-12 才入盟），非民盟 1942 证据,需确认
domestic:MX:lu-jinhua-1942-yueju-troupe,陆锦花 1942 年入袁雪芬领衔大来剧场条目（《盟贤》，1956-10 入盟）,MX,L3,,保留为人物背景线索,L4,陆锦花 1942 越剧条目（1956 入盟），非民盟 1942 证据，低相关,需确认
domestic:RCL:wenliangmo-1942-join-national-anthem,刘良模 1942 年加入民盟条目（《民盟代表人士资料汇编·文化篇》）,RCL,L3,,保留为内部汇编线索,L4,《民盟代表人士资料汇编》人物条目（刘良模 1942 入盟），内部资料二手,需确认
domestic:RCL:textile-engineer-1943-12-join,纺织工程专家 1943 年 12 月加入民盟条目（《民盟代表人士资料汇编·科技篇》）,RCL,L3,,保留为内部汇编线索,L4,同上：纺织专家 1943-12 入盟条目（人名待补），二手,需确认
domestic:RCL:qian-weichang-1942-phd-meng-vice-chairman,钱伟长 1942 年获多伦多大学博士学位条目（《民盟代表人士资料汇编·领导篇》，1952 入盟，1983-1996 民盟,RCL,L3,,保留为人物背景线索,L4,钱伟长 1942 获博士条目（人物经历，非入盟时间证据），低相关,需确认
domestic:MM1941:outline-1937-06-07-qijunzi-bianhu,1937-06-07 七君子和 21 位辩护律师合影,MM1941,L3,,归档为背景资料,L4,1937-06-07 七君子辩护律师合影，属 1941 前背景资料，不入 1941—1950 核心证据,需确认
domestic:MM1941:outline-1937-qijunzi-yuzhong-zhao,1937 年救国会七君子在狱中合影,MM1941,L3,,归档为背景资料,L4,1937 七君子狱中合影，同上,需确认
