page_id,document_id,doc_key,title,hit_type,page_label,page_url,text_length,text_excerpt,batch7_bucket,disposition_code,disposition_label,recommended_action,citation_eligible,reocr_priority,citation_ready,needs_human_review,review_status,ocr_engine,ocr_lines,image_path_resolved,image_exists,image_size_bytes,citation_ready_conflict,demote_citation_ready,priority_queue,audited_at
17435,1246,domestic-page/NLC404-00J001436-85454,《民憲》第二卷第一期,domestic_page_ocr,1,file://data/domestic/press_scans/NLC404-00J001436-85454_民憲_第二卷第一期.pdf#page=1,11,年 2 第 卷 第 期,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,保留刊期定位；不作为正文引用,no,0,0,1,unreadable,PaddleOCR 3.7.0,6,work/domestic/month_20260728/pages/NLC404-00J001436-85454/images/page-0001.png,yes,137665,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
17123,1247,domestic-page/NLC404-00J001436-85448,《民憲》第一卷第七期,domestic_page_ocr,1,file://data/domestic/press_scans/NLC404-00J001436-85448_民憲_第一卷第七期.pdf#page=1,11,年 第 卷 7 第 期,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,保留刊期定位；不作为正文引用,no,0,0,1,unreadable,PaddleOCR 3.7.0,6,work/domestic/month_20260728/pages/NLC404-00J001436-85448/images/page-0001.png,yes,131133,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
17174,1248,domestic-page/NLC404-00J001436-85452,《民憲》第一卷第十一期,domestic_page_ocr,1,file://data/domestic/press_scans/NLC404-00J001436-85452_民憲_第一卷第十一期.pdf#page=1,9,年 第 卷 第 期,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,保留刊期定位；不作为正文引用,no,0,0,1,unreadable,PaddleOCR 3.7.0,5,work/domestic/month_20260728/pages/NLC404-00J001436-85452/images/page-0001.png,yes,142053,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
17327,1249,domestic-page/NLC404-00J001436-85446,《民憲》第一卷第五期,domestic_page_ocr,1,file://data/domestic/press_scans/NLC404-00J001436-85446_民憲_第一卷第五期.pdf#page=1,11,年 第 卷 5 第 期,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,保留刊期定位；不作为正文引用,no,0,0,1,unreadable,PaddleOCR 3.7.0,6,work/domestic/month_20260728/pages/NLC404-00J001436-85446/images/page-0001.png,yes,124932,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
17380,1250,domestic-page/NLC404-00J001436-85449,《民憲》第一卷第八期,domestic_page_ocr,1,file://data/domestic/press_scans/NLC404-00J001436-85449_民憲_第一卷第八期.pdf#page=1,11,年 第 卷 8 第 期,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,保留刊期定位；不作为正文引用,no,0,0,1,unreadable,PaddleOCR 3.7.0,6,work/domestic/month_20260728/pages/NLC404-00J001436-85449/images/page-0001.png,yes,133021,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
17074,1251,domestic-page/NLC404-00J001436-85451,《民憲》第一卷第十期,domestic_page_ocr,1,file://data/domestic/press_scans/NLC404-00J001436-85451_民憲_第一卷第十期.pdf#page=1,12,年 第 卷 10 第 期,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,保留刊期定位；不作为正文引用,no,0,0,1,unreadable,PaddleOCR 3.7.0,6,work/domestic/month_20260728/pages/NLC404-00J001436-85451/images/page-0001.png,yes,132551,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
16933,1252,domestic-page/NLC404-00J001436-85443,《民憲》第一卷第二期,domestic_page_ocr,1,file://data/domestic/press_scans/NLC404-00J001436-85443_民憲_第一卷第二期.pdf#page=1,11,年 第 卷 2 第 期,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,保留刊期定位；不作为正文引用,no,0,0,1,unreadable,PaddleOCR 3.7.0,6,work/domestic/month_20260728/pages/NLC404-00J001436-85443/images/page-0001.png,yes,126313,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
16980,1253,domestic-page/NLC404-00J001436-85445,《民憲》第一卷第四期,domestic_page_ocr,1,file://data/domestic/press_scans/NLC404-00J001436-85445_民憲_第一卷第四期.pdf#page=1,9,年 第 卷 第 期,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,保留刊期定位；不作为正文引用,no,0,0,1,unreadable,PaddleOCR 3.7.0,5,work/domestic/month_20260728/pages/NLC404-00J001436-85445/images/page-0001.png,yes,126470,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
17225,1254,domestic-page/NLC404-00J001436-85447,《民憲》第一卷第六期,domestic_page_ocr,1,file://data/domestic/press_scans/NLC404-00J001436-85447_民憲_第一卷第六期.pdf#page=1,11,年 第 卷 第 6 期,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,保留刊期定位；不作为正文引用,no,0,0,1,unreadable,PaddleOCR 3.7.0,6,work/domestic/month_20260728/pages/NLC404-00J001436-85447/images/page-0001.png,yes,129251,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
16843,1255,domestic-page/NLC404-00J001436-85453,《民憲》第一卷第十二期,domestic_page_ocr,1,file://data/domestic/press_scans/NLC404-00J001436-85453_民憲_第一卷第十二期.pdf#page=1,12,年 第 卷 12 第 期,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,保留刊期定位；不作为正文引用,no,0,0,1,unreadable,PaddleOCR 3.7.0,6,work/domestic/month_20260728/pages/NLC404-00J001436-85453/images/page-0001.png,yes,137165,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
17276,1256,domestic-page/NLC404-00J001436-85450,《民憲》第一卷第九期,domestic_page_ocr,1,file://data/domestic/press_scans/NLC404-00J001436-85450_民憲_第一卷第九期.pdf#page=1,11,年 第 卷 9 第 期,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,保留刊期定位；不作为正文引用,no,0,0,1,unreadable,PaddleOCR 3.7.0,6,work/domestic/month_20260728/pages/NLC404-00J001436-85450/images/page-0001.png,yes,128649,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
16888,1257,domestic-page/NLC404-00J001436-85455,《民憲》第二卷第二期,domestic_page_ocr,1,file://data/domestic/press_scans/NLC404-00J001436-85455_民憲_第二卷第二期.pdf#page=1,13,年 2 第 卷 2 期 第,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,保留刊期定位；不作为正文引用,no,0,0,1,unreadable,PaddleOCR 3.7.0,7,work/domestic/month_20260728/pages/NLC404-00J001436-85455/images/page-0001.png,yes,142375,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
17027,1258,domestic-page/NLC404-00J001436-85442,《民憲》第一卷第一期,domestic_page_ocr,1,file://data/domestic/press_scans/NLC404-00J001436-85442_民憲_第一卷第一期.pdf#page=1,9,年 第 卷 第 期,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,保留刊期定位；不作为正文引用,no,0,0,1,unreadable,PaddleOCR 3.7.0,5,work/domestic/month_20260728/pages/NLC404-00J001436-85442/images/page-0001.png,yes,100306,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
16802,1259,domestic-page/NLC404-00J001436-85444,《民憲》第一卷第三期,domestic_page_ocr,1,file://data/domestic/press_scans/NLC404-00J001436-85444_民憲_第一卷第三期.pdf#page=1,11,年 第 卷 3 第 期,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,保留刊期定位；不作为正文引用,no,0,0,1,unreadable,PaddleOCR 3.7.0,6,work/domestic/month_20260728/pages/NLC404-00J001436-85444/images/page-0001.png,yes,126138,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
16694,1286,domestic-page/NLC404-01J000514-10514,《光明報》1948 年1卷12期,domestic_page_ocr,1,file://data/domestic/press_scans/NLC404-01J000514-10514_光明報_1948年1卷12期.pdf#page=1,24,东至旅汽 4三 12 D 日六十月八年七 武客容,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,对照影像判断截断/图注；citation 禁止,no,2,0,1,unreadable,PaddleOCR 3.7.0,6,work/domestic/month_20260728/pages/NLC404-01J000514-10514/images/page-0001.png,yes,3524302,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
19385,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,domestic_page_ocr,39,file://data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf#page=39,7,未识别出文字。,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,对照影像判断截断/图注；citation 禁止,no,2,0,1,unreadable,PaddleOCR 3.7.0,0,work/domestic/month_20260728/pages/SRC-088458899f/images/page-0039.png,yes,9798,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
19386,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,domestic_page_ocr,40,file://data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf#page=40,9,政治协商会议的召开,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,对照影像判断截断/图注；citation 禁止,no,2,0,1,unreadable,PaddleOCR 3.7.0,1,work/domestic/month_20260728/pages/SRC-088458899f/images/page-0040.png,yes,26082,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
19387,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,domestic_page_ocr,41,file://data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf#page=41,1,：,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,对照影像判断截断/图注；citation 禁止,no,2,0,1,unreadable,PaddleOCR 3.7.0,1,work/domestic/month_20260728/pages/SRC-088458899f/images/page-0041.png,yes,9654,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
19931,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,domestic_page_ocr,585,file://data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf#page=585,7,未识别出文字。,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,对照影像判断截断/图注；citation 禁止,no,2,0,1,unreadable,PaddleOCR 3.7.0,0,work/domestic/month_20260728/pages/SRC-088458899f/images/page-0585.png,yes,9348,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
19932,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,domestic_page_ocr,586,file://data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf#page=586,14,国民党对 《政协决议》的破坏,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,对照影像判断截断/图注；citation 禁止,no,2,0,1,unreadable,PaddleOCR 3.7.0,2,work/domestic/month_20260728/pages/SRC-088458899f/images/page-0586.png,yes,32334,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
19933,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,domestic_page_ocr,587,file://data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf#page=587,7,未识别出文字。,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,对照影像判断截断/图注；citation 禁止,no,2,0,1,unreadable,PaddleOCR 3.7.0,0,work/domestic/month_20260728/pages/SRC-088458899f/images/page-0587.png,yes,9483,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
20048,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,domestic_page_ocr,702,file://data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf#page=702,5,三 回忆录,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,对照影像判断截断/图注；citation 禁止,no,2,0,1,unreadable,PaddleOCR 3.7.0,2,work/domestic/month_20260728/pages/SRC-088458899f/images/page-0702.png,yes,17790,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
20049,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,domestic_page_ocr,703,file://data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf#page=703,7,未识别出文字。,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,对照影像判断截断/图注；citation 禁止,no,2,0,1,unreadable,PaddleOCR 3.7.0,0,work/domestic/month_20260728/pages/SRC-088458899f/images/page-0703.png,yes,9276,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
20135,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,domestic_page_ocr,789,file://data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf#page=789,7,未识别出文字。,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,对照影像判断截断/图注；citation 禁止,no,2,0,1,unreadable,PaddleOCR 3.7.0,0,work/domestic/month_20260728/pages/SRC-088458899f/images/page-0789.png,yes,10275,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
19346,1291,domestic-page/SRC-257bb7be70,《中国民主同盟历史文献 1941—1949》公开扫描,domestic_page_ocr,622,file://data/domestic/sourcebooks/中国民主同盟历史文献_1941-1949_公开扫描.pdf#page=622,14,封面 书名 版权 前筒 正文,Q3_OCR_SUSPECT,D4_COVER_TITLE,封面/版权/题名页短文本,结构保留；citation 禁止（可用作题名辅助）,no,0,0,1,unreadable,PaddleOCR 3.7.0,5,work/domestic/month_20260728/pages/SRC-257bb7be70/images/page-0622.png,yes,58878,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
17506,1292,domestic-page/NLC511-027032016010761-42571,《中国民主同盟言论集》,domestic_page_ocr,1,file://data/domestic/sourcebooks/NLC511-027032016010761-42571_中国民主同盟言论集.pdf#page=1,24,中國民主同盟言論集 時事研究社出版 章專 店曹華,Q3_OCR_SUSPECT,D4_COVER_TITLE,封面/版权/题名页短文本,结构保留；citation 禁止（可用作题名辅助）,no,0,0,1,unreadable,PaddleOCR 3.7.0,4,work/domestic/month_20260728/pages/NLC511-027032016010761-42571/images/page-0001.png,yes,772076,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
17610,1292,domestic-page/NLC511-027032016010761-42571,《中国民主同盟言论集》,domestic_page_ocr,105,file://data/domestic/sourcebooks/NLC511-027032016010761-42571_中国民主同盟言论集.pdf#page=105,11,100 香姐 H 漢D,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,对照影像判断截断/图注；citation 禁止,no,2,0,1,unreadable,PaddleOCR 3.7.0,4,work/domestic/month_20260728/pages/NLC511-027032016010761-42571/images/page-0105.png,yes,30868,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
17612,1292,domestic-page/NLC511-027032016010761-42571,《中国民主同盟言论集》,domestic_page_ocr,107,file://data/domestic/sourcebooks/NLC511-027032016010761-42571_中国民主同盟言论集.pdf#page=107,10,香 牌D 年基本定價,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,对照影像判断截断/图注；citation 禁止,no,2,0,1,unreadable,PaddleOCR 3.7.0,3,work/domestic/month_20260728/pages/NLC511-027032016010761-42571/images/page-0107.png,yes,664650,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
17613,1293,domestic-page/NLC416-01jh004281-12557,《民主同盟文獻》1946,domestic_page_ocr,1,file://data/domestic/sourcebooks/NLC416-01jh004281-12557_民主同盟文獻_1946.pdf#page=1,6,民主同盟文献,Q3_OCR_SUSPECT,D4_COVER_TITLE,封面/版权/题名页短文本,结构保留；citation 禁止（可用作题名辅助）,no,0,0,1,unreadable,PaddleOCR 3.7.0,1,work/domestic/month_20260728/pages/NLC416-01jh004281-12557/images/page-0001.png,yes,80353,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
17614,1293,domestic-page/NLC416-01jh004281-12557,《民主同盟文獻》1946,domestic_page_ocr,2,file://data/domestic/sourcebooks/NLC416-01jh004281-12557_民主同盟文獻_1946.pdf#page=2,29,民主同盟文獻 中國民主同盟總部編印 中華民國三十五年十二月,Q3_OCR_SUSPECT,D4_COVER_TITLE,封面/版权/题名页短文本,结构保留；citation 禁止（可用作题名辅助）,no,0,0,1,unreadable,PaddleOCR 3.7.0,3,work/domestic/month_20260728/pages/NLC416-01jh004281-12557/images/page-0002.png,yes,210995,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
17788,1293,domestic-page/NLC416-01jh004281-12557,《民主同盟文獻》1946,domestic_page_ocr,176,file://data/domestic/sourcebooks/NLC416-01jh004281-12557_民主同盟文獻_1946.pdf#page=176,7,未识别出文字。,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,对照影像判断截断/图注；citation 禁止,no,2,0,1,unreadable,PaddleOCR 3.7.0,0,work/domestic/month_20260728/pages/NLC416-01jh004281-12557/images/page-0176.png,yes,9560,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
17789,1294,domestic-page/NLC511-027032013012333-19131,《民主同盟文獻》另一扫描本,domestic_page_ocr,1,file://data/domestic/sourcebooks/NLC511-027032013012333-19131_民主同盟文獻_alternate_scan.pdf#page=1,14,民主同盟文献 上海圖書館藏書,Q3_OCR_SUSPECT,D2_LIBRARY_STAMP,馆藏章/索书号页,保留结构用途；不作为正文证据；citation 禁止,no,0,0,1,unreadable,PaddleOCR 3.7.0,2,work/domestic/month_20260728/pages/NLC511-027032013012333-19131/images/page-0001.png,yes,610953,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
17790,1294,domestic-page/NLC511-027032013012333-19131,《民主同盟文獻》另一扫描本,domestic_page_ocr,2,file://data/domestic/sourcebooks/NLC511-027032013012333-19131_民主同盟文獻_alternate_scan.pdf#page=2,27,上海图书馆藏书 A541 212 0022 87788,Q3_OCR_SUSPECT,D2_LIBRARY_STAMP,馆藏章/索书号页,保留结构用途；不作为正文证据；citation 禁止,no,0,0,1,unreadable,PaddleOCR 3.7.0,2,work/domestic/month_20260728/pages/NLC511-027032013012333-19131/images/page-0002.png,yes,25285,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
17965,1294,domestic-page/NLC511-027032013012333-19131,《民主同盟文獻》另一扫描本,domestic_page_ocr,177,file://data/domestic/sourcebooks/NLC511-027032013012333-19131_民主同盟文獻_alternate_scan.pdf#page=177,27,上海图书馆藏书 A541 212 0022 8778B,Q3_OCR_SUSPECT,D2_LIBRARY_STAMP,馆藏章/索书号页,保留结构用途；不作为正文证据；citation 禁止,no,0,0,1,unreadable,PaddleOCR 3.7.0,2,work/domestic/month_20260728/pages/NLC511-027032013012333-19131/images/page-0177.png,yes,23669,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
17966,1294,domestic-page/NLC511-027032013012333-19131,《民主同盟文獻》另一扫描本,domestic_page_ocr,178,file://data/domestic/sourcebooks/NLC511-027032013012333-19131_民主同盟文獻_alternate_scan.pdf#page=178,7,31.4 36,Q3_OCR_SUSPECT,D3_ISSUE_HEADER,卷期封面标题行,保留刊期定位；不作为正文引用,no,0,0,1,unreadable,PaddleOCR 3.7.0,2,work/domestic/month_20260728/pages/NLC511-027032013012333-19131/images/page-0178.png,yes,498594,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
