page_id,document_id,doc_key,title,page_label,text_length,disposition_code,reocr_priority,image_path_resolved,image_exists,image_size_bytes,ocr_engine,recommended_action
17788,1293,domestic-page/NLC416-01jh004281-12557,《民主同盟文獻》1946,176,7,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC416-01jh004281-12557/images/page-0176.png,yes,9560,PaddleOCR 3.7.0,对照影像判断截断/图注；citation 禁止
18448,1242,domestic-page/SSID-13679264,《觀察》第三卷第一至十二期合订本,2,1,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/SSID-13679264/images/page-0002.png,yes,987841,PaddleOCR 3.7.0,对照影像判断截断/图注；citation 禁止
18605,1242,domestic-page/SSID-13679264,《觀察》第三卷第一至十二期合订本,159,115,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/SSID-13679264/images/page-0159.png,yes,948454,PaddleOCR 3.7.0,重 OCR 或人工复核；citation 禁止
19385,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,39,7,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/SRC-088458899f/images/page-0039.png,yes,9798,PaddleOCR 3.7.0,对照影像判断截断/图注；citation 禁止
19386,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,40,9,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/SRC-088458899f/images/page-0040.png,yes,26082,PaddleOCR 3.7.0,对照影像判断截断/图注；citation 禁止
19387,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,41,1,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/SRC-088458899f/images/page-0041.png,yes,9654,PaddleOCR 3.7.0,对照影像判断截断/图注；citation 禁止
19931,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,585,7,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/SRC-088458899f/images/page-0585.png,yes,9348,PaddleOCR 3.7.0,对照影像判断截断/图注；citation 禁止
19932,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,586,14,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/SRC-088458899f/images/page-0586.png,yes,32334,PaddleOCR 3.7.0,对照影像判断截断/图注；citation 禁止
19933,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,587,7,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/SRC-088458899f/images/page-0587.png,yes,9483,PaddleOCR 3.7.0,对照影像判断截断/图注；citation 禁止
20011,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,665,38,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/SRC-088458899f/images/page-0665.png,yes,26051,PaddleOCR 3.7.0,重 OCR 或人工复核；citation 禁止
20048,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,702,5,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/SRC-088458899f/images/page-0702.png,yes,17790,PaddleOCR 3.7.0,对照影像判断截断/图注；citation 禁止
20049,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,703,7,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/SRC-088458899f/images/page-0703.png,yes,9276,PaddleOCR 3.7.0,对照影像判断截断/图注；citation 禁止
20135,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,789,7,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/SRC-088458899f/images/page-0789.png,yes,10275,PaddleOCR 3.7.0,对照影像判断截断/图注；citation 禁止
20148,1304,domestic-ocr/S3:domestic:NLC:minmeng-wenxian-1946-situation-declaration-1945-01-15,时局宣言,page-0029,113,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC416-01jh004281-12557/ocr/page-0029.ocr.md,yes,1400,paddleocr,重 OCR 或人工对照影像；citation 禁止
20285,1320,domestic-ocr/S3:domestic:NLC:minxian-v1n1-1944-05-16,《民憲》第一卷第一期,page-0001,42,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC404-00J001436-85442/ocr/page-0001.ocr.md,yes,1005,paddleocr,重 OCR 或人工对照影像；citation 禁止
20287,1321,domestic-ocr/S3:domestic:NLC:minxian-v1n6-1944-08-15,《民憲》第一卷第六期,page-0001,44,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC404-00J001436-85447/ocr/page-0001.ocr.md,yes,1026,paddleocr,重 OCR 或人工对照影像；citation 禁止
20289,1322,domestic-ocr/S3:domestic:NLC:minxian-v1n9-1944-11-20,《民憲》第一卷第九期,page-0001,44,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC404-00J001436-85450/ocr/page-0001.ocr.md,yes,1026,paddleocr,重 OCR 或人工对照影像；citation 禁止
20326,1342,domestic-ocr/S3:domestic:NLC:guangmingbao-1948-1949-v1n12,《光明報》1948年1卷12期（1948-08-16）,page-0001,57,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC404-01J000514-10514/ocr/page-0001.ocr.md,yes,1094,paddleocr,重 OCR 或人工对照影像；citation 禁止
20331,1345,domestic-ocr/S3:domestic:NLC:guangmingbao-1948-1949-v2n12,《光明報》1949年2卷12期（1949-02-12）,page-0001,95,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC404-01J000514-72821/ocr/page-0001.ocr.md,yes,1414,paddleocr,重 OCR 或人工对照影像；citation 禁止
20335,1347,domestic-ocr/S3:domestic:NLC:minxian-v1n10-1944-12-20,《民憲》第一卷第十期,page-0001,45,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC404-00J001436-85451/ocr/page-0001.ocr.md,yes,1028,paddleocr,重 OCR 或人工对照影像；citation 禁止
20350,1350,domestic-ocr/S3:domestic:NLC:minmeng-wenxian-1946-ten-program,中国民主政团同盟对时局主张纲领,page-0013,115,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC416-01jh004281-12557/ocr/page-0013.ocr.md,yes,1420,paddleocr,重 OCR 或人工对照影像；citation 禁止
20372,1364,domestic-ocr/S3:domestic:NLC:minxian-85443-1944-05-01,《民憲》第一卷第二期,page-0001,44,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC404-00J001436-85443/ocr/page-0001.ocr.md,yes,1026,paddleocr,重 OCR 或人工对照影像；citation 禁止
20374,1365,domestic-ocr/S3:domestic:NLC:minxian-85444-1944-06-15,《民憲》第一卷第三期,page-0001,44,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC404-00J001436-85444/ocr/page-0001.ocr.md,yes,1026,paddleocr,重 OCR 或人工对照影像；citation 禁止
20376,1366,domestic-ocr/S3:domestic:NLC:minxian-85445-1944-06-30,《民憲》第一卷第四期,page-0001,42,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC404-00J001436-85445/ocr/page-0001.ocr.md,yes,1005,paddleocr,重 OCR 或人工对照影像；citation 禁止
20378,1367,domestic-ocr/S3:domestic:NLC:minxian-85446-1944-07-16,《民憲》第一卷第五期,page-0001,44,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC404-00J001436-85446/ocr/page-0001.ocr.md,yes,1026,paddleocr,重 OCR 或人工对照影像；citation 禁止
20380,1368,domestic-ocr/S3:domestic:NLC:minxian-85448-1944-09-10,《民憲》第一卷第七期,page-0001,44,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC404-00J001436-85448/ocr/page-0001.ocr.md,yes,1026,paddleocr,重 OCR 或人工对照影像；citation 禁止
20382,1369,domestic-ocr/S3:domestic:NLC:minxian-85449-1944-10-12,《民憲》第一卷第八期,page-0001,44,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC404-00J001436-85449/ocr/page-0001.ocr.md,yes,1026,paddleocr,重 OCR 或人工对照影像；citation 禁止
20384,1370,domestic-ocr/S3:domestic:NLC:minxian-85452-1945-01-15,《民憲》第一卷第十一期,page-0001,42,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC404-00J001436-85452/ocr/page-0001.ocr.md,yes,1008,paddleocr,重 OCR 或人工对照影像；citation 禁止
20386,1371,domestic-ocr/S3:domestic:NLC:minxian-85453-1945-02-25,《民憲》第一卷第十二期,page-0001,45,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC404-00J001436-85453/ocr/page-0001.ocr.md,yes,1031,paddleocr,重 OCR 或人工对照影像；citation 禁止
20388,1372,domestic-ocr/S3:domestic:NLC:minxian-85454-1945-05-15,《民憲》第二卷第一期,page-0001,44,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC404-00J001436-85454/ocr/page-0001.ocr.md,yes,1026,paddleocr,重 OCR 或人工对照影像；citation 禁止
20390,1373,domestic-ocr/S3:domestic:NLC:minxian-85455-1945-06-13,《民憲》第二卷第二期,page-0001,46,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC404-00J001436-85455/ocr/page-0001.ocr.md,yes,1047,paddleocr,重 OCR 或人工对照影像；citation 禁止
20464,1427,domestic-ocr/S3:domestic:NLC:minmeng-yanlunji-1945-whole,《中國民主同盟言論集》,page-0003,99,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC511-027032016010761-42571/ocr/page-0003.ocr.md,yes,1368,paddleocr,重 OCR 或人工对照影像；citation 禁止
20467,1427,domestic-ocr/S3:domestic:NLC:minmeng-yanlunji-1945-whole,《中國民主同盟言論集》,page-0006,92,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC511-027032016010761-42571/ocr/page-0006.ocr.md,yes,1382,paddleocr,重 OCR 或人工对照影像；citation 禁止
20566,1427,domestic-ocr/S3:domestic:NLC:minmeng-yanlunji-1945-whole,《中國民主同盟言論集》,page-0105,44,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC511-027032016010761-42571/ocr/page-0105.ocr.md,yes,1002,paddleocr,重 OCR 或人工对照影像；citation 禁止
20568,1427,domestic-ocr/S3:domestic:NLC:minmeng-yanlunji-1945-whole,《中國民主同盟言論集》,page-0107,43,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC511-027032016010761-42571/ocr/page-0107.ocr.md,yes,999,paddleocr,重 OCR 或人工对照影像；citation 禁止
20679,1515,domestic-ocr/SAAC:domestic:SAAC:51koukou-p01-dde20,毛泽东给宋庆龄的信（1949-06-19）,page-01,16,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec01_01-20/01.jpg,yes,394236,paddleocr,对照影像判断截断/图注；citation 禁止
20681,1515,domestic-ocr/SAAC:domestic:SAAC:51koukou-p01-dde20,毛泽东给宋庆龄的信（1949-06-19）,page-03,4,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec01_01-20/03.jpg,yes,365616,paddleocr,对照影像判断截断/图注；citation 禁止
20684,1516,domestic-ocr/SAAC:domestic:SAAC:51koukou-p01-dde21,周恩来给宋庆龄的信（1949-06-21）,page-03,22,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec01_01-21/03.jpg,yes,304313,paddleocr,对照影像判断截断/图注；citation 禁止
20689,1517,domestic-ocr/SAAC:domestic:SAAC:51koukou-p01-dde22-i3,中央关于交换政协意见的指示（1948-05-07）,page-05,26,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec01_01-22/05.jpg,yes,351257,paddleocr,对照影像判断截断/图注；citation 禁止
20700,1525,domestic-ocr/SAAC:domestic:SAAC:51koukou-p03-dde01-f1,周恩来、李维汉在中国人民政治协商会议筹备会第二次全体会议上讲话（1949-09-17）,page-02,17,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec03_03-01/s01_02.jpg,yes,27370,paddleocr,对照影像判断截断/图注；citation 禁止
20701,1526,domestic-ocr/SAAC:domestic:SAAC:51koukou-p03-dde02-f1,中国人民政治协商会议筹备会第二次全体会议决议案（1949-09-17）,page-01,8,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec03_03-02/s02_01.jpg,yes,40084,paddleocr,对照影像判断截断/图注；citation 禁止
20705,1527,domestic-ocr/SAAC:domestic:SAAC:51koukou-p03-dde03-f1,中国人民政治协商会议筹备会第二次全体会议记录（1949-09-17）,page-01,11,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec03_03-03/s03_01.jpg,yes,40287,paddleocr,对照影像判断截断/图注；citation 禁止
20711,1528,domestic-ocr/SAAC:domestic:SAAC:51koukou-p03-dde04-f1,中国人民政治协商会议第一届全体会议主席团及秘书长名单（草案）（1949-09）,page-02,10,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec03_03-04/s04_02.jpg,yes,27304,paddleocr,对照影像判断截断/图注；citation 禁止
20712,1528,domestic-ocr/SAAC:domestic:SAAC:51koukou-p03-dde04-f1,中国人民政治协商会议第一届全体会议主席团及秘书长名单（草案）（1949-09）,page-03,26,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec03_03-04/s04_03.jpg,yes,40499,paddleocr,对照影像判断截断/图注；citation 禁止
20716,1529,domestic-ocr/SAAC:domestic:SAAC:51koukou-p03-dde05-f1,中国人民政治协商会议筹备会关于召开中国人民政治协商会议第一届全体会议的通知（1949-09-20）,page-02,12,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec03_03-05/s05_02.jpg,yes,39417,paddleocr,对照影像判断截断/图注；citation 禁止
20717,1530,domestic-ocr/SAAC:domestic:SAAC:51koukou-p04-dde01-i3,新政治协商会议筹备会关于召开成立会的通知（1949-06-14）,page-01,1,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec04_04-01/01.jpg,yes,205071,paddleocr,对照影像判断截断/图注；citation 禁止
20720,1531,domestic-ocr/SAAC:domestic:SAAC:51koukou-p04-dde02-i3,毛泽东在新政协筹备会开幕典礼上的讲话（1949-06-15）,page-02,28,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec04_04-02/02.jpg,yes,465256,paddleocr,对照影像判断截断/图注；citation 禁止
20725,1534,domestic-ocr/SAAC:domestic:SAAC:51koukou-p04-dde05,沈钧儒在新政治协商会议筹备会开幕典礼上的讲话（1949-06-15）,page-02,63,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec04_04-05/02.jpg,yes,327509,paddleocr,重 OCR 或人工复核；citation 禁止
20726,1535,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde01-i3,政协一届全体会议会场（1949-09-21）,page-01,25,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec05_05-01/01.jpg,yes,250097,paddleocr,对照影像判断截断/图注；citation 禁止
20727,1535,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde01-i3,政协一届全体会议会场（1949-09-21）,page-02,13,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec05_05-01/02.jpg,yes,254961,paddleocr,对照影像判断截断/图注；citation 禁止
20728,1535,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde01-i3,政协一届全体会议会场（1949-09-21）,page-03,13,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec05_05-01/03.jpg,yes,369501,paddleocr,对照影像判断截断/图注；citation 禁止
20755,1539,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde03-i3,政协一届全体会议代表签名册（1949-09-21）,page-01,29,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec05_05-03/01.jpg,yes,401526,paddleocr,对照影像判断截断/图注；citation 禁止
20756,1539,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde03-i3,政协一届全体会议代表签名册（1949-09-21）,page-02,22,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec05_05-03/02.jpg,yes,315588,paddleocr,对照影像判断截断/图注；citation 禁止
20761,1541,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde05-i3,政协一届全体会议代表签到（1949-09-21）,page-01,3,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec05_05-05/01.jpg,yes,178357,paddleocr,对照影像判断截断/图注；citation 禁止
20765,1541,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde05-i3,政协一届全体会议代表签到（1949-09-21）,page-05,2,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec05_05-05/05.jpg,yes,228970,paddleocr,对照影像判断截断/图注；citation 禁止
20778,1546,domestic-ocr/SAAC:domestic:SAAC:51koukou-p06-dde03-f1,中央人民政府委员会第一次会议签到簿（1949-10-01）,page-02,12,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec06_06-03/02.jpg,yes,326967,paddleocr,对照影像判断截断/图注；citation 禁止
20780,1546,domestic-ocr/SAAC:domestic:SAAC:51koukou-p06-dde03-f1,中央人民政府委员会第一次会议签到簿（1949-10-01）,page-04,19,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec06_06-03/04.jpg,yes,316139,paddleocr,对照影像判断截断/图注；citation 禁止
20782,1548,domestic-ocr/SAAC:domestic:SAAC:51koukou-p06-dde05-f1,中央人民政府委员会第一次会议记录（1949-10-01）,page-01,25,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec06_06-05/01.jpg,yes,308386,paddleocr,对照影像判断截断/图注；citation 禁止
20787,1550,domestic-ocr/SAAC:domestic:SAAC:51koukou-p06-dde07-f1,毛泽东与中央人民政府委员会部分委员合影（1949-10-01）,page-01,2,D6_OCR_GARBLED,2,data/domestic/raw/saac_scans/sec06_06-07/01.jpg,yes,277051,paddleocr,对照影像判断截断/图注；citation 禁止
