cluster_id,role,candidate_id
DCL-0020,dup,domestic:NLC:guangmingbao-1947-issue14-li-boqiu-plenum-gains
DCL-0021,canonical,domestic:NLC:guangmingbao-1947-1947-15
DCL-0021,dup,domestic:NLC:guangmingbao-1947-issue15-heavier-task-editorial
DCL-0021,dup,domestic:NLC:guangmingbao-1947-issue15-huang-yaomian-pcc-line
DCL-0022,canonical,domestic:NLC:guangmingbao-1947-1947-16–17
DCL-0022,dup,domestic:NLC:guangmingbao-1947-issue16-17-li-jishen-situation-views
DCL-0022,dup,domestic:NLC:guangmingbao-1947-issue16-17-minmeng-situation-declaration
DCL-0022,dup,domestic:NLC:guangmingbao-1947-issue16-17-respond-li-jishen-editorial
DCL-0022,dup,domestic:NLC:guangmingbao-1947-issue16-17-moscow-conference-china-editorial
DCL-0023,canonical,domestic:NLC:guangmingbao-1947-1947-18
DCL-0023,dup,domestic:NLC:guangmingbao-1947-issue18-people-cannot-endure-editorial
DCL-0023,dup,domestic:NLC:guangmingbao-1947-issue18-nantotal-press-reception
DCL-0023,dup,domestic:NLC:guangmingbao-1947-issue18-peng-zemin-statement
DCL-0024,canonical,domestic:NLC:guangmingbao-1947-1947-19
DCL-0024,dup,domestic:NLC:guangmingbao-1947-19-article-01
DCL-0024,dup,domestic:NLC:guangmingbao-1947-19-article-02
DCL-0024,dup,domestic:NLC:guangmingbao-1947-19-article-03
DCL-0024,dup,domestic:NLC:guangmingbao-1947-19-article-04
DCL-0024,dup,domestic:NLC:guangmingbao-1947-19-article-05
DCL-0025,canonical,domestic:NLC:guangmingbao-1947-issue21-critique-dictatorship-new-policy-editorial
DCL-0025,dup,domestic:NLC:guangmingbao-1947-issue21-deng-chumin-middle-route
DCL-0026,canonical,domestic:MM1941:outline-1946-beiyoudang-tewu-qinfeng-bao
DCL-0026,dup,domestic:MM1941:outline-1946-nian-shengming-jianghua-neirong
DCL-0027,canonical,domestic:MM1941:outline-jianguoqian-fujian-mengshi-ziliao-shang
DCL-0027,dup,domestic:MM1941:outline-jianguoqian-fujian-mengshi-ziliao-zhong
DCL-0027,dup,domestic:MM1941:outline-jianguoqian-fujian-mengshi-ziliao-xia
DCL-0027,dup,domestic:MM1941:outline-1946-1949-minmeng-zongbu-shanghai
DCL-0027,dup,domestic:MM1941:outline-1946-1949-nanfang-mengshi-shiling
DCL-0028,canonical,domestic:MM1941:outline-1942-1949-minmeng-zai-shaanxi
DCL-0028,dup,domestic:MM1941:outline-1942-1949-minmeng-zai-shaanxi-jing
DCL-0028,dup,domestic:MM1941:outline-1942-1949-xian-minmeng-xibei-zongzhibu-mimi-huodongdi
DCL-0029,canonical,domestic:MM1941:outline-1942-2012-shaanxi-meng-70nian
DCL-0029,dup,domestic:MM1941:outline-shaanxi-minmeng-shi
DCL-0030,canonical,domestic:MM1941:outline-1942-shaanxi-tongzhanbu-meng-zhibu-renxuan
DCL-0030,dup,domestic:MM1941:outline-shaanxi-sheng-zhibu-choubei-weiyuanhui-mingdan
DCL-0031,dup,domestic:WM:1949-xinzhengxie-choubeihui-changwei-heying
DCL-0031,canonical,domestic:WM:1949-xinzhengxie-choubeihui-changwei-maxulun-categorized
DCL-0032,canonical,domestic:GMD:2022-12-22-minmeng-baodao
DCL-0032,dup,domestic:GMD:2022-12-22-zhongguo-minmeng-baojing
