event_id,event_year,event_date,event_title,event_summary,scope_type,scope_name,actors,tags,organizations,places,importance
20,1945,"April 5, 1945",昆明暗杀事件引发的政治压力与外交关注,893.00/4-545［文件228］驻华代办艾奇逊致国务卿。第279号。 重庆，1945年4月5日。［4月17日收。］主题：李济深元帅的沉浮。 先生：兹提及国务院1945年2月26日第三人称指示，其中除其他事项外，评论了使馆1944年12月15日第9号函，题为《中国东南部被日军隔绝以来的状况》。国务院表示，将饶有兴趣地关注该地区潜在分离主义集团未来活动。现随函附上1945年3月23日驻成都使馆随,topic,昆明暗杀与民盟政治压力,梁漱溟; 蒋介石,昆明暗杀,中国共产党; 美国国务院,重庆; 成都,15
21,1944,"August 1, 1944",昆明暗杀事件引发的政治压力与外交关注,893.00/8-144〔文件400〕 驻昆明总领事（兰登）致国务卿 第58号〔摘录〕 昆明，1944年8月1日。〔8月22日收到。〕 先生：参照总领事馆1944年7月14日第51号公文，关于中国未来政治发展的报告，我谨向国务院报告昆明中国自由派人士对蒋介石委员长的看法。这些看法显示，蒋在中国自由派中的声望已严重下降，也说明了他们对其领导的批评和反对。 这些意见由国民党内自由派和独立自由派人士在最,topic,昆明暗杀与民盟政治压力,蒋介石,昆明暗杀,中国民主同盟; 国民党; 中国共产党; 美国国务院; 美国驻昆明领事馆,昆明,35
22,1944,"August 2, 1944",昆明暗杀事件引发的政治压力与外交关注,一位同民主同盟和共产党均关系密切的消息来源称，民主同盟所联合的各党派、团体代表，预定约于9月1日在重庆举行秘密会议。,topic,昆明暗杀与民盟政治压力,,昆明暗杀; 民盟,中国民主同盟; 国民党; 中国共产党; 美国国务院,昆明; 重庆; 成都; 桂林,50
23,1946,"August 2, 1946",昆明暗杀事件引发的政治压力与外交关注,"1946年7月26日第517号,第31号,其中要求提交大使馆二等秘书菲利普·斯普鲁斯前往昆明的航空邮件报告,谨附上1946年8月1日题为“在总领事馆的保护下离开中国人在昆明的领事房地;昆明的中国当局的保护保证”的备忘录(一)和(二)1946年8月1日题为“在昆明暗杀李公朴和闻一多的责任问题”的备忘录副本。 在斯普鲁斯先生访问期间，中国当局对昆明的友好态度，是因为马歇尔将军和司徒雷登大使在这方面对委",topic,昆明暗杀与民盟政治压力,马歇尔; 司徒雷登; 蒋介石,昆明暗杀; 马歇尔调处; 民盟,中国民主同盟; 国民党; 中国共产党; 美国国务院; 美国驻华使馆,昆明; 南京; 牯岭,50
24,1946,"August 20, 1946",昆明暗杀事件引发的政治压力与外交关注,74 中国民主同盟成员，关注大众教育运动。,topic,昆明暗杀与民盟政治压力,司徒雷登,昆明暗杀; 民盟,中国民主同盟; 美国国务院,昆明; 南京,50
25,1944,"August 23, 1944",昆明暗杀事件引发的政治压力与外交关注,"斯普鲁斯先生援引所谓""中国民主同盟""领导人罗隆基的话称，这场运动是一场旨在改革政府的革命，其目标是建立代议制民主政府、继续对日作战，并给予言论、出版、集会和结社自由；罗隆基还表示，由于缺乏一位有实力、有影响力的领袖，将成立一个""委员会""来指导运动。",topic,昆明暗杀与民盟政治压力,罗隆基; 蒋介石,昆明暗杀; 民盟,中国民主同盟; 国民政府; 国民党; 中国共产党; 美国国务院,昆明; 重庆; 桂林,60
26,1946,"August 29, 1946",昆明暗杀事件引发的政治压力与外交关注,梁漱溟一直在昆明代表民主同盟调查此案。,topic,昆明暗杀与民盟政治压力,梁漱溟; 司徒雷登,昆明暗杀; 民盟,中国民主同盟; 美国国务院,昆明; 南京,70
27,1946,"August 29, 1946",昆明暗杀事件引发的政治压力与外交关注,最近报载称，民主同盟主席张澜数日前在成都参加李公朴和闻一多追悼会时，遭特务人员殴打。,topic,昆明暗杀与民盟政治压力,张澜; 司徒雷登,昆明暗杀; 民盟,中国民主同盟,成都,85
28,1944,"August 31, 1944",昆明暗杀事件引发的政治压力与外交关注,893.42/8–3144 [文件第421号] 驻昆明总领事（兰登）致驻华大使（高斯）函 第38号 昆明，1944年8月31日 阁下： 关于大使馆1944年8月16日备忘录中提及的所谓民主学生运动，谨此呈报总领事馆所获有关昆明中国大学生活动的信息。[以下为详细报告] 结论 可以断定，联大学生对当前中国状况深感不满，这种不满既涉及自身处境，也关乎现有的军事、政治及经济形势。然而，由于学生间缺乏充分组,topic,昆明暗杀与民盟政治压力,,昆明暗杀,国民党; 美国国务院; 美国驻昆明领事馆,昆明,15
29,1946,"August 6, 1946",昆明暗杀事件引发的政治压力与外交关注,00/8–646：电报 [文件735] 驻华大使（司徒雷登）致国务卿 南京，1946年8月6日上午10时 [8月6日凌晨4时25分收到] 第1270号 近期与民盟成员（包括部分曾在昆明领事馆避难者）的谈话表明，昆明暗杀事件后，民盟内部普遍存在恐惧情绪。 无论暗杀责任归属何方，最终结果已暴露出中国民主同盟作为独立政党的脆弱性，及其作为中国内政凝聚因素的局限性。,topic,昆明暗杀与民盟政治压力,司徒雷登,昆明暗杀; 民盟,中国民主同盟; 国民党; 中国共产党; 美国国务院,昆明; 南京,70
30,1946,"August 6, 1946",昆明暗杀事件引发的政治压力与外交关注,预计只有少数民盟领导人会前往共产党控制区；一位著名的民盟教授已向大使馆含蓄表达了前往延安的意愿。 然而，预计学生（尤其是受暗杀事件影响的大学学生）向延安、张家口或其他共产党控制地区的流动将会增加。,topic,昆明暗杀与民盟政治压力,司徒雷登,昆明暗杀; 民盟,中国民主同盟; 中国共产党,延安,75
31,1946,"August 8, 1946",昆明暗杀事件引发的政治压力与外交关注,马歇尔使团档案，第54-D270卷〔文件742〕 蒋介石委员长与马歇尔将军会谈记录 中国牯岭，1946年8月8日下午。 马歇尔将军说，他推迟到今天才返回南京，是为了等待司徒雷登博士从南京星期二晚间同周恩来将军会谈后返回并提交详细报告；司徒雷登在那次会谈中转达了委员长关于停止敌对行动的各项规定。,topic,昆明暗杀与民盟政治压力,周恩来; 马歇尔; 司徒雷登; 蒋介石,昆明暗杀; 政协; 马歇尔调处; 民盟,中国民主同盟; 国民政府; 国民党; 中国共产党; 政治协商会议; 美国国务院; 美国驻昆明领事馆,昆明; 南京; 满洲; 牯岭,70
32,1949,"February 1, 1949",昆明暗杀事件引发的政治压力与外交关注,1月29日广播还提到中国共产党“按照毛的八项条件和平解决北平问题”的正确性和成功，并指出“这不仅为和平谈判准备了地点，而且为解决南京、上海、汉口、太原、昆明、广州、兰州、迪化、西安、海南等地和平问题树立了榜样”。 注96：民主同盟成员。,topic,昆明暗杀与民盟政治压力,沈钧儒; 司徒雷登; 蒋介石,昆明暗杀; 北平接触; 民盟,中国民主同盟; 国民政府; 国民党; 中国共产党; 美国国务院,昆明; 北平; 南京; 上海,70
33,1947,"February 6, 1947",昆明暗杀事件引发的政治压力与外交关注,"他认为民主同盟是机会主义的,在等待中断;他们的立场的效果是对共产党的帮助,他觉得一些联盟成员与共产党没有什么区别. 关于昆明的文立暗杀事件,他说55,他为追查枪击事件的责任而特别痛心,最终被钉在军人身上,有些人至少受到名义上的处罚.",topic,昆明暗杀与民盟政治压力,蒋介石,昆明暗杀; 第三方面; 民盟,中国民主同盟; 国民政府; 国民党; 中国共产党; 青年党; 民主社会党; 美国驻华使馆; 行政院,昆明; 南京; 满洲; 成都; 天津,50
34,1945,"January 20, 1945",昆明暗杀事件引发的政治压力与外交关注,龙云、潘某等人之间存在明确谅解一事，近期已多次由中国民主同盟的主要代表向我传达，他们坚称中国共产党也包含在该联盟之内。,topic,昆明暗杀与民盟政治压力,蒋介石,昆明暗杀; 民盟,中国民主同盟; 国民政府; 中国共产党; 美国国务院; 美国驻华使馆,昆明; 重庆; 成都,50
35,1945,"January 23, 1945",昆明暗杀事件引发的政治压力与外交关注,先生：我谨报告1945年1月22日同民主同盟代表朱蕴山先生会谈的内容。 朱先生大部分时间用于民盟组织工作，目前正同此地民盟主要领导人一起起草民盟关于联合政府的最终纲领。,topic,昆明暗杀与民盟政治压力,罗隆基; 蒋介石,昆明暗杀; 联合政府; 民盟,中国民主同盟; 中国共产党,昆明; 重庆; 成都; 桂林,80
36,1945,"January 31, 1945",昆明暗杀事件引发的政治压力与外交关注,"值得指出的是,非共产主义中国组织和个人主张的政治改革,在很大程度上与中共主张的改革相同. 范宣德[附件] 中国事务改革司特洛伊·珀金斯先生的备忘录,由著名中文(人物和组织)简称. 国民参政会：国民参政会,中国民主政团同盟：中国民主政团同盟,宪政促进会：宪政促进会. (关于所提到的个人和报纸,见附录末尾。 ) 一. 政治立场。 总的来说,中国现在更加民主,是所有问题的症结所在,特别是眼前的战争局势。",topic,昆明暗杀与民盟政治压力,梁漱溟; 黄炎培; 蒋介石,昆明暗杀,中国民主同盟; 国民党; 中国共产党; 美国国务院,昆明; 北平; 重庆; 上海,20
37,1944,"July 11, 1944",昆明暗杀事件引发的政治压力与外交关注,在该协会的掩护下，民盟成员得以讨论宪政及相关问题，并将其意见作为根据中央政府意愿设立的机构所提出的意见，呈报重庆当局。,topic,昆明暗杀与民盟政治压力,蒋介石,昆明暗杀; 民盟,中国民主同盟; 美国国务院; 美国驻昆明领事馆,昆明; 重庆; 桂林,50
38,1944,"July 14, 1944",昆明暗杀事件引发的政治压力与外交关注,原注：该组织成员现将其译名改为“民主同盟”。,topic,昆明暗杀与民盟政治压力,蒋介石,昆明暗杀; 民盟,中国民主同盟; 国民党; 中国共产党; 美国国务院; 美国驻昆明领事馆,昆明; 重庆,70
39,1946,"July 16, 1946",昆明暗杀事件引发的政治压力与外交关注,马歇尔使团档案，Lot 54-D270〔文件679〕周恩来将军致马歇尔将军备忘录。 亲爱的马歇尔将军： 我到上海后，认识到陈立夫特务人员的压迫，比我在南京时想象的严重得多。,topic,昆明暗杀与民盟政治压力,周恩来; 马歇尔; 司徒雷登; 蒋介石,昆明暗杀; 政协; 马歇尔调处; 民盟,中国民主同盟; 国民党; 中国共产党; 政治协商会议,南京; 上海,70
40,1946,"July 17, 1946",昆明暗杀事件引发的政治压力与外交关注,马歇尔使团档案，Lot 54-D270 [文件682] 马歇尔将军与周恩来将军会谈纪要，1946年7月17日上午10时45分，南京宁海路5号。 马歇尔将军：我想先问你一个问题。,topic,昆明暗杀与民盟政治压力,罗隆基; 沈钧儒; 史良; 周恩来; 马歇尔; 司徒雷登; 蒋介石,昆明暗杀; 政协; 马歇尔调处; 民盟,中国民主同盟; 国民党; 中国共产党; 政治协商会议; 美国驻华使馆; 行政院,昆明; 南京; 重庆; 上海; 成都,80
41,1946,"July 17, 1946",昆明暗杀事件引发的政治压力与外交关注,民主同盟著名成员闻一多于今晚6时遭暗杀，其子受重伤；二人遭密集枪击。 通过警备司令副官之兄可靠查明，特务机关已接到指令，要在昆明刺杀民主同盟高级成员；民主同盟云南支部主席、云大教授楚图南，以及民盟省支部书记赵沨，也被列为今晚刺杀对象。,topic,昆明暗杀与民盟政治压力,司徒雷登,昆明暗杀; 北平接触; 民盟,中国民主同盟; 中国共产党; 美国国务院,昆明; 北平; 南京; 上海,70
42,1946,"July 17, 1946",昆明暗杀事件引发的政治压力与外交关注,在当前恐怖气氛下，现留在领事馆的民盟成员不愿离开，除非“负责任的”政府方面保证其安全，或达成全国性政治解决。 他们认为，他们提出的下列条件，是解决暗杀事件造成的即时紧张局势的必要步骤：第一，立即停止昆明的恐怖活动；第二，保障民主同盟所有成员以及所有为民主与和平事业工作者的人身安全；第三，组织并派出一个调查昆明暗杀事件的委员会，由政府、民盟和马歇尔将军方面的代表组成。,topic,昆明暗杀与民盟政治压力,马歇尔; 司徒雷登,昆明暗杀; 马歇尔调处; 民盟,中国民主同盟; 美国驻昆明领事馆,昆明; 香港,75
43,1946,"July 18, 1946",昆明暗杀事件引发的政治压力与外交关注,马歇尔使团档案，Lot 54-D270〔文件687〕 马歇尔将军与俞大维将军会谈纪要 南京，宁海路5号，1946年7月18日上午11时30分。 马歇尔将军向俞大维出示了一幅由共产党代表团制作的江苏省态势图。,topic,昆明暗杀与民盟政治压力,周恩来; 马歇尔,昆明暗杀; 马歇尔调处; 民盟,中国民主同盟; 国民政府; 中国共产党,昆明; 南京,70
44,1946,"July 23, 1946",昆明暗杀事件引发的政治压力与外交关注,与此同时，此前未曾在总领事馆避难的民盟成员蒋曾忠教授昨日收到威胁，称若他离家外出，将被暗杀。 总领事馆作出此决定，不仅基于上述恐怖气氛及何将军的不合作态度，还基于从多个来源获得的可靠情报，这些情报一致表明何将军至少参与了一两起此前的暗杀事件。,topic,昆明暗杀与民盟政治压力,司徒雷登,昆明暗杀; 民盟,中国民主同盟; 美国国务院,昆明; 南京,50
45,1946,"July 23, 1946",昆明暗杀事件引发的政治压力与外交关注,当地报纸编辑报告称，一名三民主义青年团同乡说，闻一多暗杀案由警备司令部第六师六名成员执行，他们收取了六百万元。 另据一名民盟成员的朋友说，其兄弟是何将军副官，透露警备司令部特务机关曾下令暗杀民盟成员，并给出名单上居首者姓名（见我第65号电）。,topic,昆明暗杀与民盟政治压力,司徒雷登,昆明暗杀; 民盟,中国民主同盟; 国民党; 中国共产党,昆明; 南京,55
46,1946,"July 26, 1946",昆明暗杀事件引发的政治压力与外交关注,马歇尔使团文件，Lot 54–D270 [文件706] 马歇尔将军与周恩来将军在南京宁海路5号会谈记录，1946年7月26日上午10时15分 南京，1946年7月26日上午10时15分 周恩来将军：非常感谢您提供的交通便利。 马歇尔将军：我发出询问电文是因为我急于请您回来，以便我们能与司徒雷登博士讨论当前局势。,topic,昆明暗杀与民盟政治压力,周恩来; 马歇尔; 司徒雷登; 蒋介石,昆明暗杀; 政协; 马歇尔调处; 民盟,中国民主同盟; 国民政府; 国民党; 中国共产党; 政治协商会议; 行政院,昆明; 南京; 上海; 满洲; 牯岭,70
47,1946,"July 26, 1946",昆明暗杀事件引发的政治压力与外交关注,马歇尔使团档案，Lot 54-D270 [文件708] 马歇尔将军与罗隆基博士会谈纪要，1946年7月26日下午1时15分，南京宁海路5号。 罗博士开会时说，马歇尔将军启程赴牯岭以前，他必须见马歇尔一面，因为有一件特别重要的事情，需要在马歇尔即将访问牯岭期间采取行动。,topic,昆明暗杀与民盟政治压力,罗隆基; 马歇尔; 蒋介石,昆明暗杀; 马歇尔调处; 民盟,中国民主同盟; 国民党,昆明; 南京; 牯岭,80
48,1946,"July 26, 1946",昆明暗杀事件引发的政治压力与外交关注,罗博士认为，民主同盟不可能派一名有影响力的成员去昆明调查，因为此人很可能得不到任何保护，并且除非作为联合委员会成员，否则肯定没有任何权威。 罗博士此时紧急把此事提请马歇尔将军注意，主要目的在于说服马歇尔在牯岭期间同委员长提出此事。,topic,昆明暗杀与民盟政治压力,罗隆基; 马歇尔; 蒋介石,昆明暗杀; 马歇尔调处; 民盟,中国民主同盟; 美国国务院,昆明; 南京; 牯岭,85
49,1946,"July 30, 1946",昆明暗杀事件引发的政治压力与外交关注,马歇尔使团档案，第54-D270卷：电报〔文件716〕 马歇尔将军致杜鲁门总统 〔南京，〕1946年7月30日。 与此同时，民主同盟两名大学教授在昆明被暗杀，以及上海同类人士遭秘密警察严密监视，引起极大震动，并使自由派人士产生一种感觉：政府正在采用恐怖手段镇压任何口头或文字形式的反对意见。,topic,昆明暗杀与民盟政治压力,周恩来; 马歇尔; 司徒雷登; 蒋介石,昆明暗杀; 马歇尔调处; 第三方面; 北平接触; 联合政府; 民盟,中国民主同盟; 国民政府; 国民党; 中国共产党; 美国国务院,昆明; 北平; 南京; 上海; 满洲; 天津; 牯岭,70
50,1946,"July 31, 1946",昆明暗杀事件引发的政治压力与外交关注,马歇尔使团档案，Lot 54–D270 [文件718] 马歇尔将军与俞大维将军会谈记录 南京宁海路5号，1946年7月31日下午6时45分 南京，1946年7月31日下午6时45分。 俞大维将军首先询问马歇尔将军上次牯岭之行与委员长会谈的结果。,topic,昆明暗杀与民盟政治压力,罗隆基; 张君劢; 马歇尔; 司徒雷登; 蒋介石,昆明暗杀; 马歇尔调处; 第三方面; 北平接触,国民党; 中国共产党,北平; 南京; 满洲; 牯岭,25
51,1947,"July 5, 1947",北平接触与民盟人士沟通,"[附录] 驻北平领事(弗里曼)驻华大使(司徒雷登)第25号 1947年7月1日 北平. 先生:我荣幸地提及最近的报告,这些报道无疑已引起大使馆的注意,报告在中国成立第三党的运动,并报告在北平这一运动的发展情况。",topic,昆明暗杀与民盟政治压力,司徒雷登; 蒋介石,第三方面; 北平接触; 联合政府; 民盟,中国民主同盟; 国民党; 中国共产党,昆明; 北平; 南京; 上海; 香港,75
52,1946,"June 3, 1946",昆明暗杀事件引发的政治压力与外交关注,周恩来将军说，他愿先向马歇尔将军通报几件事。 马歇尔将军问“原定计划”指什么。,topic,昆明暗杀与民盟政治压力,周恩来; 马歇尔; 蒋介石,昆明暗杀; 马歇尔调处; 北平接触; 民盟,中国民主同盟; 国民党; 中国共产党,昆明; 北平; 南京; 重庆; 上海; 沈阳; 满洲; 天津,75
53,1945,"October 19, 1945",昆明暗杀事件引发的政治压力与外交关注,该小组中三人是国民党员，其中一人与民主同盟关系密切。 他们无法理解美国给予重庆政府的“全力支持”；他们认为，这只会加强蒋介石不在中国建立真正联合政府、不交出国民党目前掌握的任何实权的决心。,topic,昆明暗杀与民盟政治压力,蒋介石,昆明暗杀; 第三方面; 联合政府; 民盟,中国民主同盟; 国民党; 中国共产党; 美国国务院,昆明; 南京; 重庆; 上海,70
54,1947,"October 31, 1947",昆明暗杀事件引发的政治压力与外交关注,大使谨随函附上一份会谈备忘录，记录1947年10月28日两名使馆官员同民盟罗隆基博士的谈话。 该备忘录表达了罗博士对国民政府宣布民盟为非法组织之命令的关切，并重申其关于联合政府的总体方案，认为这是解决中国当前问题的唯一可行办法。,topic,昆明暗杀与民盟政治压力,罗隆基; 司徒雷登; 蒋介石,昆明暗杀; 第三方面; 联合政府; 民盟,中国民主同盟; 国民政府; 国民党; 中国共产党; 美国国务院; 美国驻华使馆,昆明; 南京,80
55,1944,"September 22, 1944",昆明暗杀事件引发的政治压力与外交关注,］先生：关于昆明总领事馆1944年7月14日第51号函，以及使馆1944年8月23日第2900号函所述民主同盟（旧称中国民主政团同盟）及其他反对国民政府和国民党的力量之活动，兹随函附上1944年9月13日昆明领事菲利普·D. 该信转来《民主同盟政治原则草案》译文。,topic,昆明暗杀与民盟政治压力,罗隆基,昆明暗杀; 民盟,中国民主同盟; 国民政府; 国民党; 美国国务院,昆明; 重庆; 成都; 桂林,80
56,1948,"September 8, 1948",昆明暗杀事件引发的政治压力与外交关注,“大会以无记名投票选出27名成员，包括中国共产党前旧金山联合国会议代表董必武、中共中央华北局代表薄一波、华北人民解放军第一兵团司令徐向前、著名中国历史学家范文澜、著名法学家陈瑾昆，以及民盟成员丁一，组成华北人民政府委员会。 大会541名代表包括工人、农民、革命军人、商人、实业家、专业人士、新式富农、社会名流、开明士绅、民盟成员、穆斯林领袖、国民党控制区某些人民团体代表以及妇女代表。,topic,昆明暗杀与民盟政治压力,司徒雷登,昆明暗杀; 民盟,中国民主同盟; 国民党; 中国共产党; 美国国务院,昆明; 南京,70
57,1946,1 June 1946,围绕政协决议和政府改组的调处,鉴于第5段a款所载建议，兹请国务院作为紧急事项，将本文件第4段所载结论转交马歇尔将军征求意见，其中包括就请求总统批准这些结论是否可取提出意见。 马歇尔将军的意见一经收到，应提交SWNCC秘书处，以便分发至委员会，按建议第5段b款所设想采取行动。,topic,1946 年政治协商会议,马歇尔; 蒋介石,政协; 马歇尔调处; 北平接触; 联合政府; 民盟,中国民主同盟; 国民政府; 国民党; 中国共产党; 政治协商会议; 美国国务院; 国民大会,北平; 南京; 重庆; 沈阳; 满洲; 天津; 华盛顿,70
58,1945,19 December 1945,围绕政协决议和政府改组的调处,马歇尔使团档案，Lot 54–D270〔第560号文件〕谢普利先生（注39）致马歇尔将军备忘录。 马歇尔将军： 依据目前所掌握的情报，拜罗德上校（注40）与本人已就中国的政治局势作出一个初步判断。,topic,1946 年政治协商会议,张澜; 周恩来; 马歇尔; 蒋介石,政协; 马歇尔调处; 联合政府; 民盟,中国民主同盟; 国民党; 中国共产党; 政治协商会议; 美国驻华使馆; 行政院; 国民大会,南京; 重庆; 延安,80
59,1945,1945-10-05,昆明暗杀事件引发的政治压力与外交关注,他们询问苏联对美国军队在天津和北平地区登陆的立场。,topic,1946 年政治协商会议,周恩来; 蒋介石,昆明暗杀; 北平接触,国民党; 中国共产党,昆明; 北平; 重庆; 延安; 满洲; 天津,60
60,1945,1945-10-10,"Record of Conversation between Soviet Ambassador in China Apollon Petrov and Mao Zedong, Zhou Enlai and Wang Ruofei",**档案来源：** **国际史解密档案** **1945年10月10日** **苏联驻华大使阿波罗·彼得罗夫与毛泽东、周恩来及王若飞会谈记录** **引文：** 『苏联驻华大使阿波罗·彼得罗夫与毛泽东、周恩来及王若飞会谈记录』，1945年10月10日，历史与公共政策项目数字档案，AVPRF：全宗0100，目录40，案卷7，册248，第39-44页。由谢尔盖·拉琴科翻译。 **摘要：** 毛泽东讨论,topic,1946 年政治协商会议,周恩来; 蒋介石,,国民党,,25
61,1945,1945-10-10,"Record of Conversation between Soviet Ambassador in China Apollon Petrov and Mao Zedong, Zhou Enlai and Wang Ruofei","**苏联驻华大使阿波罗·彼得罗夫与毛泽东、周恩来、王若飞谈话记录。1945年10月10日。** 10月10日，因毛泽东即将启程返回延安，我设宴为他饯行。周恩来和王若飞亦应邀出席。我方出席宴会的有：使馆参赞米克拉舍夫斯基同志、武官尼古拉·罗申少将、一等秘书费德林同志和列多夫斯基同志。宴会前后，双方就各种问题进行了交谈。 当我问及毛泽东同志如何评价蒋介石与中共代表之间的谈判结果时，毛泽东答道：""不能说",topic,1946 年政治协商会议,周恩来; 蒋介石,,国民党; 中国共产党,重庆; 延安,25
62,1945,1945-10-10,"Record of Conversation between Soviet Ambassador in China Apollon Petrov and Mao Zedong, Zhou Enlai and Wang Ruofei",毛泽东回答说，中国共产党将为此努力，但并不指望成功。 随后我问及蒋介石从西昌返回后的行为。毛泽东回答说，蒋介石对他的态度明显好转：变得更加客气、温和、迁就，也更加真诚。这次蒋介石同意公布关于谈判初步结果的公报。 毛泽东接着说，在他与蒋介石单独会谈时，蒋介石宣称“国家的命运掌握在我们手中”（即蒋介石和毛泽东手中），并且“如果我们彼此之间无法达成协议，我们将愧对后世子孙”。在同一次谈话中，蒋介石宣称“,topic,1946 年政治协商会议,周恩来; 蒋介石,,国民党; 中国共产党,满洲,25
63,1945,1945-10-10,北平接触与民盟人士沟通,第十一战区的部队集中在两个区域——其中一股多达11个师的兵力集中在北平至海口的铁路沿线，另一股则集中在随州地区，任务是在北方展开部署。 对于罗申同志提出的问题，即蒋介石是否可能在美国先遣部队（已在天津和北平登陆）的掩护下调动其部队，以及津浦铁路和平汉铁路是否将成为国民党军队运动的主要方向，毛泽东回答说，这将是美国对中国内政的公开干涉，而这正是中共唯一担心的事情。,topic,1946 年政治协商会议,蒋介石,北平接触,国民党; 中国共产党,北平; 满洲; 天津,40
64,1945,1945/02/02 ~ 1945/02/02,钱大钧等呈蒋中正有关沈钧儒等访周恩来询及中国国民党召开国民大会意见,钱大钧等呈蒋中正有关沈钧儒等访周恩来询及中国国民党召开国民大会意见,topic,1946 年政治协商会议,沈钧儒; 周恩来,,国民党; 国民大会,,5
65,1945,1945/08/21 ~ 1945/08/21,一年间影响绥靖军事之政治和谈：第二篇政治协商会议前景,一年间影响绥靖军事之政治和谈：第二篇政治协商会议前景,topic,1946 年政治协商会议,,政协,政治协商会议,,20
