candidate_id,title,repository_code,level,availability,access_mode,source_kind,page_count,review_status,low_value_reasons
domestic:MH:modernhistory-periodical-guoxun,近代史数字图书馆《国讯》半月刊条目页（modernhistory.org.cn）,MH,L4,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MX:cheng-boren-1942-join-northwest-org,成柏仁 1942 年加入民盟条目（《盟贤》第 47 页）,MX,L3,not_online,offline,press_scan,0,needs_human_review,仅离线无数字影像
domestic:MX:shang-ding-1943-11-join-mengxian,尚丁 1943 年 11 月加入民盟条目（《盟贤》第 63 页；与 SHDPZ 印刷厂正文 1943-10 互证）,MX,L3,not_online,offline,press_scan,0,needs_human_review,仅离线无数字影像
domestic:MX:ding-cong-1942-chongqing-artist,丁聪 1942 年在桂林/重庆/成都/昆明美术设计活动条目（《盟贤》第 158 页）,MX,L3,not_online,offline,press_scan,0,needs_human_review,仅离线无数字影像
domestic:MX:shang-ding-1942-journalist-secretary,尚丁 1942 年任黄炎培秘书 + 政团同盟组织协调条目（《盟贤》第 63 页，1942 关键人物活动）,MX,L3,not_online,offline,press_scan,0,needs_human_review,仅离线无数字影像
domestic:MX:wang-lingu-1942-art-troupe,王林谷 1942 年入中国艺术剧社条目（《盟贤》，1946-12 入盟）,MX,L3,not_online,offline,press_scan,0,needs_human_review,仅离线无数字影像
domestic:MX:lu-jinhua-1942-yueju-troupe,陆锦花 1942 年入袁雪芬领衔大来剧场条目（《盟贤》，1956-10 入盟）,MX,L3,not_online,offline,press_scan,0,needs_human_review,仅离线无数字影像
domestic:RCL:wenliangmo-1942-join-national-anthem,刘良模 1942 年加入民盟条目（《民盟代表人士资料汇编·文化篇》）,RCL,L3,not_online,offline,other,0,needs_human_review,仅离线无数字影像
domestic:RCL:textile-engineer-1943-12-join,纺织工程专家 1943 年 12 月加入民盟条目（《民盟代表人士资料汇编·科技篇》）,RCL,L3,not_online,offline,other,0,needs_human_review,仅离线无数字影像
domestic:RCL:qian-weichang-1942-phd-meng-vice-chairman,钱伟长 1942 年获多伦多大学博士学位条目（《民盟代表人士资料汇编·领导篇》，1952 入盟，1983-1996 民盟,RCL,L3,not_online,offline,other,0,needs_human_review,仅离线无数字影像
domestic:MH:platform-anchor-modernhistory-2026,抗战文献数据平台聚合锚点（5000万页 / 1万期刊 / 1000种报纸 / 红色文献专题 200种）,MH,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:QY:zhongguo-minmengtongmengshi-2012-qunyan,《中国民主同盟史（民盟历史文献）》（中国民主同盟中央委员会编，群言出版社 2012-10，ISBN 9787802563,QY,L2,catalogue_only_online,open,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:QY:chongqing-minmengshi-2014-qunyan,《重庆民盟史》（中国民主同盟重庆市委员会编，群言出版社 2014-10，ISBN 9787802566224，338 页,QY,L2,catalogue_only_online,open,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:QY:zhongguo-minmengtongmeng-50nian-chongqing-2014,《中国民主同盟50年·重庆民盟历史文献 历史照片画册》（群言出版社 2014-10，ISBN 9787802566217,QY,L2,catalogue_only_online,open,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:CQ:chongqing-minmeng-xu-chaojian-2002,《重庆民盟》（徐朝鉴著，重庆出版社 2002，ISBN 9787536657700，重庆统战政协文史资料丛书）,CQ,L2,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:HB:hubei-minmengshi-2014-xiangbiwu,《湖北民盟史》（向必武著，湖北人民出版社 2014）,HB,L3,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:GZ:guizhou-minmengshi-2013,《贵州民盟史》（民盟贵州省委编，贵州人民出版社 2013）,GZ,L3,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:SN:shaanxi-minmengshi-chenxitao,《陕西民盟史》（陈希滔著，陕西人民出版社）,SN,L3,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:GD:guangdong-minmengshi-2012-lijingxian,《广东民盟史》（李竟先主编，广东人民出版社 2012）,GD,L3,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:ZJ:zhejiang-sheng-minzhudangpai-zhi-2002,《浙江省民主党派志》（浙江省民主党派志编纂委员会编，浙江人民出版社 2002-12，851 页 1215 千字，精装 1,ZJ,L2,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:JS:jiangsu-minmengshi-gao-2004,《江苏民盟史稿》（民盟江苏省委员会、江苏省政协文史资料委员会编，江苏人民出版社 2004）,JS,L3,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:JS:zhongguo-minmengtongmeng-jiangsu-jianshi-2012,《中国民主同盟江苏简史》（民主同盟江苏省委员会、江苏省中共党史资料征集协作小组编，中央党史出版社 2012）,JS,L3,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:FJ:zhongguo-minmengtongmeng-fujian-jianshi-2018,《中国民主同盟福建简史》（苏增添主编，线装书局 2018-12，ISBN 978-7-5120-2896-2）,FJ,L2,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:HE:zhongguo-minmengtongmeng-shijiazhuang-shi-zhi-2013,《中国民主同盟石家庄市志》（中国民主同盟石家庄市委员会编著，河北人民出版社 2013-05，精装）,HE,L3,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:HN:hunan-minmengrenwu-2020,《湖南民盟人物》（中国民主同盟湖南省委员会、杨君武编，群言出版社 2020-10，ISBN 9787519306090，,HN,L2,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:YN:yunan-minmengshi-2021-chenguang,《云南民盟史》（云南出版集团晨光出版社 2021-10，约 48 万字）,YN,L3,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:SC:sichuan-minmengshi-sichuan-renmin,《四川民盟史》（民盟四川省委编，四川人民出版社出版）,SC,L3,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:AH:anhui-minzhudangpai-shi-meng-zhangjie-2009,《安徽民主党派史·民盟章节》（时代出版传媒股份有限公司、安徽教育出版社 2009-08）,AH,L3,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:BJ:beijing-minmeng-zuzhi-chengli-70-zhounian-2016,《北京市民盟组织成立70周年》（中国民主同盟北京市委员会编，2016-06，平装大16开131页）,BJ,L3,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:platform-anchor-minmeng1941-cn,《民盟历史文献全媒体数据库》平台锚点（minmeng1941.cn，8 大库：地方史志/历史文献/历史人物/事件活动/历,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1937-jiuguohui-jiguan-bao,1937 年救国会机关报《救亡情报》庆祝救国会成立,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1941-1989-gansu-meng-jianzhi,1941-1989 甘肃民盟地方组织简史,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1941-zhongguo-minzhengtongmeng-chengli-huizhi,1941 年中国民主政团同盟成立大会会址——鲜宅（重庆）,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1946-beiyoudang-tewu-qinfeng-bao,1946 年被国民党特务捣毁的《秦风报》报社,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1946-nian-shengming-jianghua-neirong,1946 年声明讲话内容,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1949qian-beijing-minmeng-biannian-shi,北京市民盟组织编年史（1949 年 10 月 1 日前）,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-jianguoqian-fujian-mengshi-ziliao-shang,建国前福建盟史资料汇编（上）,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-jianguoqian-fujian-mengshi-ziliao-zhong,建国前福建盟史资料汇编（中）,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-jianguoqian-fujian-mengshi-ziliao-xia,建国前福建盟史资料汇编（下）,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1946-1953-jiangsu-meng-biannian-shi,江苏民盟编年史 1946-1953,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1941-1953-wuxi-meng-biannian-shi,民盟编年史 1941-1953（无锡）,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1942-1949-minmeng-zai-shaanxi,民盟在陕西,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1942-1949-minmeng-zai-shaanxi-jing,民盟在陕西（精）,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1944-1946-minmeng-zongbu-chongqing,民盟总部所在地——重庆国府路 300 号,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1946-1949-minmeng-zongbu-shanghai,民盟总部在沪活动纪实,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1946-1949-nanfang-mengshi-shiling,南方盟史拾零,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1942-2012-shaanxi-meng-70nian,陕西民盟 70 年,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-shaanxi-minmeng-shi,陕西民盟史,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1942-shaanxi-tongzhanbu-meng-zhibu-renxuan,陕西省委统战部关于民盟陕西省支部委员人选文件,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-shaanxi-sheng-zhibu-choubei-weiyuanhui-mingdan,陕西省支部筹备委员会名单,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-shanghai-minmeng-biannian-shi,上海民盟编年史,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1939-1950-sichuan-meng-biannian-shi,四川民盟编年史 1939-1950,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1942-1949-xian-minmeng-xibei-zongzhibu-mimi-huodongdi,西安市民盟西北总支部秘密活动地,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1943-xibei-ju-ierkuozhang-huiyi,西北局关于第二次扩大会议情况报告,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1947-1949-zhongyang-zongzhanhui-lianhehuiyi,中央全会联合会议筹备委员会关于在若干大城市文件,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MM1941:outline-1941-2014-chongqing-meng-shi-jing,重庆民盟史（精）,MM1941,L3,catalogue_only_online,login,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:CQ:Teyuan-China-Democratic-Parties-Museum-2024,中国民主党派历史陈列馆（重庆特园，2024-04-29 全新开放，1300+ 图片 2200+ 文物）,CQ,L3,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:NJSH:2nd-Historical-Archives-1912-1949-220w-juan,中国第二历史档案馆（南京，集中典藏 1912-1949 民国档案，898 全宗 220 万卷宗）,NJSH,L3,catalogue_only_online,login,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:WM:1949-zhanglan-zhouenlai-zhongyang-zhengfu-heying,1949 年张澜与周恩来合影（中央人民政府委员会合影）,WM,L2,catalogue_only_online,open,press_scan,0,accepted,仅目录级(media_class=catalogue_only)
domestic:WM:1946-li-gongpu-wen-yiduo-lieshi-jinian,1946 年李公朴闻一多烈士纪念档案（民盟烈士）,WM,L2,catalogue_only_online,open,press_scan,0,accepted,仅目录级(media_class=catalogue_only)
domestic:WM:1947-du-bincheng-lieshi-minmeng-xibei,1947 年杜斌丞烈士纪念档案（民盟西北组织）,WM,L2,catalogue_only_online,open,press_scan,0,accepted,仅目录级(media_class=catalogue_only)
domestic:WM:people-of-china-democratic-league-anchor,Wikimedia Commons 民盟人物 33 子分类聚合锚点（Zhang Lan/Huang Yanpei/She,WM,L3,catalogue_only_online,open,press_scan,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MMC:lijie-zhongyang-weiyuanhui-index,民盟历届中央委员会索引页（第一届 1945 到第十二届，含 1941 中国民主政团同盟中央执行委员会）,MMC,L2,catalogue_only_online,open,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:WP:1949-1988-minmeng-wenwu-1991,《中国民主同盟历史文献 1949-1988》（中国民主同盟中央文史委员会编，文物出版社 1991-01，2 卷）,WP,L2,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:QY:qunyan-chubanshe-meng-zhongyang,群言出版社（中国民主同盟中央委员会直属出版社，出版民盟历史文献系列）,QY,L2,catalogue_only_online,open,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:QY:1991-zhongguo-minmeng-jianshi-1941-1949,《中国民主同盟简史 1941-1949》（民盟中央文史委员会编，群言出版社 1991-03，148 页，32 开本）,QY,L2,catalogue_only_online,open,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:QY:1991-zhongguo-minmeng-shi-1941-1949,《中国民主同盟史(1941-1949)》（群言出版社 1991-03）,QY,L2,catalogue_only_online,open,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:QY:1991-wo-yu-minmeng-50zhounian-jinianwenji,《我与民盟：中国民主同盟成立 50 周年纪念文集》（群言出版社 1991-08）,QY,L2,catalogue_only_online,open,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:QY:mengtuan-lishiwenxian-congshu-anchor,民盟历史文献丛书聚合锚点（民盟中央文史委员会编，群言出版社 + 文物出版社出版，1991-2024 系列）,QY,L2,catalogue_only_online,open,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:QY:2011-zhongguo-minmeng-qishinian,《中国民主同盟七十年》(中国民主同盟中央委员会编，群言出版社 2011-05，ISBN 9787802562325，34,QY,L2,catalogue_only_online,open,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:QY:2013-minmeng-taoxingzhi,《民盟历史文献:陶行知》（夏德清、武素月，群言出版社 2013）,QY,L2,catalogue_only_online,open,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:QY:2013-minmeng-chutunan,《民盟历史文献:楚图南》（张维，群言出版社 2013）,QY,L2,catalogue_only_online,open,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:QY:2014-minmeng-tongdizhou,《民盟历史文献:童第周》（俞为洁，群言出版社 2014）,QY,L2,catalogue_only_online,open,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:QY:2014-minmeng-dubincheng,《民盟历史文献:杜斌丞》（张国全，群言出版社 2014）,QY,L2,catalogue_only_online,open,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:QY:2021-qingyang-minmeng-shi,《庆阳民盟史》（中国文史出版社 2021，记录庆阳民盟 1944-2019）,QY,L2,catalogue_only_online,open,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:QY:mengtuan-lishi-renwu-congshu-anchor,民盟历史人物丛书聚合锚点（群言出版社出版，陶行知/楚图南/童第周/杜斌丞/费孝通 等民盟核心人物传记系列）,QY,L2,catalogue_only_online,open,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MGCH:TJPRESS-minjizhongtian-zhuguan,团结出版社（民革中央直属，1987-12-25 成立，民革前辈传记丛书等）,MGCH,L2,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MGCH:mengge-qianbei-chuanji-congshu-2025,《民革前辈传记丛书》（团结出版社 2025-2026 启动，纪念民革成立 80 周年）,MGCH,L2,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:8P:8-dangpai-zhongyang-chubanshe,8 大民主党派中央主管出版社聚合锚点（团结 / 群言 / 中华工商时报 / 开明 / 中国医药科技 / 中国致公 / 学,8P,L2,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:ACAD:1977-shaheen-cdl-politics-1939-1947-phd,"《THE CHINA DEMOCRATIC LEAGUE AND CHINESE POLITICS, 1939-1947",ACAD,L2,catalogue_only_online,open,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
domestic:ACAD:wuhan-united-front-1940s-cambridge-quarterly,《Intellectual Activism in China During the 1940s: Wu Han in ,ACAD,L2,catalogue_only_online,open,book_or_assembly,0,accepted,仅目录级(media_class=catalogue_only)
