file_id,chunk_index,page_range,source_path,chunk_path,mean_confidence,search_usable,likely_ocr_problems,suspicious_names_or_dates,article_boundary_guess,recommended_action,citation_ready,needs_human_review,period_covered,phase,reviewer,notes
P3-004,1,all,data/domestic/press_scans/NLC404-01J000514-10431_光明報_1946年10期.pdf,work/domestic/ocr_collection_phase4/NLC404-01J000514-10431_光明報_1946年10期.ocr.md,0.9186,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),per_issue_or_per_article (待人工对照版面),GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-009,1,all,data/domestic/press_scans/NLC404-01J000332-6817_观察_1947年3卷11期.pdf,work/domestic/ocr_collection_phase4/NLC404-01J000332-6817_观察_1947年3卷11期.ocr.md,0.9062,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),per_issue_or_per_article (待人工对照版面),GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-008,1,all,data/domestic/press_scans/NLC404-01J000514-10834_光明報_1946年1期.pdf,work/domestic/ocr_collection_phase4/NLC404-01J000514-10834_光明報_1946年1期.ocr.md,0.9038,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),per_issue_or_per_article (待人工对照版面),GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-001,1,all,data/domestic/press_scans/NLC1080-00N000846-8712_新华日报_1941-10-28.pdf,work/domestic/ocr_collection_phase4/NLC1080-00N000846-8712_新华日报_1941-10-28.ocr.md,0.7696,true_with_caution,"medium (中等置信度, 抽查繁体异体字)",medium (人名/日期需校对),per_issue_or_per_article (待人工对照版面),REVIEW_ORIGINAL,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-010,1,all,data/domestic/press_scans/NLC404-01J000514-72818_光明報_1947年12期.pdf,work/domestic/ocr_collection_phase4/NLC404-01J000514-72818_光明報_1947年12期.ocr.md,0.9256,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),per_issue_or_per_article (待人工对照版面),GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-005,1,all,data/domestic/press_scans/NLC404-00J001436-85453_民憲_第一卷第十二期.pdf,work/domestic/ocr_collection_phase4/NLC404-00J001436-85453_民憲_第一卷第十二期.ocr.md,0.8522,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),per_issue_or_per_article (待人工对照版面),GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-007,1,all,data/domestic/press_scans/NLC404-00J001436-85445_民憲_第一卷第四期.pdf,work/domestic/ocr_collection_phase4/NLC404-00J001436-85445_民憲_第一卷第四期.ocr.md,0.8899,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),per_issue_or_per_article (待人工对照版面),GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-003,1,all,data/domestic/press_scans/NLC404-00J001436-85449_民憲_第一卷第八期.pdf,work/domestic/ocr_collection_phase4/NLC404-00J001436-85449_民憲_第一卷第八期.ocr.md,0.8482,true_with_caution,"medium (中等置信度, 抽查繁体异体字)",medium (人名/日期需校对),per_issue_or_per_article (待人工对照版面),REVIEW_ORIGINAL,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-020,1,all,data/domestic/press_scans/GXMM_大公報_天津版_1947-11-06_第2版_民盟宣布解散_嵌图截取.png,work/domestic/ocr_collection_phase4/GXMM_大公報_天津版_1947-11-06_第2版_民盟宣布解散_嵌图截取.ocr.md,0.8633,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),per_issue_or_per_article (待人工对照版面),GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-014,1,0001-0100,data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf,work/domestic/ocr_collection_phase4/中国民主同盟临时全国代表大会宣言_公开转录_p0001-0100.ocr.md,0.9845,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"chunked_per_100p (按 100p 块切, 文章边界未确认)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-014,2,0101-0200,data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf,work/domestic/ocr_collection_phase4/中国民主同盟临时全国代表大会宣言_公开转录_p0101-0200.ocr.md,0.9845,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"chunked_per_100p (按 100p 块切, 文章边界未确认)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-014,3,0201-0300,data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf,work/domestic/ocr_collection_phase4/中国民主同盟临时全国代表大会宣言_公开转录_p0201-0300.ocr.md,0.9845,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"chunked_per_100p (按 100p 块切, 文章边界未确认)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-014,4,0301-0400,data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf,work/domestic/ocr_collection_phase4/中国民主同盟临时全国代表大会宣言_公开转录_p0301-0400.ocr.md,0.9845,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"chunked_per_100p (按 100p 块切, 文章边界未确认)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-014,5,0401-0500,data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf,work/domestic/ocr_collection_phase4/中国民主同盟临时全国代表大会宣言_公开转录_p0401-0500.ocr.md,0.9845,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"chunked_per_100p (按 100p 块切, 文章边界未确认)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-014,6,0501-0600,data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf,work/domestic/ocr_collection_phase4/中国民主同盟临时全国代表大会宣言_公开转录_p0501-0600.ocr.md,0.9845,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"chunked_per_100p (按 100p 块切, 文章边界未确认)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-014,7,0601-0700,data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf,work/domestic/ocr_collection_phase4/中国民主同盟临时全国代表大会宣言_公开转录_p0601-0700.ocr.md,0.9845,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"chunked_per_100p (按 100p 块切, 文章边界未确认)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-014,8,0701-0789,data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf,work/domestic/ocr_collection_phase4/中国民主同盟临时全国代表大会宣言_公开转录_p0701-0789.ocr.md,0.9845,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"chunked_per_100p (按 100p 块切, 文章边界未确认)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-015,1,0001-0100,data/domestic/sourcebooks/中国民主同盟历史文献_1941-1949_公开扫描.pdf,work/domestic/ocr_collection_phase4/中国民主同盟历史文献_1941-1949_公开扫描_p0001-0100.ocr.md,0.9856,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"chunked_per_100p (按 100p 块切, 文章边界未确认)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-015,2,0101-0200,data/domestic/sourcebooks/中国民主同盟历史文献_1941-1949_公开扫描.pdf,work/domestic/ocr_collection_phase4/中国民主同盟历史文献_1941-1949_公开扫描_p0101-0200.ocr.md,0.9856,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"chunked_per_100p (按 100p 块切, 文章边界未确认)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-015,3,0201-0300,data/domestic/sourcebooks/中国民主同盟历史文献_1941-1949_公开扫描.pdf,work/domestic/ocr_collection_phase4/中国民主同盟历史文献_1941-1949_公开扫描_p0201-0300.ocr.md,0.9856,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"chunked_per_100p (按 100p 块切, 文章边界未确认)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-015,4,0301-0400,data/domestic/sourcebooks/中国民主同盟历史文献_1941-1949_公开扫描.pdf,work/domestic/ocr_collection_phase4/中国民主同盟历史文献_1941-1949_公开扫描_p0301-0400.ocr.md,0.9856,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"chunked_per_100p (按 100p 块切, 文章边界未确认)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-015,5,0401-0500,data/domestic/sourcebooks/中国民主同盟历史文献_1941-1949_公开扫描.pdf,work/domestic/ocr_collection_phase4/中国民主同盟历史文献_1941-1949_公开扫描_p0401-0500.ocr.md,0.9856,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"chunked_per_100p (按 100p 块切, 文章边界未确认)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-015,6,0501-0600,data/domestic/sourcebooks/中国民主同盟历史文献_1941-1949_公开扫描.pdf,work/domestic/ocr_collection_phase4/中国民主同盟历史文献_1941-1949_公开扫描_p0501-0600.ocr.md,0.9856,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"chunked_per_100p (按 100p 块切, 文章边界未确认)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-015,7,0601-0622,data/domestic/sourcebooks/中国民主同盟历史文献_1941-1949_公开扫描.pdf,work/domestic/ocr_collection_phase4/中国民主同盟历史文献_1941-1949_公开扫描_p0601-0622.ocr.md,0.9856,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"chunked_per_100p (按 100p 块切, 文章边界未确认)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-10424,1,all,data/domestic/press_scans/NLC404-01J000514-10424_光明報_1946年3期.pdf,work/domestic/ocr_collection_phase4/NLC404-01J000514-10424_光明報_1946年3期.ocr.md,0.8962,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_article (报刊按文章分, 期号页可定位)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-10425,1,all,data/domestic/press_scans/NLC404-01J000514-10425_光明報_1946年4期.pdf,work/domestic/ocr_collection_phase4/NLC404-01J000514-10425_光明報_1946年4期.ocr.md,0.9061,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_article (报刊按文章分, 期号页可定位)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-10426,1,all,data/domestic/press_scans/NLC404-01J000514-10426_光明報_1946年5期.pdf,work/domestic/ocr_collection_phase4/NLC404-01J000514-10426_光明報_1946年5期.ocr.md,0.8997,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_article (报刊按文章分, 期号页可定位)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-10427,1,all,data/domestic/press_scans/NLC404-01J000514-10427_光明報_1946年6期.pdf,work/domestic/ocr_collection_phase4/NLC404-01J000514-10427_光明報_1946年6期.ocr.md,0.9184,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_article (报刊按文章分, 期号页可定位)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-10428,1,all,data/domestic/press_scans/NLC404-01J000514-10428_光明報_1946年7期.pdf,work/domestic/ocr_collection_phase4/NLC404-01J000514-10428_光明報_1946年7期.ocr.md,0.8993,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_article (报刊按文章分, 期号页可定位)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-10429,1,all,data/domestic/press_scans/NLC404-01J000514-10429_光明報_1946年8期.pdf,work/domestic/ocr_collection_phase4/NLC404-01J000514-10429_光明報_1946年8期.ocr.md,0.8993,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_article (报刊按文章分, 期号页可定位)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-10430,1,all,data/domestic/press_scans/NLC404-01J000514-10430_光明報_1946年9期.pdf,work/domestic/ocr_collection_phase4/NLC404-01J000514-10430_光明報_1946年9期.ocr.md,0.9024,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_article (报刊按文章分, 期号页可定位)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-10453,1,all,data/domestic/press_scans/NLC404-01J000514-10453_光明報_1947年13期.pdf,work/domestic/ocr_collection_phase4/NLC404-01J000514-10453_光明報_1947年13期.ocr.md,0.9178,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_article (报刊按文章分, 期号页可定位)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-10454,1,all,data/domestic/press_scans/NLC404-01J000514-10454_光明報_1947年14期.pdf,work/domestic/ocr_collection_phase4/NLC404-01J000514-10454_光明報_1947年14期.ocr.md,0.9248,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_article (报刊按文章分, 期号页可定位)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-10455,1,all,data/domestic/press_scans/NLC404-01J000514-10455_光明報_1947年15期.pdf,work/domestic/ocr_collection_phase4/NLC404-01J000514-10455_光明報_1947年15期.ocr.md,0.9214,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_article (报刊按文章分, 期号页可定位)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-10456,1,all,data/domestic/press_scans/NLC404-01J000514-10456_光明報_1947年16–17期.pdf,work/domestic/ocr_collection_phase4/NLC404-01J000514-10456_光明報_1947年16–17期.ocr.md,0.9156,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_article (报刊按文章分, 期号页可定位)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-10457,1,all,data/domestic/press_scans/NLC404-01J000514-10457_光明報_1947年18期.pdf,work/domestic/ocr_collection_phase4/NLC404-01J000514-10457_光明報_1947年18期.ocr.md,0.8963,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_article (报刊按文章分, 期号页可定位)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-10458,1,all,data/domestic/press_scans/NLC404-01J000514-10458_光明報_1947年19期.pdf,work/domestic/ocr_collection_phase4/NLC404-01J000514-10458_光明報_1947年19期.ocr.md,0.8954,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_article (报刊按文章分, 期号页可定位)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-10459,1,all,data/domestic/press_scans/NLC404-01J000514-10459_光明報_1947年20期.pdf,work/domestic/ocr_collection_phase4/NLC404-01J000514-10459_光明報_1947年20期.ocr.md,0.8779,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_article (报刊按文章分, 期号页可定位)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-8658,1,all,data/domestic/press_scans/NLC1080-00N000846-8658_新华日报_1941-10-16.pdf,work/domestic/ocr_collection_phase4/NLC1080-00N000846-8658_新华日报_1941-10-16.ocr.md,0.8339,true_with_caution,"medium (中等置信度, 抽查繁体异体字)",medium (人名/日期需校对),"per_article (报刊按文章分, 期号页可定位)",REVIEW_ORIGINAL,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-N1080-7604,1,all,data/domestic/press_scans/NLC1080-00N001037-7604_大剛報_1947年11月04日.pdf,work/domestic/ocr_collection_phase4/NLC1080-00N001037-7604_大剛報_1947年11月04日.ocr.md,0.8578,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_article (报刊按文章分, 期号页可定位)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-N1080-7606,1,all,data/domestic/press_scans/NLC1080-00N001037-7606_大剛報_1947年11月06日.pdf,work/domestic/ocr_collection_phase4/NLC1080-00N001037-7606_大剛報_1947年11月06日.ocr.md,0.8429,true_with_caution,"medium (中等置信度, 抽查繁体异体字)",medium (人名/日期需校对),"per_article (报刊按文章分, 期号页可定位)",REVIEW_ORIGINAL,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-85442,1,all,data/domestic/press_scans/NLC404-00J001436-85442_民憲_第一卷第一期.pdf,work/domestic/ocr_collection_phase4/NLC404-00J001436-85442_民憲_第一卷第一期.ocr.md,0.8766,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_article (报刊按文章分, 期号页可定位)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-85444,1,all,data/domestic/press_scans/NLC404-00J001436-85444_民憲_第一卷第三期.pdf,work/domestic/ocr_collection_phase4/NLC404-00J001436-85444_民憲_第一卷第三期.ocr.md,0.8769,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_article (报刊按文章分, 期号页可定位)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-85446,1,all,data/domestic/press_scans/NLC404-00J001436-85446_民憲_第一卷第五期.pdf,work/domestic/ocr_collection_phase4/NLC404-00J001436-85446_民憲_第一卷第五期.ocr.md,0.8689,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_article (报刊按文章分, 期号页可定位)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
