candidate_id,title,repository_code,repository_name,catalog_reference_status,access_mode,online_availability,evidence_type,authenticity_level_proposed,relevance_grade_proposed,review_status,decision,decision_reason,citation_ready
domestic:MX:wang-lingu-1942-art-troupe,王林谷 1942 年入中国艺术剧社条目（《盟贤》，1946-12 入盟）,MX,民盟上海市委内部传记汇编《盟贤》,unpublished,offline,not_online,printed_finding_aid,L3,related,needs_human_review,ACCEPT_METADATA,目录或本地内部汇编记录可核验；只接受元数据线索，不代表已取得原件，不提升citation_ready。,False
domestic:NLC:observer-1947-3-11-article-government-oppression-minmeng,我们对于政府压迫民盟的看法（《观察》第3卷第11期 1947-11-08 头条）,NLC,中国国家图书馆数字化民国期刊（Wikimedia Commons 镜像）,pending,open,surrogate_online,secondary_lead,L1,core,needs_human_review,NEED_ORIGINAL,目前只有二次线索或替代页面；在取得原刊影像、档案复制件或可核验全文前维持人工复核。,False
domestic:RCL:qian-weichang-1942-phd-meng-vice-chairman,钱伟长 1942 年获多伦多大学博士学位条目（《民盟代表人士资料汇编·领导篇》，1952 入盟，1983-1996 民盟中央副主席）,RCL,上海市地方志办公室／民盟代表人士资料汇编,unpublished,offline,not_online,printed_finding_aid,L3,core,needs_human_review,ACCEPT_METADATA,目录或本地内部汇编记录可核验；只接受元数据线索，不代表已取得原件，不提升citation_ready。,False
domestic:RCL:textile-engineer-1943-12-join,纺织工程专家 1943 年 12 月加入民盟条目（《民盟代表人士资料汇编·科技篇》）,RCL,上海市地方志办公室／民盟代表人士资料汇编,unpublished,offline,not_online,printed_finding_aid,L3,core,needs_human_review,ACCEPT_METADATA,目录或本地内部汇编记录可核验；只接受元数据线索，不代表已取得原件，不提升citation_ready。,False
domestic:RCL:wenliangmo-1942-join-national-anthem,刘良模 1942 年加入民盟条目（《民盟代表人士资料汇编·文化篇》）,RCL,上海市地方志办公室／民盟代表人士资料汇编,unpublished,offline,not_online,printed_finding_aid,L3,core,needs_human_review,ACCEPT_METADATA,目录或本地内部汇编记录可核验；只接受元数据线索，不代表已取得原件，不提升citation_ready。,False
domestic:SHDPZ:printed-page816-su-yanbin-1943-11-join,苏延宾 1943 年 11 月参加中国民主同盟条目（《上海民主党派志》印刷厂验收稿正文）,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,unpublished,offline,not_online,printed_finding_aid,L3,core,needs_human_review,ACCEPT_METADATA,目录或本地内部汇编记录可核验；只接受元数据线索，不代表已取得原件，不提升citation_ready。,False
domestic:SHDPZ:printed-page820-zhou-gucheng-federation-consultant-1942,周谷城 1942 年后被聘为民主政团同盟顾问条目（《上海民主党派志》印刷厂验收稿正文）,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,unpublished,offline,not_online,printed_finding_aid,L3,core,needs_human_review,ACCEPT_METADATA,目录或本地内部汇编记录可核验；只接受元数据线索，不代表已取得原件，不提升citation_ready。,False
domestic:SHDPZ:printed-page840-shang-ding-1943-10-join,尚丁 1943 年 10 月加入中国民主同盟条目（《上海民主党派志》印刷厂验收稿正文）,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,unpublished,offline,not_online,printed_finding_aid,L3,core,needs_human_review,ACCEPT_METADATA,目录或本地内部汇编记录可核验；只接受元数据线索，不代表已取得原件，不提升citation_ready。,False
domestic:SHDPZ:zlc-chapter5-line571-shi-liang-1942-join,史良 1942 年加入民盟条目（《上海民主党派志》资料长编 第五章）,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,unpublished,offline,not_online,printed_finding_aid,L3,core,needs_human_review,ACCEPT_METADATA,目录或本地内部汇编记录可核验；只接受元数据线索，不代表已取得原件，不提升citation_ready。,False
domestic:SHDPZ:zlc-characters-line527-shang-ding-1943-join,尚丁 1943 年参加中国民主同盟条目（《上海民主党派志》资料长编 人物）,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,unpublished,offline,not_online,printed_finding_aid,L3,core,needs_human_review,ACCEPT_METADATA,目录或本地内部汇编记录可核验；只接受元数据线索，不代表已取得原件，不提升citation_ready。,False
domestic:SHDPZ:zlc-characters-line79-liu-simou-1942-return,刘思慕 1942 年春回国条目（《上海民主党派志》资料长编 人物）,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,unpublished,offline,not_online,printed_finding_aid,L3,core,needs_human_review,ACCEPT_METADATA,目录或本地内部汇编记录可核验；只接受元数据线索，不代表已取得原件，不提升citation_ready。,False
domestic:SHPRESS:zhanglan-shidai-ribao-1947-11-07-lead,张澜个人书面谈话（1947-11-07《时代日报》等出处线索）,SHPRESS,上海《时代日报》等（后期盟史与研究引文）,pending,open,not_online,secondary_lead,L4,related,needs_human_review,NEED_ORIGINAL,目前只有二次线索或替代页面；在取得原刊影像、档案复制件或可核验全文前维持人工复核。,False
domestic:WH:wenhuibao-1946-pcc-five-agreements-1946-01-31,政协会议闭幕五项协议通过（《文汇报》1946-01-31 报道）,WH,《文汇报》(1938 创刊于上海),pending,open,surrogate_online,secondary_lead,L1,related,needs_human_review,NEED_ORIGINAL,目前只有二次线索或替代页面；在取得原刊影像、档案复制件或可核验全文前维持人工复核。,False
domestic:WH:wenhuibao-1946-refuse-national-assembly-shanghai-1946-11-25,民盟不参加国大上海声明（《文汇报》1946-11-25 报道）,WH,《文汇报》,pending,open,surrogate_online,secondary_lead,L1,core,needs_human_review,NEED_ORIGINAL,目前只有二次线索或替代页面；在取得原刊影像、档案复制件或可核验全文前维持人工复核。,False
domestic:WS:dagongbao-1946-pcc-five-agreements-1946-01-31,政协五项协议通过（《大公报》1946-01-31 报道）,WS,Wangfang Data 上海图书公司近代期刊全文库（或其他公开数据库）,pending,open,surrogate_online,secondary_lead,L1,related,needs_human_review,NEED_ORIGINAL,目前只有二次线索或替代页面；在取得原刊影像、档案复制件或可核验全文前维持人工复核。,False
domestic:WS:dagongbao-1946-refuse-national-assembly-minmeng-1946-11-14,民盟正式拒绝参加国大（《大公报》1946-11-14 报道）,WS,《大公报》数字版(及公网数据库),pending,open,surrogate_online,secondary_lead,L1,core,needs_human_review,NEED_ORIGINAL,目前只有二次线索或替代页面；在取得原刊影像、档案复制件或可核验全文前维持人工复核。,False
domestic:XHB:xinhuaribao-1946-li-wen-mao-zhu-condolence-1946-07-21,毛泽东朱德唁电李公朴闻一多家属（《新华日报》1946-07-21 转载）,XHB,《新华日报》(1938-1947),pending,open,surrogate_online,secondary_lead,L1,core,needs_human_review,NEED_ORIGINAL,目前只有二次线索或替代页面；在取得原刊影像、档案复制件或可核验全文前维持人工复核。,False
domestic:XHB:xinhuaribao-1946-pcc-five-agreements-1946-01-31,政协五项协议通过（《新华日报》1946-01-31 报道）,XHB,《新华日报》(1938-1947 公开数字档案),pending,open,surrogate_online,secondary_lead,L1,related,needs_human_review,NEED_ORIGINAL,目前只有二次线索或替代页面；在取得原刊影像、档案复制件或可核验全文前维持人工复核。,False
domestic:XHB:xinhuaribao-1946-refuse-national-assembly-editorial-1946-11-25,立刻解散非法的国大（《新华日报》1946-11-25 社论）,XHB,《新华日报》(1938-1947),pending,open,surrogate_online,secondary_lead,L1,core,needs_human_review,NEED_ORIGINAL,目前只有二次线索或替代页面；在取得原刊影像、档案复制件或可核验全文前维持人工复核。,False
