file_id,batch,pages,mean_confidence,decision,citation_ready,needs_human_review,source_path
P3-10457,pending37,16,0.8963,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10457_光明報_1947年18期.pdf
P3-10458,pending37,16,0.8954,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10458_光明報_1947年19期.pdf
P3-10459,pending37,16,0.8779,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10459_光明報_1947年20期.pdf
P3-8658,pending37,2,0.8339,REVIEW_ORIGINAL,False,True,data/domestic/press_scans/NLC1080-00N000846-8658_新华日报_1941-10-16.pdf
P3-N1080-7604,pending37,4,0.8578,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC1080-00N001037-7604_大剛報_1947年11月04日.pdf
P3-N1080-7606,pending37,4,0.8429,REVIEW_ORIGINAL,False,True,data/domestic/press_scans/NLC1080-00N001037-7606_大剛報_1947年11月06日.pdf
P3-85442,pending37,47,0.8766,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-00J001436-85442_民憲_第一卷第一期.pdf
P3-85444,pending37,41,0.8769,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-00J001436-85444_民憲_第一卷第三期.pdf
P3-85446,pending37,53,0.8689,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-00J001436-85446_民憲_第一卷第五期.pdf
P3-85447,pending37,51,0.865,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-00J001436-85447_民憲_第一卷第六期.pdf
P3-85448,pending37,51,0.8558,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-00J001436-85448_民憲_第一卷第七期.pdf
P3-10483,pending37,20,0.8793,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10483_光明報_1947年22期.pdf
P3-10484,pending37,24,0.8597,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10484_光明報_1948年1卷1期.pdf
P3-10514,pending37,20,0.9192,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10514_光明報_1948年1卷12期.pdf
P3-10515,pending37,20,0.9258,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10515_光明報_1949年2卷1期.pdf
P3-10835,pending37,16,0.8997,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10835_光明報_1946年2期.pdf
P3-23806,pending37,20,0.9136,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-23806_光明報_1946年11期.pdf
P3-72821,pending37,20,0.9193,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-72821_光明報_1949年2卷12期.pdf
P3-GXMM-SH,pending37,1,0.5019,REVIEW_ORIGINAL,False,True,data/domestic/press_scans/NLC_大公報_上海版_1947-11-06_第2版_完整影像_试用数据库.pdf
P3-GXMM-TJ,pending37,1,0.4575,REJECT_OCR,False,True,data/domestic/press_scans/NLC_大公報_天津版_1947-11-06_第2版_完整影像_试用数据库.pdf
P3-85443,pending37,47,0.8654,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-00J001436-85443_民憲_第一卷第二期.pdf
P3-85450,pending37,51,0.8794,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-00J001436-85450_民憲_第一卷第九期.pdf
P3-85451,pending37,49,0.8596,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-00J001436-85451_民憲_第一卷第十期.pdf
P3-85452,pending37,51,0.8545,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-00J001436-85452_民憲_第一卷第十一期.pdf
P3-85454,pending37,71,0.8522,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-00J001436-85454_民憲_第二卷第一期.pdf
P3-85455,pending37,45,0.8674,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-00J001436-85455_民憲_第二卷第二期.pdf
P3-023,accepted_orphan,278,0.9301,PENDING_CODEX_REVIEW,False,True,data/domestic/press_scans/SSID-13679264_观察_第3卷第1-12期.pdf
P3-113,tail_113_114,232,0.8652,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC511-012031312030001-21905_大公報_第113卷.pdf
P3-114,tail_113_114,248,0.8626,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC511-012031312030001-21906_大公報_第114卷.pdf
