id,scope_type,scope_slug,scope_name,page_id,event_date,event_year,event_title,event_summary,actors,tags,places,organizations,importance
14,topic,kunming-assassinations,昆明暗杀与民盟政治压力,826,1976-12-01,未注明,昆明暗杀事件引发的政治压力与外交关注,**机密** （安全等级） **国家情报每日电讯** 1976年12月1日，星期三 CI NIDC 76-280C **国家安全信息** **未经授权披露将受刑事制裁** **目录** **中国：政府职位** 第1页 **联合国：秘书长选举** 第2页 **苏美关系：勃列日涅夫就两国关系发表讲话** 第3页 **欧洲与日本：计算机市场** 第5页 **西德：核能争端** 第6页 **波斯湾国家：外长会议** 第7页 **纳米比亚：制宪会议** 第9页 **孟加拉国：齐亚接管政权** 第10页 **印度：又一个丰收…,周恩来; 蒋介石,昆明暗杀; 马歇尔调处,北平; 华盛顿,中国共产党,40
15,topic,kunming-assassinations,昆明暗杀与民盟政治压力,827,1982-04-01,未注明,昆明暗杀事件引发的政治压力与外交关注,这份文件并非您所描述的“1940s-1950s 美方一手档案”，也不涉及“中国民主同盟相关史料”。 如果您有符合要求的原始CIA解密档案（例如关于中国民主同盟在1940-1950年代活动的报告），请提供该文本，我将很乐意协助您完成翻译。,马歇尔; 蒋介石,昆明暗杀; 政协; 马歇尔调处; 联合政府; 民盟,北平; 香港; 沈阳; 成都; 华盛顿,中国民主同盟; 国民政府; 国民党; 中国共产党; 民主社会党; 政治协商会议; 美国国务院; 国民大会,55
16,topic,kunming-assassinations,昆明暗杀与民盟政治压力,828,2018-09-11,未注明,昆明暗杀事件引发的政治压力与外交关注,**中国：对中国民主同盟领导人的袭击**——美国驻昆明领事馆获得可靠情报称，7月15日一名中国民主同盟（民盟）知名成员遭暗杀、其子受重伤的事件，是反动秘密警察计划在昆明刺杀民盟高级成员的总阴谋的一部分。 ）民盟领导人正呼吁成立一个包括马歇尔将军代表在内的委员会进行调查。,马歇尔,昆明暗杀; 马歇尔调处; 民盟,昆明,中国民主同盟; 中国共产党,55
17,topic,kunming-assassinations,昆明暗杀与民盟政治压力,830,2018-09-11,未注明,昆明暗杀事件引发的政治压力与外交关注,中国：中国民主同盟力量削弱**——美国驻南京大使馆报告称，近期昆明暗杀事件已使民盟成员士气低落，并暴露出中国民主同盟作为一个政党和中国内部政治凝聚力的软弱性。 面对公开认错、出国或加入共产党这三种选择，多数民盟领导人可能会选择公开认错，其他人则可能寻求流亡。,,昆明暗杀; 民盟,昆明; 南京,中国民主同盟; 国民党; 中国共产党; 美国国务院,55
18,topic,kunming-assassinations,昆明暗杀与民盟政治压力,831,2018-09-11,未注明,CIA Reading Room 02036414: DAILY SUMMARY - 1946/07/31,**中国：政治难民离开美国领事馆**——美国驻昆明总领事馆报告称，两周前在该领事馆获得庇护的中国民主同盟政治难民（参见7月18日每日摘要第5条），在获得充分保护及飞往上海的航空保障后，已离开领事馆。,,民盟,昆明; 上海,中国民主同盟; 美国驻昆明领事馆; 国民大会,40
19,topic,kunming-assassinations,昆明暗杀与民盟政治压力,143,22 July 1946,1946,昆明暗杀事件引发的政治压力与外交关注,893/7-2246：电报〔文件698〕马歇尔将军致杜鲁门总统。 我也不同意他认为全部责任都在共产党一方的看法，并且我着重谈到昆明和平的民盟教授遭暗杀一事对世界舆论的影响；尤其是有关一个恐怖恐吓自由派人士的组织的传闻，直接指向一位最显著的国民党领导人。,周恩来; 马歇尔; 司徒雷登; 蒋介石,昆明暗杀; 马歇尔调处; 民盟,昆明; 南京; 牯岭,中国民主同盟; 国民党; 中国共产党; 行政院,70
20,topic,kunming-assassinations,昆明暗杀与民盟政治压力,30,"April 5, 1945",1945,昆明暗杀事件引发的政治压力与外交关注,893.00/4-545［文件228］驻华代办艾奇逊致国务卿。第279号。 重庆，1945年4月5日。［4月17日收。］主题：李济深元帅的沉浮。 先生：兹提及国务院1945年2月26日第三人称指示，其中除其他事项外，评论了使馆1944年12月15日第9号函，题为《中国东南部被日军隔绝以来的状况》。国务院表示，将饶有兴趣地关注该地区潜在分离主义集团未来活动。现随函附上1945年3月23日驻成都使馆随员 约翰·S. 谢伟思 第5号函副本，题为《李济深元帅的沉浮》，其中载有关于此题的进一步资料。 该函报告称，蔡廷锴将军…,梁漱溟; 蒋介石,昆明暗杀,重庆; 成都,中国共产党; 美国国务院,15
21,topic,kunming-assassinations,昆明暗杀与民盟政治压力,12,"August 1, 1944",1944,昆明暗杀事件引发的政治压力与外交关注,893.00/8-144〔文件400〕 驻昆明总领事（兰登）致国务卿 第58号〔摘录〕 昆明，1944年8月1日。〔8月22日收到。〕 先生：参照总领事馆1944年7月14日第51号公文，关于中国未来政治发展的报告，我谨向国务院报告昆明中国自由派人士对蒋介石委员长的看法。这些看法显示，蒋在中国自由派中的声望已严重下降，也说明了他们对其领导的批评和反对。 这些意见由国民党内自由派和独立自由派人士在最严格保密情况下向总领事馆官员表达；据信它们代表了自由中国的自由派情绪。本公文所报告的观察尤其重要，因为提出这些意见的中…,蒋介石,昆明暗杀,昆明,中国民主同盟; 国民党; 中国共产党; 美国国务院; 美国驻昆明领事馆,35
22,topic,kunming-assassinations,昆明暗杀与民盟政治压力,13,"August 2, 1944",1944,昆明暗杀事件引发的政治压力与外交关注,一位同民主同盟和共产党均关系密切的消息来源称，民主同盟所联合的各党派、团体代表，预定约于9月1日在重庆举行秘密会议。,,昆明暗杀; 民盟,昆明; 重庆; 成都; 桂林,中国民主同盟; 国民党; 中国共产党; 美国国务院,50
23,topic,kunming-assassinations,昆明暗杀与民盟政治压力,151,"August 2, 1946",1946,昆明暗杀事件引发的政治压力与外交关注,"1946年7月26日第517号,第31号,其中要求提交大使馆二等秘书菲利普·斯普鲁斯前往昆明的航空邮件报告,谨附上1946年8月1日题为“在总领事馆的保护下离开中国人在昆明的领事房地;昆明的中国当局的保护保证”的备忘录(一)和(二)1946年8月1日题为“在昆明暗杀李公朴和闻一多的责任问题”的备忘录副本。 在斯普鲁斯先生访问期间，中国当局对昆明的友好态度，是因为马歇尔将军和司徒雷登大使在这方面对委员长采取了态度。",马歇尔; 司徒雷登; 蒋介石,昆明暗杀; 马歇尔调处; 民盟,昆明; 南京; 牯岭,中国民主同盟; 国民党; 中国共产党; 美国国务院; 美国驻华使馆,50
24,topic,kunming-assassinations,昆明暗杀与民盟政治压力,160,"August 20, 1946",1946,昆明暗杀事件引发的政治压力与外交关注,74 中国民主同盟成员，关注大众教育运动。,司徒雷登,昆明暗杀; 民盟,昆明; 南京,中国民主同盟; 美国国务院,50
25,topic,kunming-assassinations,昆明暗杀与民盟政治压力,14,"August 23, 1944",1944,昆明暗杀事件引发的政治压力与外交关注,"斯普鲁斯先生援引所谓""中国民主同盟""领导人罗隆基的话称，这场运动是一场旨在改革政府的革命，其目标是建立代议制民主政府、继续对日作战，并给予言论、出版、集会和结社自由；罗隆基还表示，由于缺乏一位有实力、有影响力的领袖，将成立一个""委员会""来指导运动。",罗隆基; 蒋介石,昆明暗杀; 民盟,昆明; 重庆; 桂林,中国民主同盟; 国民政府; 国民党; 中国共产党; 美国国务院,60
26,topic,kunming-assassinations,昆明暗杀与民盟政治压力,169,"August 29, 1946",1946,昆明暗杀事件引发的政治压力与外交关注,梁漱溟一直在昆明代表民主同盟调查此案。,梁漱溟; 司徒雷登,昆明暗杀; 民盟,昆明; 南京,中国民主同盟; 美国国务院,70
27,topic,kunming-assassinations,昆明暗杀与民盟政治压力,170,"August 29, 1946",1946,昆明暗杀事件引发的政治压力与外交关注,最近报载称，民主同盟主席张澜数日前在成都参加李公朴和闻一多追悼会时，遭特务人员殴打。,张澜; 司徒雷登,昆明暗杀; 民盟,成都,中国民主同盟,85
28,topic,kunming-assassinations,昆明暗杀与民盟政治压力,15,"August 31, 1944",1944,昆明暗杀事件引发的政治压力与外交关注,"893.42/8–3144 [文件第421号] 驻昆明总领事（兰登）致驻华大使（高斯）函 第38号 昆明，1944年8月31日 阁下： 关于大使馆1944年8月16日备忘录中提及的所谓民主学生运动，谨此呈报总领事馆所获有关昆明中国大学生活动的信息。[以下为详细报告] 结论 可以断定，联大学生对当前中国状况深感不满，这种不满既涉及自身处境，也关乎现有的军事、政治及经济形势。然而，由于学生间缺乏充分组织，且学生中存在中央政府""密探""——这些人预计会及时向国民党当局报告任何抗议运动的建立——因此难以发起强有力的公开抗议…",,昆明暗杀,昆明,国民党; 美国国务院; 美国驻昆明领事馆,15
29,topic,kunming-assassinations,昆明暗杀与民盟政治压力,152,"August 6, 1946",1946,昆明暗杀事件引发的政治压力与外交关注,00/8–646：电报 [文件735] 驻华大使（司徒雷登）致国务卿 南京，1946年8月6日上午10时 [8月6日凌晨4时25分收到] 第1270号 近期与民盟成员（包括部分曾在昆明领事馆避难者）的谈话表明，昆明暗杀事件后，民盟内部普遍存在恐惧情绪。 无论暗杀责任归属何方，最终结果已暴露出中国民主同盟作为独立政党的脆弱性，及其作为中国内政凝聚因素的局限性。,司徒雷登,昆明暗杀; 民盟,昆明; 南京,中国民主同盟; 国民党; 中国共产党; 美国国务院,70
30,topic,kunming-assassinations,昆明暗杀与民盟政治压力,153,"August 6, 1946",1946,昆明暗杀事件引发的政治压力与外交关注,预计只有少数民盟领导人会前往共产党控制区；一位著名的民盟教授已向大使馆含蓄表达了前往延安的意愿。 然而，预计学生（尤其是受暗杀事件影响的大学学生）向延安、张家口或其他共产党控制地区的流动将会增加。,司徒雷登,昆明暗杀; 民盟,延安,中国民主同盟; 中国共产党,75
31,topic,kunming-assassinations,昆明暗杀与民盟政治压力,154,"August 8, 1946",1946,昆明暗杀事件引发的政治压力与外交关注,马歇尔使团档案，第54-D270卷〔文件742〕 蒋介石委员长与马歇尔将军会谈记录 中国牯岭，1946年8月8日下午。 马歇尔将军说，他推迟到今天才返回南京，是为了等待司徒雷登博士从南京星期二晚间同周恩来将军会谈后返回并提交详细报告；司徒雷登在那次会谈中转达了委员长关于停止敌对行动的各项规定。,周恩来; 马歇尔; 司徒雷登; 蒋介石,昆明暗杀; 政协; 马歇尔调处; 民盟,昆明; 南京; 满洲; 牯岭,中国民主同盟; 国民政府; 国民党; 中国共产党; 政治协商会议; 美国国务院; 美国驻昆明领事馆,70
32,topic,kunming-assassinations,昆明暗杀与民盟政治压力,363,"February 1, 1949",1949,昆明暗杀事件引发的政治压力与外交关注,1月29日广播还提到中国共产党“按照毛的八项条件和平解决北平问题”的正确性和成功，并指出“这不仅为和平谈判准备了地点，而且为解决南京、上海、汉口、太原、昆明、广州、兰州、迪化、西安、海南等地和平问题树立了榜样”。 注96：民主同盟成员。,沈钧儒; 司徒雷登; 蒋介石,昆明暗杀; 北平接触; 民盟,昆明; 北平; 南京; 上海,中国民主同盟; 国民政府; 国民党; 中国共产党; 美国国务院,70
33,topic,kunming-assassinations,昆明暗杀与民盟政治压力,277,"February 6, 1947",1947,昆明暗杀事件引发的政治压力与外交关注,"他认为民主同盟是机会主义的,在等待中断;他们的立场的效果是对共产党的帮助,他觉得一些联盟成员与共产党没有什么区别. 关于昆明的文立暗杀事件,他说55,他为追查枪击事件的责任而特别痛心,最终被钉在军人身上,有些人至少受到名义上的处罚.",蒋介石,昆明暗杀; 第三方面; 民盟,昆明; 南京; 满洲; 成都; 天津,中国民主同盟; 国民政府; 国民党; 中国共产党; 青年党; 民主社会党; 美国驻华使馆; 行政院,50
34,topic,kunming-assassinations,昆明暗杀与民盟政治压力,23,"January 20, 1945",1945,昆明暗杀事件引发的政治压力与外交关注,龙云、潘某等人之间存在明确谅解一事，近期已多次由中国民主同盟的主要代表向我传达，他们坚称中国共产党也包含在该联盟之内。,蒋介石,昆明暗杀; 民盟,昆明; 重庆; 成都,中国民主同盟; 国民政府; 中国共产党; 美国国务院; 美国驻华使馆,50
35,topic,kunming-assassinations,昆明暗杀与民盟政治压力,24,"January 23, 1945",1945,昆明暗杀事件引发的政治压力与外交关注,先生：我谨报告1945年1月22日同民主同盟代表朱蕴山先生会谈的内容。 朱先生大部分时间用于民盟组织工作，目前正同此地民盟主要领导人一起起草民盟关于联合政府的最终纲领。,罗隆基; 蒋介石,昆明暗杀; 联合政府; 民盟,昆明; 重庆; 成都; 桂林,中国民主同盟; 中国共产党,80
36,topic,kunming-assassinations,昆明暗杀与民盟政治压力,27,"January 31, 1945",1945,昆明暗杀事件引发的政治压力与外交关注,"值得指出的是,非共产主义中国组织和个人主张的政治改革,在很大程度上与中共主张的改革相同. 范宣德[附件] 中国事务改革司特洛伊·珀金斯先生的备忘录,由著名中文(人物和组织)简称. 国民参政会：国民参政会,中国民主政团同盟：中国民主政团同盟,宪政促进会：宪政促进会. (关于所提到的个人和报纸,见附录末尾。 ) 一. 政治立场。 总的来说,中国现在更加民主,是所有问题的症结所在,特别是眼前的战争局势。 [中国民主政团同盟,宪政促进会,《大公报》,部分国民党员私下谈话,孙科,冯玉祥,杨奇赫,李济深,刘文辉,黄炎培,陈光…",梁漱溟; 黄炎培; 蒋介石,昆明暗杀,昆明; 北平; 重庆; 上海,中国民主同盟; 国民党; 中国共产党; 美国国务院,20
37,topic,kunming-assassinations,昆明暗杀与民盟政治压力,9,"July 11, 1944",1944,昆明暗杀事件引发的政治压力与外交关注,在该协会的掩护下，民盟成员得以讨论宪政及相关问题，并将其意见作为根据中央政府意愿设立的机构所提出的意见，呈报重庆当局。,蒋介石,昆明暗杀; 民盟,昆明; 重庆; 桂林,中国民主同盟; 美国国务院; 美国驻昆明领事馆,50
38,topic,kunming-assassinations,昆明暗杀与民盟政治压力,10,"July 14, 1944",1944,昆明暗杀事件引发的政治压力与外交关注,原注：该组织成员现将其译名改为“民主同盟”。,蒋介石,昆明暗杀; 民盟,昆明; 重庆,中国民主同盟; 国民党; 中国共产党; 美国国务院; 美国驻昆明领事馆,70
39,topic,kunming-assassinations,昆明暗杀与民盟政治压力,136,"July 16, 1946",1946,昆明暗杀事件引发的政治压力与外交关注,马歇尔使团档案，Lot 54-D270〔文件679〕周恩来将军致马歇尔将军备忘录。 亲爱的马歇尔将军： 我到上海后，认识到陈立夫特务人员的压迫，比我在南京时想象的严重得多。,周恩来; 马歇尔; 司徒雷登; 蒋介石,昆明暗杀; 政协; 马歇尔调处; 民盟,南京; 上海,中国民主同盟; 国民党; 中国共产党; 政治协商会议,70
40,topic,kunming-assassinations,昆明暗杀与民盟政治压力,137,"July 17, 1946",1946,昆明暗杀事件引发的政治压力与外交关注,马歇尔使团档案，Lot 54-D270 [文件682] 马歇尔将军与周恩来将军会谈纪要，1946年7月17日上午10时45分，南京宁海路5号。 马歇尔将军：我想先问你一个问题。,罗隆基; 沈钧儒; 史良; 周恩来; 马歇尔; 司徒雷登; 蒋介石,昆明暗杀; 政协; 马歇尔调处; 民盟,昆明; 南京; 重庆; 上海; 成都,中国民主同盟; 国民党; 中国共产党; 政治协商会议; 美国驻华使馆; 行政院,80
41,topic,kunming-assassinations,昆明暗杀与民盟政治压力,139,"July 17, 1946",1946,昆明暗杀事件引发的政治压力与外交关注,民主同盟著名成员闻一多于今晚6时遭暗杀，其子受重伤；二人遭密集枪击。 通过警备司令副官之兄可靠查明，特务机关已接到指令，要在昆明刺杀民主同盟高级成员；民主同盟云南支部主席、云大教授楚图南，以及民盟省支部书记赵沨，也被列为今晚刺杀对象。,司徒雷登,昆明暗杀; 北平接触; 民盟,昆明; 北平; 南京; 上海,中国民主同盟; 中国共产党; 美国国务院,70
42,topic,kunming-assassinations,昆明暗杀与民盟政治压力,140,"July 17, 1946",1946,昆明暗杀事件引发的政治压力与外交关注,在当前恐怖气氛下，现留在领事馆的民盟成员不愿离开，除非“负责任的”政府方面保证其安全，或达成全国性政治解决。 他们认为，他们提出的下列条件，是解决暗杀事件造成的即时紧张局势的必要步骤：第一，立即停止昆明的恐怖活动；第二，保障民主同盟所有成员以及所有为民主与和平事业工作者的人身安全；第三，组织并派出一个调查昆明暗杀事件的委员会，由政府、民盟和马歇尔将军方面的代表组成。,马歇尔; 司徒雷登,昆明暗杀; 马歇尔调处; 民盟,昆明; 香港,中国民主同盟; 美国驻昆明领事馆,75
43,topic,kunming-assassinations,昆明暗杀与民盟政治压力,141,"July 18, 1946",1946,昆明暗杀事件引发的政治压力与外交关注,马歇尔使团档案，Lot 54-D270〔文件687〕 马歇尔将军与俞大维将军会谈纪要 南京，宁海路5号，1946年7月18日上午11时30分。 马歇尔将军向俞大维出示了一幅由共产党代表团制作的江苏省态势图。,周恩来; 马歇尔,昆明暗杀; 马歇尔调处; 民盟,昆明; 南京,中国民主同盟; 国民政府; 中国共产党,70
44,topic,kunming-assassinations,昆明暗杀与民盟政治压力,144,"July 23, 1946",1946,昆明暗杀事件引发的政治压力与外交关注,与此同时，此前未曾在总领事馆避难的民盟成员蒋曾忠教授昨日收到威胁，称若他离家外出，将被暗杀。 总领事馆作出此决定，不仅基于上述恐怖气氛及何将军的不合作态度，还基于从多个来源获得的可靠情报，这些情报一致表明何将军至少参与了一两起此前的暗杀事件。,司徒雷登,昆明暗杀; 民盟,昆明; 南京,中国民主同盟; 美国国务院,50
45,topic,kunming-assassinations,昆明暗杀与民盟政治压力,145,"July 23, 1946",1946,昆明暗杀事件引发的政治压力与外交关注,当地报纸编辑报告称，一名三民主义青年团同乡说，闻一多暗杀案由警备司令部第六师六名成员执行，他们收取了六百万元。 另据一名民盟成员的朋友说，其兄弟是何将军副官，透露警备司令部特务机关曾下令暗杀民盟成员，并给出名单上居首者姓名（见我第65号电）。,司徒雷登,昆明暗杀; 民盟,昆明; 南京,中国民主同盟; 国民党; 中国共产党,55
46,topic,kunming-assassinations,昆明暗杀与民盟政治压力,146,"July 26, 1946",1946,昆明暗杀事件引发的政治压力与外交关注,马歇尔使团文件，Lot 54–D270 [文件706] 马歇尔将军与周恩来将军在南京宁海路5号会谈记录，1946年7月26日上午10时15分 南京，1946年7月26日上午10时15分 周恩来将军：非常感谢您提供的交通便利。 马歇尔将军：我发出询问电文是因为我急于请您回来，以便我们能与司徒雷登博士讨论当前局势。,周恩来; 马歇尔; 司徒雷登; 蒋介石,昆明暗杀; 政协; 马歇尔调处; 民盟,昆明; 南京; 上海; 满洲; 牯岭,中国民主同盟; 国民政府; 国民党; 中国共产党; 政治协商会议; 行政院,70
47,topic,kunming-assassinations,昆明暗杀与民盟政治压力,147,"July 26, 1946",1946,昆明暗杀事件引发的政治压力与外交关注,马歇尔使团档案，Lot 54-D270 [文件708] 马歇尔将军与罗隆基博士会谈纪要，1946年7月26日下午1时15分，南京宁海路5号。 罗博士开会时说，马歇尔将军启程赴牯岭以前，他必须见马歇尔一面，因为有一件特别重要的事情，需要在马歇尔即将访问牯岭期间采取行动。,罗隆基; 马歇尔; 蒋介石,昆明暗杀; 马歇尔调处; 民盟,昆明; 南京; 牯岭,中国民主同盟; 国民党,80
48,topic,kunming-assassinations,昆明暗杀与民盟政治压力,148,"July 26, 1946",1946,昆明暗杀事件引发的政治压力与外交关注,罗博士认为，民主同盟不可能派一名有影响力的成员去昆明调查，因为此人很可能得不到任何保护，并且除非作为联合委员会成员，否则肯定没有任何权威。 罗博士此时紧急把此事提请马歇尔将军注意，主要目的在于说服马歇尔在牯岭期间同委员长提出此事。,罗隆基; 马歇尔; 蒋介石,昆明暗杀; 马歇尔调处; 民盟,昆明; 南京; 牯岭,中国民主同盟; 美国国务院,85
49,topic,kunming-assassinations,昆明暗杀与民盟政治压力,149,"July 30, 1946",1946,昆明暗杀事件引发的政治压力与外交关注,马歇尔使团档案，第54-D270卷：电报〔文件716〕 马歇尔将军致杜鲁门总统 〔南京，〕1946年7月30日。 与此同时，民主同盟两名大学教授在昆明被暗杀，以及上海同类人士遭秘密警察严密监视，引起极大震动，并使自由派人士产生一种感觉：政府正在采用恐怖手段镇压任何口头或文字形式的反对意见。,周恩来; 马歇尔; 司徒雷登; 蒋介石,昆明暗杀; 马歇尔调处; 第三方面; 北平接触; 联合政府; 民盟,昆明; 北平; 南京; 上海; 满洲; 天津; 牯岭,中国民主同盟; 国民政府; 国民党; 中国共产党; 美国国务院,70
50,topic,kunming-assassinations,昆明暗杀与民盟政治压力,150,"July 31, 1946",1946,昆明暗杀事件引发的政治压力与外交关注,马歇尔使团档案，Lot 54–D270 [文件718] 马歇尔将军与俞大维将军会谈记录 南京宁海路5号，1946年7月31日下午6时45分 南京，1946年7月31日下午6时45分。 俞大维将军首先询问马歇尔将军上次牯岭之行与委员长会谈的结果。,罗隆基; 张君劢; 马歇尔; 司徒雷登; 蒋介石,昆明暗杀; 马歇尔调处; 第三方面; 北平接触,北平; 南京; 满洲; 牯岭,国民党; 中国共产党,25
51,topic,kunming-assassinations,昆明暗杀与民盟政治压力,300,"July 5, 1947",1947,北平接触与民盟人士沟通,"[附录] 驻北平领事(弗里曼)驻华大使(司徒雷登)第25号 1947年7月1日 北平. 先生:我荣幸地提及最近的报告,这些报道无疑已引起大使馆的注意,报告在中国成立第三党的运动,并报告在北平这一运动的发展情况。",司徒雷登; 蒋介石,第三方面; 北平接触; 联合政府; 民盟,昆明; 北平; 南京; 上海; 香港,中国民主同盟; 国民党; 中国共产党,75
