id,candidate_id,title,creator,document_date,document_type,repository_code,repository_name,collection_name,archive_fonds,archive_series,archive_file,archive_item,catalog_reference,catalog_reference_status,source_url,source_url_role,access_mode,access_note,medium,online_availability,rights_status,reuse_rights,rights_basis,copy_allowed,authenticity_level_proposed,relevance_grade_proposed,event_tags,person_tags,place_tags,evidence_note,evidence_type,evidence_locator,uncertainty_note,checked_at,checked_by,review_status,review_note,reviewed_at,reviewed_by,check_outcome,inserted_at,authenticity_level_accepted,relevance_grade_accepted,ingested_document_id
11,domestic:SAAC:1948-04-30-01,毛泽东修改的中共中央发布一九四八年“五一”劳动节口号,毛泽东；中共中央,1948-04-30,文件手稿/口号原件,SAAC,中央档案馆,从五一口号到开国大典档案文献专题,,,,,saac:gqzt:content/01/01_01,verified,https://www.saac.gov.cn/daj/gqzt/content/01/01_01.html,item_surrogate,open,国家档案局官方专题页含数字影像入口,hybrid,surrogate_online,public,citation_only,国家档案局专题页面规则待核对,unknown,L1,core,"[""1948五一口号"", ""新政协筹备""]","[""毛泽东""]","[""解放区""]",中央档案馆官方专题的具体条目页，题名和形成日期明确，并提供原件图片入口。,digital_image,条目页标题、日期和图片,公开页未显示完整档号和页码。,2026-07-18,codex,accepted,2026-08-02 降级 lead_only：surrogate_online 无可采集全文，仅线索登记；未真正进入 documents/pages，不再计入已收集。,2026-07-18,codex,lead_only,2026-07-18 06:54:44,L1,core,
12,domestic:SAAC:1948-04-30-02,中共中央关于“五一”劳动节口号连播三天给新华社的电报,中共中央,1948-04-30,电报,SAAC,中央档案馆,从五一口号到开国大典档案文献专题,,,,,saac:gqzt:content/01/01_02,verified,https://www.saac.gov.cn/daj/gqzt/content/01/01_02.html,item_surrogate,open,官方专题页含数字影像入口,hybrid,surrogate_online,public,citation_only,国家档案局专题页面规则待核对,unknown,L1,core,"[""1948五一口号"", ""新华社传播""]",[],"[""解放区""]",中央档案馆官方专题具体电报条目，题名和1948年4月30日日期明确。,digital_image,条目页标题、日期和图片,公开页未显示完整档号和页码。,2026-07-18,codex,accepted,2026-08-02 降级 lead_only：surrogate_online 无可采集全文，仅线索登记；未真正进入 documents/pages，不再计入已收集。,2026-07-18,codex,lead_only,2026-07-18 06:54:44,L1,core,
13,domestic:SAAC:1948-05-01-01,毛泽东关于召开政治协商会议给李济深、沈钧儒的电报,毛泽东,1948-05-01,电报,SAAC,中央档案馆,从五一口号到开国大典档案文献专题,,,,,saac:gqzt:content/01/01_04,verified,https://www.saac.gov.cn/daj/gqzt/content/01/01_04.html,item_surrogate,open,官方专题页含数字影像入口,hybrid,surrogate_online,public,citation_only,国家档案局专题页面规则待核对,unknown,L1,core,"[""1948五一口号"", ""新政协筹备""]","[""毛泽东"", ""李济深"", ""沈钧儒""]","[""解放区"", ""香港""]",中央档案馆官方专题具体电报条目，题名、收发关系和日期明确。,digital_image,条目页标题、日期和图片,公开页未显示完整档号和页码。,2026-07-18,codex,accepted,2026-08-02 降级 lead_only：surrogate_online 无可采集全文，仅线索登记；未真正进入 documents/pages，不再计入已收集。,2026-07-18,codex,lead_only,2026-07-18 06:54:44,L1,core,
14,domestic:SAAC:1948-08-01-01,毛泽东关于召集新政协会议的时间、地点等问题给李济深、沈钧儒等的电报,毛泽东,1948-08-01,电报,SAAC,中央档案馆,从五一口号到开国大典档案文献专题,,,,,saac:gqzt:content/01/01_06,verified,https://www.saac.gov.cn/daj/gqzt/content/01/01_06.html,item_surrogate,open,官方专题页含数字影像入口,hybrid,surrogate_online,public,citation_only,国家档案局专题页面规则待核对,unknown,L1,core,"[""1948新政协"", ""民主党派协商""]","[""毛泽东"", ""李济深"", ""沈钧儒""]","[""解放区"", ""香港""]",中央档案馆官方专题具体电报条目，题名和1948年8月1日日期明确。,digital_image,条目页标题、日期和图片,公开页未显示完整档号和页码。,2026-07-18,codex,accepted,2026-08-02 降级 lead_only：surrogate_online 无可采集全文，仅线索登记；未真正进入 documents/pages，不再计入已收集。,2026-07-18,codex,lead_only,2026-07-18 06:54:44,L1,core,
15,domestic:SAAC:1948-10-01-01,沈钧儒、谭平山等民主人士关于希望早日召集新政协会议给毛泽东的电报,沈钧儒、谭平山等,1948-10-01,电报,SAAC,中央档案馆,从五一口号到开国大典档案文献专题,,,,,saac:gqzt:content/01/01_07,verified,https://www.saac.gov.cn/daj/gqzt/content/01/01_07.html,item_surrogate,open,官方专题页含数字影像入口,hybrid,surrogate_online,public,citation_only,国家档案局专题页面规则待核对,unknown,L1,core,"[""1948新政协"", ""民主人士北上""]","[""沈钧儒"", ""谭平山"", ""毛泽东""]","[""香港"", ""解放区""]",中央档案馆官方专题具体电报条目，题名、形成者和日期明确。,digital_image,条目页标题、日期和图片,公开页未显示完整档号和页码。,2026-07-18,codex,accepted,2026-08-02 降级 lead_only：surrogate_online 无可采集全文，仅线索登记；未真正进入 documents/pages，不再计入已收集。,2026-07-18,codex,lead_only,2026-07-18 06:54:44,L1,core,
16,domestic:SAAC:1948-10-08-01,中共中央关于约集沈钧儒、谭平山等征求对召开新政协诸问题的意见给高岗、李富春的电报,中共中央,1948-10-08,电报,SAAC,中央档案馆,从五一口号到开国大典档案文献专题,,,,,saac:gqzt:content/01/01_08,verified,https://www.saac.gov.cn/daj/gqzt/content/01/01_08.html,item_surrogate,open,官方专题页含数字影像入口,hybrid,surrogate_online,public,citation_only,国家档案局专题页面规则待核对,unknown,L1,core,"[""1948新政协"", ""民主党派协商""]","[""沈钧儒"", ""谭平山"", ""高岗"", ""李富春""]","[""解放区""]",中央档案馆官方专题具体电报条目，题名、收发关系和日期明确。,digital_image,条目页标题、日期和图片,公开页未显示完整档号和页码。,2026-07-18,codex,accepted,2026-08-02 降级 lead_only：surrogate_online 无可采集全文，仅线索登记；未真正进入 documents/pages，不再计入已收集。,2026-07-18,codex,lead_only,2026-07-18 06:54:44,L1,core,
17,domestic:SAAC:1949-01-08-01,中共中央政治局会议通过的《目前形势和党在一九四九年的任务》,中共中央政治局,1949-01-08,会议文件,SAAC,中央档案馆,从五一口号到开国大典档案文献专题,,,,,saac:gqzt:content/01/01_12,verified,https://www.saac.gov.cn/daj/gqzt/content/01/01_12.html,item_surrogate,open,官方专题页含数字影像入口,hybrid,surrogate_online,public,citation_only,国家档案局专题页面规则待核对,unknown,L1,related,"[""1949新政协筹备"", ""解放战争""]",[],"[""解放区""]",中央档案馆官方专题具体会议文件条目，题名和1949年1月8日日期明确。,digital_image,条目页标题、日期和图片,公开页未显示完整档号和页码。,2026-07-18,codex,accepted,2026-08-02 降级 lead_only：surrogate_online 无可采集全文，仅线索登记；未真正进入 documents/pages，不再计入已收集。,2026-07-18,codex,lead_only,2026-07-18 06:54:44,L1,related,
18,domestic:SAAC:1949-02-01-01,李济深、沈钧儒等56名到达解放区的民主人士给中共中央的电报及毛泽东、朱德的复电,李济深、沈钧儒等；毛泽东、朱德,1949-02-01/1949-02-02,电报及复电,SAAC,中央档案馆,从五一口号到开国大典档案文献专题,,,,,saac:gqzt:content/01/01_14,verified,https://www.saac.gov.cn/daj/gqzt/content/01/01_14.html,item_surrogate,open,官方专题页含数字影像入口,hybrid,surrogate_online,public,citation_only,国家档案局专题页面规则待核对,unknown,L1,core,"[""1949民主人士北上"", ""新政协筹备""]","[""李济深"", ""沈钧儒"", ""毛泽东"", ""朱德""]","[""解放区""]",中央档案馆官方专题具体电报条目，题名、参与人数和日期范围明确。,digital_image,条目页标题、日期和图片,公开页未显示完整档号和页码。,2026-07-18,codex,accepted,2026-08-02 降级 lead_only：surrogate_online 无可采集全文，仅线索登记；未真正进入 documents/pages，不再计入已收集。,2026-07-18,codex,lead_only,2026-07-18 06:54:44,L1,core,
19,domestic:SAAC:1949-02-14-01,周恩来拟写的中共中央关于邀请在东北的民主人士迅速来北平筹商新政协筹备会给东北局、华北局等的电报,周恩来；中共中央,1949-02-14,电报草稿,SAAC,中央档案馆,从五一口号到开国大典档案文献专题,,,,,saac:gqzt:content/01/01_15,verified,https://www.saac.gov.cn/daj/gqzt/content/01/01_15.html,item_surrogate,open,官方专题页含数字影像入口,hybrid,surrogate_online,public,citation_only,国家档案局专题页面规则待核对,unknown,L1,core,"[""1949新政协筹备"", ""民主人士北上""]","[""周恩来""]","[""东北"", ""北平""]",中央档案馆官方专题具体电报草稿条目，题名和1949年2月14日日期明确。,digital_image,条目页标题、日期和图片,公开页未显示完整档号和页码。,2026-07-18,codex,accepted,2026-08-02 降级 lead_only：surrogate_online 无可采集全文，仅线索登记；未真正进入 documents/pages，不再计入已收集。,2026-07-18,codex,lead_only,2026-07-18 06:54:44,L1,core,
20,domestic:SAAC:1949-03-12-01,毛泽东拟写的《七届二中全会决议》及七届二中全会会议公报,毛泽东；中共中央,1949-03-12/1949-03-23,会议文件及公报,SAAC,中央档案馆,从五一口号到开国大典档案文献专题,,,,,saac:gqzt:content/01/01_16,verified,https://www.saac.gov.cn/daj/gqzt/content/01/01_16.html,item_surrogate,open,官方专题页含数字影像入口,hybrid,surrogate_online,public,citation_only,国家档案局专题页面规则待核对,unknown,L1,related,"[""1949建国准备"", ""七届二中全会""]","[""毛泽东""]","[""西柏坡""]",中央档案馆官方专题具体会议文件条目，题名和日期范围明确。,digital_image,条目页标题、日期和图片,公开页未显示完整档号和页码。,2026-07-18,codex,accepted,2026-08-02 降级 lead_only：surrogate_online 无可采集全文，仅线索登记；未真正进入 documents/pages，不再计入已收集。,2026-07-18,codex,lead_only,2026-07-18 06:54:44,L1,related,
21,domestic:SAAC:1949-09-21-01,中国人民政治协商会议第一届全体会议单位及代表名单,中国人民政治协商会议第一届全体会议,1949-09-21,代表名册,SAAC,中央档案馆,从五一口号到开国大典档案文献专题,,,,,saac:gqzt:content/05/05_02,verified,https://www.saac.gov.cn/daj/gqzt/content/05/05_02.html,item_surrogate,open,官方专题页含名册影像入口,hybrid,surrogate_online,public,citation_only,国家档案局专题页面规则待核对,unknown,L1,core,"[""1949第一届政协"", ""民盟代表""]","[""张澜"", ""黄炎培"", ""沈钧儒""]","[""北平""]",中央档案馆官方专题具体名册条目，题名和1949年9月21日日期明确，直接涉及各单位及代表构成。,digital_image,条目页标题、日期和多页图片,公开页未显示完整档号和页码。,2026-07-18,codex,accepted,2026-08-02 降级 lead_only：surrogate_online 无可采集全文，仅线索登记；未真正进入 documents/pages，不再计入已收集。,2026-07-18,codex,lead_only,2026-07-18 06:54:44,L1,core,
22,domestic:SAAC:1949-09-21-02,中国人民政治协商会议第一届全体会议代表签名册,中国人民政治协商会议第一届全体会议,1949-09-21,签名册,SAAC,中央档案馆,从五一口号到开国大典档案文献专题,,,,,saac:gqzt:content/05/05_03,verified,https://www.saac.gov.cn/daj/gqzt/content/05/05_03.html,item_surrogate,open,官方专题页含签名册影像入口,hybrid,surrogate_online,public,citation_only,国家档案局专题页面规则待核对,unknown,L1,core,"[""1949第一届政协"", ""民盟代表""]","[""张澜"", ""黄炎培"", ""沈钧儒""]","[""北平""]",中央档案馆官方专题具体签名册条目，题名和日期明确，适合核验代表出席与签名信息。,digital_image,条目页标题、日期和图片,公开页未显示完整档号和页码。,2026-07-18,codex,accepted,2026-08-02 降级 lead_only：surrogate_online 无可采集全文，仅线索登记；未真正进入 documents/pages，不再计入已收集。,2026-07-18,codex,lead_only,2026-07-18 06:54:44,L1,core,
23,domestic:SAAC:1949-09-21-03,中国人民政治协商会议第一届全体会议程序,中国人民政治协商会议第一届全体会议,1949-09-21/1949-09-30,会议程序,SAAC,中央档案馆,从五一口号到开国大典档案文献专题,,,,,saac:gqzt:content/05/05_06,verified,https://www.saac.gov.cn/daj/gqzt/content/05/05_06.html,item_surrogate,open,官方专题页含会议程序影像入口,hybrid,surrogate_online,public,citation_only,国家档案局专题页面规则待核对,unknown,L1,core,"[""1949第一届政协"", ""会议制度""]","[""张澜"", ""黄炎培""]","[""北平""]",中央档案馆官方专题具体会议程序条目，日期覆盖1949年9月21日至30日。,digital_image,条目页标题、日期和图片,公开页未显示完整档号和页码。,2026-07-18,codex,accepted,2026-08-02 降级 lead_only：surrogate_online 无可采集全文，仅线索登记；未真正进入 documents/pages，不再计入已收集。,2026-07-18,codex,lead_only,2026-07-18 06:54:44,L1,core,
24,domestic:SAAC:1949-09-21-04,中国人民政治协商会议第一届全体会议主席团名单,中国人民政治协商会议第一届全体会议,1949-09-21,主席团名册,SAAC,中央档案馆,从五一口号到开国大典档案文献专题,,,,,saac:gqzt:content/05/05_07,verified,https://www.saac.gov.cn/daj/gqzt/content/05/05_07.html,item_surrogate,open,官方专题页含名册影像入口,hybrid,surrogate_online,public,citation_only,国家档案局专题页面规则待核对,unknown,L1,core,"[""1949第一届政协"", ""组织构成""]","[""张澜"", ""黄炎培"", ""沈钧儒""]","[""北平""]",中央档案馆官方专题具体主席团名单条目，题名和日期明确。,digital_image,条目页标题、日期和图片,公开页未显示完整档号和页码。,2026-07-18,codex,accepted,2026-08-02 降级 lead_only：surrogate_online 无可采集全文，仅线索登记；未真正进入 documents/pages，不再计入已收集。,2026-07-18,codex,lead_only,2026-07-18 06:54:44,L1,core,
25,domestic:SAAC:1949-09-21-05,中国民主同盟主席张澜在中国人民政治协商会议第一届全体会议上的讲话,张澜；中国民主同盟,1949-09-21,会议讲话,SAAC,中央档案馆,从五一口号到开国大典档案文献专题,,,,,saac:gqzt:content/05/05_11,verified,https://www.saac.gov.cn/daj/gqzt/content/05/05_11.html,item_surrogate,open,官方专题页含讲话影像入口,hybrid,surrogate_online,public,citation_only,国家档案局专题页面规则待核对,unknown,L1,core,"[""1949第一届政协"", ""民盟代表发言""]","[""张澜""]","[""北平""]",中央档案馆官方专题具体讲话条目，形成者、民盟身份和日期明确。,digital_image,条目页标题、日期和图片,公开页未显示完整档号和页码。,2026-07-18,codex,accepted,2026-08-02 降级 lead_only：surrogate_online 无可采集全文，仅线索登记；未真正进入 documents/pages，不再计入已收集。,2026-07-18,codex,lead_only,2026-07-18 06:54:44,L1,core,
26,domestic:SAAC:1949-09-21-06,中国人民政治协商会议第一届全体会议第一天会议记录,中国人民政治协商会议第一届全体会议,1949-09-21,会议记录,SAAC,中央档案馆,从五一口号到开国大典档案文献专题,,,,,saac:gqzt:content/05/05_18,verified,https://www.saac.gov.cn/daj/gqzt/content/05/05_18.html,item_surrogate,open,官方专题页含会议记录影像入口,hybrid,surrogate_online,public,citation_only,国家档案局专题页面规则待核对,unknown,L1,core,"[""1949第一届政协"", ""民盟代表发言""]","[""张澜"", ""毛泽东"", ""刘少奇""]","[""北平""]",中央档案馆官方专题具体会议记录条目，题名和日期明确。,digital_image,条目页标题、日期和图片,公开页未显示完整档号和页码。,2026-07-18,codex,accepted,2026-08-02 降级 lead_only：surrogate_online 无可采集全文，仅线索登记；未真正进入 documents/pages，不再计入已收集。,2026-07-18,codex,lead_only,2026-07-18 06:54:44,L1,core,
