id,source_id,source_name,institution,source_type,authority_level,official_url,record_or_search_url,material_types,shanghai_relevance,access_mode,rights_status,verification_note,checked_at,status
11,domestic:source:saac_special,国家档案局／中央档案馆“从五一口号到开国大典”档案文献专题,国家档案局、中央档案馆,官方档案数字专题,中央档案馆馆藏档案数字影像入口,https://www.saac.gov.cn/daj/gqzt/index.html,https://www.saac.gov.cn/daj/gqzt/01.html,"[""电报"", ""信件"", ""会议记录"", ""讲话稿"", ""名单"", ""会议刊物"", ""照片""]",高；专题中多条记录涉及港沪民主人士、新政协和民盟代表,在线浏览公开数字影像替身；完整馆藏档号依馆方查档,以国家档案局和中央档案馆页面规则为准,官方专题索引按事件、题名和形成日期列出多组1948—1949年档案文献，并提供具体条目页和图片入口；公开页通常未展示全宗/案卷号,2026-07-18,verified_entry
12,domestic:source:mmzy_history,中国民主同盟中央委员会盟史网页,中国民主同盟中央委员会,官方盟史专题,官方历史叙述与文件线索,https://www.mmzy.org.cn/,https://www.mmzy.org.cn/mmzt/sydzt/lcdbdh/34517.aspx,"[""第一次全国代表大会史料线索"", ""盟史专题"", ""组织沿革""]",高；补充民盟中央组织史和上海地方史的全国背景,在线公开浏览,以民盟中央网站版权规则为准,官方页面明确记载1945年临时全国代表大会、通过文件和组织人事；页面属于后期叙述，不直接等同于原件,2026-07-18,verified_entry
13,domestic:source:wikisource_transcripts,维基文库民国文献公开转录,维基文库社区,公开历史文献转录入口,文本线索；非档案保管机构,https://zh.wikisource.org/,https://zh.wikisource.org/zh-hans/中国民主政团同盟成立宣言,"[""历史宣言转录"", ""政协决议转录"", ""民国公文转录""]",中高；用于跨来源文本比对和原件追索,在线公开浏览,以页面版本、底本和版权说明为准,公开页面标注文献形成机关/日期并提供全文转录，但多数不是原件影像，必须回追馆藏或同期报刊,2026-07-18,verified_entry
14,domestic:source:hnmm_history,民盟湖南省委盟史资料页,中国民主同盟湖南省委员会,官方地方组织历史资料页,官方历史文本转载与线索,https://www.hnmm.gov.cn/,https://www.hnmm.gov.cn/content/644247/54/12382002.html,"[""民盟宣言文本转载"", ""盟史资料"", ""地方组织史""]",中；用于全国地方组织对位和原文追索,在线公开浏览,以民盟湖南省委网站规则为准,页面完整转载1948年6月14日《致全国各民主党派各人民团体各报馆暨全国同胞书》，但未提供原刊影像或档号,2026-07-18,verified_entry
15,domestic:source:fjmm,民盟福建省委盟史资料页,中国民主同盟福建省委员会,官方地方组织历史资料页,官方历史叙述与同期文献线索,https://www.fjmm.gov.cn/,https://www.fjmm.gov.cn/zsjs/sxjs/msyj/mstd/202203/t20220308_5880339.htm,"[""盟史综述"", ""人物与事件线索"", ""地方组织史""]",中；用于全国组织史对位和原始报刊追踪,在线公开浏览,以网站版权规则和具体页面条款为准,官方页面列出1941—1947年民盟组织史节点，作为原始材料追踪线索，不等同于原件,2026-07-18,verified_entry
16,domestic:source:93js,九三学社中央历史大事记,九三学社中央委员会,民主党派官方历史资料页,官方历史叙述与同期文献线索,https://www.93.gov.cn/,https://www.93.gov.cn/lshm-dsj/250156.html,"[""历史大事记"", ""民主党派声明线索"", ""人物资料""]",中高；用于1947年声援民盟材料的跨党派反查,在线公开浏览,以网站版权规则为准,官方大事记明确给出1947年11月4日声援民盟声明线索，需回追同期报刊,2026-07-18,verified_entry
17,domestic:source:gxmm,民盟广西区委盟史资料页,中国民主同盟广西壮族自治区委员会,官方地方组织历史资料页,后期整理与同期报刊线索,https://www.gxmm.gov.cn/,https://www.gxmm.gov.cn/index/index/artical/id/7063,"[""报刊反应整理"", ""1947年民盟解散线索""]",中；用于跨地区报刊对读,在线公开浏览,以网站版权规则为准,页面整理《大公报》《新民报》《观察》相关出处，必须逐期回追原报刊,2026-07-18,verified_entry
18,domestic:source:bj_tzb,北京市委统战部统一战线史料页,中共北京市委统战部,官方统战历史资料页,官方历史叙述与文件线索,https://www.bjtzb.gov.cn/,https://www.bjtzb.gov.cn/wwwroot/sdtyzx/publish/article/12/7772.shtml,"[""统一战线史"", ""会议文件线索"", ""党派史""]",中；用于全国事件时间线对照,在线公开浏览,以网站版权规则为准,官方页面概述1947年民盟被取缔和1948年一届三中全会，作为线索层使用,2026-07-18,verified_entry
19,domestic:source:hbmj,民建湖北省委会史料页,中国民主建国会湖北省委员会,民主党派官方历史资料页,跨党派地方史料线索,https://www.hbmj.gov.cn/,https://www.hbmj.gov.cn/a/302.html,"[""上海民主党派活动线索"", ""1947年组织应变史料""]",高；涉及1947年上海民主党派活动,在线公开浏览,以网站版权规则为准,官方页面提供1947年11月上海活动线索，待回追会议记录和报刊,2026-07-18,verified_entry
20,domestic:source:zjmg,民革浙江省委党史资料页,中国国民党革命委员会浙江省委员会,民主党派官方历史资料页,跨党派官方历史叙述与文献线索,https://www.zjmg.gov.cn/,https://www.zjmg.gov.cn/ch119/system/2009/04/29/021400419.shtml,"[""李济深相关史料"", ""1947年民主党派反应""]",中高；用于跨地区民主党派反应对读,在线公开浏览,以网站版权规则为准,官方页面记载李济深对民盟被宣布非法的反应，需回追同期声明和报刊,2026-07-18,verified_entry
21,domestic:source:bjdcmm,民盟北京市东城区委员会盟史资料页,中国民主同盟北京市东城区委员会,官方地方组织历史资料页,后期官方盟史线索,https://www.bjdcmm.org.cn/,https://www.bjdcmm.org.cn/01msjs/20040310/01.htm,"[""组织沿革"", ""1944年改组线索"", ""人物资料""]",中；用于全国组织史对位,在线公开浏览,以网站版权规则为准,官方地方盟史页面记载1944年全国代表会议改名和组织改组，需回追同期会议文件,2026-07-18,verified_entry
22,domestic:source:hljmm,民盟黑龙江省委盟史资料页,中国民主同盟黑龙江省委员会,官方地方组织历史资料页,后期官方盟史与文件线索,https://www.hljmm.gov.cn/,https://www.hljmm.gov.cn/show.aspx?id=892,"[""1945年民盟一大文件线索"", ""组织沿革"", ""盟史简介""]",中；用于全国组织史和文件追踪,在线公开浏览,以网站版权规则为准,官方简介列出1945年临时全国代表大会通过的主要文件，需回追原件、汇编或同期刊物,2026-07-18,verified_entry
23,domestic:source:scu_stop_talks,《停战谈判资料》公开数字化汇编,四川大学马列主义教研室中共党史科研组；四川人民出版社,正式文献汇编与公共数字化扫描,正式出版汇编，公开扫描副本,https://xgb.scu.edu.cn/info/1086/1692.htm,https://upload.wikimedia.org/wikipedia/commons/2/29/NTUL-9910001969_%E5%81%9C%E6%88%98%E8%B0%88%E5%88%A4%E8%B5%84%E6%96%99%E9%80%89%E7%BC%96.pdf,"[""1945-1946停战/反内战文件"", ""民盟发言与公开信"", ""正式汇编页码""]",中；可与1946上海/重庆线索对读,在线公开浏览,public,CiNii确认书名、编选机构、四川人民出版社和1981年6月书目；公开扫描目录页确认民盟记录题名、形成日期和页码。汇编不替代原件。,2026-07-18,verified_entry
24,domestic:source:minmengsh_democracy_weekly,昆明《民主周刊》官方出版史料线索,中国民主同盟云南省委员会,官方盟史专题与期刊馆藏追索线索,地方民盟官方后期史料线索,https://www.minmengsh.gov.cn/detailpage/lshm-5881f0f7-d19e-11ec-8d57-8c554a2845d4.html,https://www.minmengsh.gov.cn/detailpage/lshm-5881f0f7-d19e-11ec-8d57-8c554a2845d4.html,"[""《民主周刊》出版沿革"", ""卷期范围"", ""李闻事件后停刊线索""]",中；用于跨地区民盟机关刊物与同期报刊对读,在线公开浏览,public,官方页面给出1944-12-09至1946-08-02出版区间、3卷71期、编者与社长线索，并说明李闻事件后停刊；原刊影像和馆藏目录仍需逐期回查。,2026-07-18,verified_entry
25,domestic:source:mm_history_docs_1941_49,《中国民主同盟历史文献 1941—1949》公开扫描,中国民主同盟中央文史资料委员会；文史资料出版社,民盟中央文史资料委员会正式历史文献汇编与公开数字化扫描,正式编纂汇编，公开扫描副本,https://www.csspw.com.cn/booksdetail_15923_2060553_0.jhtml,https://www.marxists.org/chinese/pdf/history_of_international/china/mzhtm1.pdf,"[""1941—1949民盟宣言、纲领、声明、报告、函电"", ""李公朴/闻一多事件文件"", ""1947宣布非法与解散文件""]",高；含上海支部和全国民盟文件，可与上海档案线索对读,在线公开浏览,public,扫描版权页确认文史资料出版社1983年4月第一版；目录页逐项核到1941成立、1944改组、1945一大、1946李闻、1947非法化与解散的书内页码。已下载公开 PDF 到 data/domestic/sourcebooks/中国民主同盟历史文献_1941-1949_公开扫描.pdf，共622页、未加密，SHA256 为 257bb7be70abe374be9864ec451b5a90e2442ae8c877b15f4e6bbb8bb30be3。人工可视核验书内第355页《被迫发表解散公告》和第360页《国民党政府宣布民盟为非法团体》；汇编仍不替代1947年原件。,2026-07-18,verified_entry
26,domestic:source:cppcc_history_1938_48_lower,《国民参政会纪实》下册公开书目与试读入口,重庆市政协文史资料研究委员会；中共重庆市委党校；重庆出版社,正式史料汇编书目与公共试读入口,正式出版汇编，公开书目和试读 PDF,https://www.shukui.net/book/44285.html,https://pdfyl.ertongbook.com/01/30051852.pdf,"[""1938—1948国民参政会文件"", ""1945延安会谈纪要"", ""第四届第一次会议资料"", ""正式汇编书内页码""]",中；用于民盟全国活动、延安会谈和国民参政会原始载体追踪,在线公开浏览,以书目页、试读入口和出版社权利规则为准,公开书目页确认下册出版信息、总页数和目录，并明确列出第四届第一次会议中的《延安会谈纪要》第858页；完整正文和原件影像尚未取得，书目不替代原件。,2026-07-18,verified_entry
27,domestic:source:yads_yanan_1945,延安党史网：六参政员延安会谈记录追索页,中共延安市委党史研究室页面,官方党史研究页面与正式文献书目定位,地方党史研究机构后期页面，引用正式出版文献,https://yads.org.cn/index.php?a=index&aid=856&c=View&m=home,https://yads.org.cn/index.php?a=index&aid=856&c=View&m=home,"[""1945延安会谈记录"", ""六参政员访问延安"", ""《中共中央抗日民族统一战线文件选编》（下）第809页定位""]",中；用于民盟全国政治活动和原始文献版本追踪,在线公开浏览,以网站页面和被引汇编权利规则为准,页面给出完整会谈记录题名、1945年7月4日通过信息、内容摘要，并注明《中共中央抗日民族统一战线文件选编》（下）（档案出版社，1986）第809页；页面不是该汇编原件影像。,2026-07-18,verified_entry
28,domestic:source:lnu_guangming_1941_index,岭南大学《光明报，1941》剪报索引,岭南大学数字典藏；陈明銶教授学术藏书,高校数字典藏中的同期报刊剪报索引,机构数字典藏与馆藏追索入口,https://commons.ln.edu.hk/profmkchan_indexlist/14/,https://commons.ln.edu.hk/profmkchan_indexlist/14/,"[""1941年10—11月《光明报》剪报索引"", ""新闻标题、日期和页码"", ""原刊版位追踪""]",中；用于香港民盟机关报与全国民盟史料对读,在线公开浏览,以岭南大学数字典藏和原剪报权利规则为准,机构页面明确说明该1页索引含13条1941年10—11月《光明报》剪报记录，并记录标题、日期、印行页码及原刊版位；已下载本地2页 PDF（第2页为索引原图），SHA256 为 7ff54b899dddbbfe4f089aca87c3ca98b4de1fcd0074e0ae571f598bdcceb3a9。人工核读确认13条均为香港工运相关条目、指向原刊第3版，未见1941-10-10或1941-10-16民盟成立宣言/社论条目；索引不等于原刊影像。,2026-07-18,verified_entry
29,domestic:source:ia_takungpao_1947_hk,Internet Archive 香港版《大公报》1947年公开期号,Internet Archive；公开数字化报刊馆藏,公开数字化同期报刊与 OCR 检索入口,公开报刊数字副本；需按期号、版面和 OCR 质量逐条核验,https://archive.org/details/NPTKP19470427,https://archive.org/advancedsearch.php?q=identifier%3ANPTKP1947%2A&fl%5B%5D=identifier&fl%5B%5D=title&fl%5B%5D=date&rows=200&output=json,"[""香港版《大公报》"", ""1947年同期报刊"", ""期号影像与 OCR 文本"", ""民盟相关报道追索""]",中高；用于上海/天津版报道的外部同期舆论对照和跨报刊追索,在线公开浏览和按期号下载；具体文件受平台可用性影响,以 Internet Archive 项目页面、原报刊权利和具体文件条款为准,公开高级检索可定位 NPTKP 前缀馆藏；1947 年目前检出114期，覆盖1947-01-01至1947-04-30。已核验具体期号元数据及 OCR 文件名；当前未发现覆盖1947年10—11月解散民盟窗口的香港版期号，OCR 质量也不足以直接替代报面核读。,2026-07-18,verified_entry
30,domestic:source:drnh_1947_meng_illegalization,国史馆檔案史料文物查詢系統：1947年民盟非法化前后档案,台湾国史馆,官方档案目录与数字档案查询入口,国家档案馆目录记录；具体影像和利用权限按件核验,https://ahonline.drnh.gov.tw/,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTAyMDQwMC0wMDAxMi0wNjciLCJhdHRyIjoiKyJ9XX0%3D,"[""蒋中正总统文物"", ""1947民盟非法化前后公文"", ""军统/保密局情报"", ""上海与京沪民盟活动监视记录""]",极高；含上海大公报张澜谈话、京沪民盟人员监视与解散后上海留置人员动态,在线目录查询；部分件标示数字档在线阅览，影像逐件人工核验,以国史馆开放、阅览和复制规定及具体件标示为准,项目本地 DRNH 探针和摘要库已保存多件1945—1947年民盟相关目录记录、形成日期、档号、题名和官方查询 URL；本轮将其中十件纳入国内候选，并通过项目既有公开管线取得十件共19页官方水印影像，关联到主库 drnh_images。影像带锁定提示和访客水印，目录/摘要及水印底图仍不替代逐页原件核读，政治性案由须与其他来源交叉核对。,2026-07-18,verified_entry
31,domestic:source:hku_guangming_1941_microform,香港大学图书馆特别馆藏：《光明報》1941年缩微胶卷,香港大学图书馆 Special Collections,高校特别馆藏报刊馆藏记录,机构馆藏目录；可供原刊缩微胶卷现场核验,https://lib.hku.hk/sites/all/files/files/hkspc/pathfinders/newspaper_1940s_update_072021.pdf,https://julac.hosted.exlibrisgroup.com/primo-explore/fulldisplay?docid=HKU_IZ21440249790003414&vid=HKU&lang=en_US,"[""《光明報》1941年9月18日—12月12日"", ""缩微胶卷"", ""香港报刊馆藏记录""]",中；为1941年民盟机关报原刊回查提供具体馆藏入口,在线馆藏清单；缩微胶卷需按香港大学特别馆藏规则现场或申请阅览,以香港大学图书馆特别馆藏和原报刊复制规则为准,香港大学图书馆《Hong Kong Newspapers - Chronological List 1940s》明确列出第21项《光明報》，格式为Microform，Access为Microfilm at Special Collections，馆藏起止为1941年9月18日至12月12日且标注Nil gaps。公开 JULAС/Primo 书目片段进一步给出 Special Collections 闭架位置和索书号 HKC 951 G91 M，并可定位记录号 HKU_IZ21440249790003414。港大 Special Collections 官方规则进一步确认 HKC 历史报纸属闭架材料，最多10件应至少提前3个工作日发至 libspeco@hku.hk，现场使用微缩胶片和复制设备；该记录仍没有公开逐期影像或复制下载地址。,2026-07-19,verified_entry
32,domestic:source:nlc_guangming_1946_issue8,中国国家图书馆《光明報》1946年第8、9、10、11期及1947年新二十一、二十二号公开扫描,中国国家图书馆；Wikimedia Commons公开镜像,国家图书馆民国期刊数字影像,国家图书馆原始数字化扫描的公开镜像；按件核验页面和版权状态,https://commons.wikimedia.org/wiki/File%3ANLC404-01J000514-10429_%E5%85%89%E6%98%8E%E5%A0%B1_1946%E5%B9%B48%E6%9C%9F.pdf,https://upload.wikimedia.org/wikipedia/commons/b/ba/NLC404-01J000514-10429_%E5%85%89%E6%98%8E%E5%A0%B1_1946%E5%B9%B48%E6%9C%9F.pdf,"[""《光明報》1946年第8、9、10、11期"", ""《光明報》1947年新二十一、二十二号"", ""16—20页原刊扫描"", ""民盟政治路线、国大争议、李闻事件与纪念相关社论、演讲和报道""]",高；用于1946年民盟政治立场、李闻事件和国大争议的同期报刊核读,在线公开浏览与下载,unknown,Wikimedia Commons 具体文件页将 NLC404-01J000514-10429 标为1946年8期、16页，元数据来源机构为中国国家图书馆；页面描述列出‘论有条件参加国大（社论）’、‘民盟重申严正立场坚决拥护政协决议反对参加国大’和‘李闻惨案前后的昆明（续）’等内容。另取得 NLC404-01J000514-10430《光明報》新九號（1946-08-21，16页，社论‘反对内战，反对征兵！’）、NLC404-01J000514-10431新十號（1946-08-28，16页，社论‘向鹰巢国民党当局抗议’）和 NLC404-01J000514-23806新十一號（1946-09-13，20页，目录含‘反对一党独裁宪法（社论）’及张澜上海演讲）；并取得 NLC404-01J000514-10460《光明報》1947年新二十一号（16页）和 NLC404-01J000514-10483新二十二号（20页）。项目已下载六件本地副本并完成页数、文件哈希和首面或首尾页可视抽检；Wikimedia 的公版声明不替代国家图书馆具体复制规则。,2026-07-18,verified_entry
33,domestic:source:nlc_observer_1947_v3n11,中国国家图书馆《观察》1947年第3卷第11期公开扫描,中国国家图书馆；Wikimedia Commons公开镜像,国家图书馆民国期刊数字影像,国家图书馆原始数字化扫描的公开镜像；按件核验页面、卷期和版权状态,https://commons.wikimedia.org/wiki/File%3ANLC404-01J000332-6817_%E8%A7%80%E5%AF%9F_1947%E5%B9%B43%E5%8D%B711%E6%9C%9F.pdf,https://upload.wikimedia.org/wikipedia/commons/7/74/NLC404-01J000332-6817_%E8%A7%80%E5%AF%9F_1947%E5%B9%B43%E5%8D%B711%E6%9C%9F.pdf,"[""《观察》1947年第3卷第11期"", ""20页单期原刊扫描"", ""《观察》第3卷第1—12期278页合订本"", ""《我们对于政府压迫民盟的看法》教授联署声明""]",极高；该期是1947年民盟被宣布非法、总部被迫解散后同期公开抗议的直接报刊证据,在线公开浏览与下载,unknown,Wikimedia Commons文件页将 NLC404-01J000332-6817 标为《观察》1947年第3卷第11期、20页，元数据作者为储安平、出版者为观察社。项目首面可视核验到‘卷三 第十一期’、‘我们对于政府压迫民盟的看法’和‘周炳琳等四十八人’题头，末页可视核验为同期正文页面；文件未加密，SHA256 已记录。另取得 Wikimedia Commons 合订本 SSID-13679264《观察》第3卷第1—12期，278页，SHA256 为 d8f4dacfbf367f590d46344084fab8722d91d18fbb2d0b8cc241f7416d5f7f04；第11期在合订本 PDF 第239—258页，封面为第239页，第3—4页声明、第5页转入《人身自由的保障问题》，第259页为下一期封面，页序与单期扫描一致。该件直接补上原先只有后期官方整理的《观察》卷期线索，但仍需逐页转录、核对刊期日期和声明完整边界；公开镜像的公版声明不替代国家图书馆具体复制规则。,2026-07-18,verified_entry
34,domestic:source:roc_gazette_1947_oct_nov_public_scans,国民政府公报1947年10—11月公开扫描（第2967、2973、2974号）,国民政府公报影像系统；台湾立法院法律资料库；Wikimedia Commons公开镜像,官方公报数字影像,官方公报原始影像的公开镜像；逐页核验期号、日期和内容，不等同于民盟公函原件,https://npl.ly.gov.tw/do/www/homePage,https://commons.wikimedia.org/wiki/Category%3ANovember_1947_in_China,"[""国民政府公报第2967号（1947-10-30）"", ""国民政府公报第2973号（1947-11-06）"", ""国民政府公报第2974号（1947-11-07）""]",高；用于核查1947年10—11月官方公报是否刊载民盟非法化、解散或执行性公文,Wikimedia Commons公开PDF；原始入口为立法院公报影像系统,公开扫描页面标注公版；具体再利用按原始机构和平台规则复核,已下载三期公开扫描并逐页可视抽检：第2967号以选举及一般政府命令为主；第2973号未见民盟非法化或解散公文；第2974号以国民大会选举表格、选举法规及一般司法/行政命令为主，未见目标公文。三件均未加密，页数分别为13、9、17页，SHA256记录于docs/domestic/press_scan_manifest.md；本轮不新增记录级候选，保留为官方公报负向核查证据。,2026-07-18,verified_entry
35,domestic:source:rmrb_govopendata_1947,《人民日报》1947年历史版面公开数字转录,公开数据查询平台；页面标注人民日报电子版档案,公开数字化同期报刊文字转录入口,按日期和版面组织的公开转录；未提供对应报面扫描，需与原刊影像或权威数据库复核,https://cn.govopendata.com/renminribao/1947/11/7/1/,https://cn.govopendata.com/renminribao/1947/11/,"[""《人民日报》1947年11月7日第1版数字转录"", ""新华社时评《蒋介石解散民盟》"", ""1947年民盟被宣布非法事件同期舆论材料""]",高；用于1947年10月27日非法化与11月解散事件的同期中文报刊对照和事件时间线核验,公开网页浏览,unknown,已直接访问1947-11-07第1版页面，页面标题、版次和日期明确，正文收录《蒋介石解散民盟》并标注栏目为‘新华社时评’，正文写明蒋介石于1947-10-27宣布民主同盟为‘非法团体’。当前页面只返回结构化文字转录，未发现对应原报面图像或扫描下载入口，因此登记为数字转录入口，不替代《人民日报》原版扫描或官方报刊影像数据库。,2026-07-18,verified_entry
36,domestic:source:nlc_dagongbao_1947_v113,中国国家图书馆《大公报》第113卷（1931年11月）公开原刊扫描,中国国家图书馆；Wikimedia Commons公开镜像,民国报刊原刊影像／合订卷公开数字化扫描,国家图书馆馆藏标识对应的原刊扫描；具体再利用权利按原始机构和平台规则复核,https://commons.wikimedia.org/wiki/File:NLC511-012031312030001-21905_%E5%A4%A7%E5%85%AC%E5%A0%B1_%E7%AC%AC113%E5%8D%B7.pdf,https://upload.wikimedia.org/wikipedia/commons/3/32/NLC511-012031312030001-21905_%E5%A4%A7%E5%85%AC%E5%A0%B1_%E7%AC%AC113%E5%8D%B7.pdf,"[""1931年11月《大公报》原刊版面"", ""民盟成立前历史报刊"", ""不纳入1941—1949国内民盟史证据统计""]",不适用；该卷实际为1931年11月，早于民盟成立，排除出当前国内盟史证据范围,Wikimedia Commons公开PDF；馆藏标识 NLC511-012031312030001-21905,公开扫描页面标注公版；国家图书馆数字副本具体再利用规则仍待核对,2026-07-29纠错：W2逐页报头映射确认本卷232页覆盖1931-11-01至1931-11-30；首日报头含‘中华民国二十年十一月一日’，期号4564。此前1947年判断作废。原PDF与SHA256保持不变，仅纠正元数据；本卷不得作为1947年民盟受压迫、非法化或解散证据。,2026-07-29,corrected_misdated_out_of_scope
37,domestic:source:cppcc_political_consultative_1988,《政治协商会议纪实》（1988）公开扫描,重庆市政协文史资料研究委员会；中共重庆市委党史工作委员会；重庆出版社,正式历史资料汇编与公开数字化扫描,正式编纂汇编，公开扫描副本；书内所收材料需按原始载体分层,https://www.cqnews.net/1/detail/content_831493536561782784.html,https://www.marxists.org/chinese/pdf/history_of_international/china/0827049.pdf,"[""1946年政治协商会议与停战谈判资料"", ""中国民主同盟临时全国代表大会宣言摘编"", ""同期报刊和会议文献重刊""]",中；用于1945—1946民盟政治主张、旧政协及上海相关政治语境的正式文献交叉核验,在线公开浏览；公开扫描 PDF,公开扫描副本及原汇编复制权利待核,"已下载本地副本 data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf，共789页、未加密、27,772,278 bytes，SHA256 为 088458899f8119895b58e5bc5f2cf2e986c7911423b7fcea69fcee4f93d1cf31。人工可视核验扫描书内第57页（PDF第86页）题为《中国民主同盟对国事的十项主张》，页下注明‘本文摘自中国民主同盟临时全国代表大会宣言，标题是编者加的’；该页是正式汇编摘编，不是1945年大会原件影像。",2026-07-18,verified_entry
