id,cluster_id,canonical_candidate_id,cluster_size,members,inserted_at
11,DCL-0011,domestic:NLC:guangmingbao-1946-issue04-urgent-situation-editorial,3,"[""domestic:NLC:guangmingbao-1946-issue04-urgent-situation-editorial"", ""domestic:NLC:guangmingbao-1946-issue04-yang-bokai-jiang-jieshi-speech-review"", ""domestic:NLC:guangmingbao-1946-issue04-di-chaobai-us-basic-attitude""]",2026-08-03 02:13:11
12,DCL-0012,domestic:NLC:guangmingbao-1946-issue07-why-not-national-assembly,6,"[""domestic:NLC:guangmingbao-1946-issue07-why-not-national-assembly"", ""domestic:NLC:guangmingbao-1946-issue07-shen-zhiyuan-truce-statement-review"", ""domestic:NLC:guangmingbao-1946-issue07-qian-jiaju-unequal-treaty"", ""domestic:NLC:guangmingbao-1946-issue06-editorial-pcc-ten-months"", ""domestic:NLC:guangmingbao-1946-issue06-shen-zhiyuan-truce-statement-review"", ""domestic:NLC:guangmingbao-1946-issue06-qian-jiaju-unequal-treaty""]",2026-08-03 02:13:11
13,DCL-0013,domestic:NLC:guangmingbao-1948-1949-v1n1,3,"[""domestic:NLC:guangmingbao-1948-1949-v1n1"", ""domestic:NLC:guangmingbao-1948-1949-v1n1-article"", ""domestic:NLC:guangmingbao-1948-1949-v1n1-refute-hu-shi-gaoji""]",2026-08-03 02:13:11
14,DCL-0014,domestic:NLC:guangmingbao-1948-1949-v1n12,3,"[""domestic:NLC:guangmingbao-1948-1949-v1n12"", ""domestic:NLC:guangmingbao-1948-1949-v1n12-article"", ""domestic:NLC:guangmingbao-1948-1949-v1n12-three-premises-li-xiangfu""]",2026-08-03 02:13:11
15,DCL-0015,domestic:NLC:guangmingbao-1948-1949-v2n1,2,"[""domestic:NLC:guangmingbao-1948-1949-v2n1"", ""domestic:NLC:guangmingbao-1948-1949-v2n1-article""]",2026-08-03 02:13:11
16,DCL-0016,domestic:NLC:guangmingbao-1948-1949-v2n12,2,"[""domestic:NLC:guangmingbao-1948-1949-v2n12"", ""domestic:NLC:guangmingbao-1948-1949-v2n12-article""]",2026-08-03 02:13:11
17,DCL-0017,domestic:NLC:minmeng-wenxian-1946-whole,7,"[""domestic:NLC:minmeng-wenxian-1946-whole"", ""domestic:NLC:minmeng-wenxian-1946-formation-declaration"", ""domestic:NLC:minmeng-wenxian-1946-ten-program"", ""domestic:NLC:minmeng-wenxian-1946-final-war-political-platform"", ""domestic:NLC:minmeng-wenxian-1946-situation-declaration-1945-01-15"", ""domestic:NLC:minmeng-wenxian-1946-minmeng-platform-1945"", ""domestic:NLC:minmeng-wenxian-1946-congress-declaration-1945-10-16""]",2026-08-03 02:13:11
18,DCL-0018,domestic:NLC:guangmingbao-1947-1947-12,8,"[""domestic:NLC:guangmingbao-1947-1947-12"", ""domestic:NLC:guangmingbao-1947-12-si-tan-guo-shi"", ""domestic:NLC:guangmingbao-1947-12-respond-anti-us-military"", ""domestic:NLC:guangmingbao-1947-12-second-plenum-domestic-situation"", ""domestic:NLC:guangmingbao-1947-12-interview-shen-junru"", ""domestic:NLC:guangmingbao-1947-12-qingmo-democracy-two-paths"", ""domestic:NLC:guangmingbao-1947-12-oppose-us-atrocities-shanghai"", ""domestic:NLC:guangmingbao-1947-12-shanghai-democrats-on-us-atrocities""]",2026-08-03 02:13:11
19,DCL-0019,domestic:NLC:guangmingbao-1947-1947-13,5,"[""domestic:NLC:guangmingbao-1947-1947-13"", ""domestic:NLC:guangmingbao-1947-issue13-our-attitude-editorial"", ""domestic:NLC:guangmingbao-1947-issue13-zhang-lan-plenum-opening"", ""domestic:NLC:guangmingbao-1947-issue13-zhang-lan-plenum-closing"", ""domestic:NLC:guangmingbao-1947-issue13-plenum-clippings""]",2026-08-03 02:13:11
20,DCL-0020,domestic:NLC:guangmingbao-1947-1947-14,5,"[""domestic:NLC:guangmingbao-1947-1947-14"", ""domestic:NLC:guangmingbao-1947-issue14-pcc-anniversary-editorial"", ""domestic:NLC:guangmingbao-1947-issue14-plenum-political-report"", ""domestic:NLC:guangmingbao-1947-issue14-shen-zhiyuan-plenum-impression"", ""domestic:NLC:guangmingbao-1947-issue14-li-boqiu-plenum-gains""]",2026-08-03 02:13:11
21,DCL-0021,domestic:NLC:guangmingbao-1947-1947-15,3,"[""domestic:NLC:guangmingbao-1947-1947-15"", ""domestic:NLC:guangmingbao-1947-issue15-heavier-task-editorial"", ""domestic:NLC:guangmingbao-1947-issue15-huang-yaomian-pcc-line""]",2026-08-03 02:13:11
22,DCL-0022,domestic:NLC:guangmingbao-1947-1947-16–17,5,"[""domestic:NLC:guangmingbao-1947-1947-16–17"", ""domestic:NLC:guangmingbao-1947-issue16-17-li-jishen-situation-views"", ""domestic:NLC:guangmingbao-1947-issue16-17-minmeng-situation-declaration"", ""domestic:NLC:guangmingbao-1947-issue16-17-respond-li-jishen-editorial"", ""domestic:NLC:guangmingbao-1947-issue16-17-moscow-conference-china-editorial""]",2026-08-03 02:13:11
23,DCL-0023,domestic:NLC:guangmingbao-1947-1947-18,4,"[""domestic:NLC:guangmingbao-1947-1947-18"", ""domestic:NLC:guangmingbao-1947-issue18-people-cannot-endure-editorial"", ""domestic:NLC:guangmingbao-1947-issue18-nantotal-press-reception"", ""domestic:NLC:guangmingbao-1947-issue18-peng-zemin-statement""]",2026-08-03 02:13:11
24,DCL-0024,domestic:NLC:guangmingbao-1947-1947-19,6,"[""domestic:NLC:guangmingbao-1947-1947-19"", ""domestic:NLC:guangmingbao-1947-19-article-01"", ""domestic:NLC:guangmingbao-1947-19-article-02"", ""domestic:NLC:guangmingbao-1947-19-article-03"", ""domestic:NLC:guangmingbao-1947-19-article-04"", ""domestic:NLC:guangmingbao-1947-19-article-05""]",2026-08-03 02:13:11
25,DCL-0025,domestic:NLC:guangmingbao-1947-issue21-critique-dictatorship-new-policy-editorial,2,"[""domestic:NLC:guangmingbao-1947-issue21-critique-dictatorship-new-policy-editorial"", ""domestic:NLC:guangmingbao-1947-issue21-deng-chumin-middle-route""]",2026-08-03 02:13:11
26,DCL-0026,domestic:MM1941:outline-1946-beiyoudang-tewu-qinfeng-bao,2,"[""domestic:MM1941:outline-1946-beiyoudang-tewu-qinfeng-bao"", ""domestic:MM1941:outline-1946-nian-shengming-jianghua-neirong""]",2026-08-03 02:13:11
27,DCL-0027,domestic:MM1941:outline-jianguoqian-fujian-mengshi-ziliao-shang,5,"[""domestic:MM1941:outline-jianguoqian-fujian-mengshi-ziliao-shang"", ""domestic:MM1941:outline-jianguoqian-fujian-mengshi-ziliao-zhong"", ""domestic:MM1941:outline-jianguoqian-fujian-mengshi-ziliao-xia"", ""domestic:MM1941:outline-1946-1949-minmeng-zongbu-shanghai"", ""domestic:MM1941:outline-1946-1949-nanfang-mengshi-shiling""]",2026-08-03 02:13:11
28,DCL-0028,domestic:MM1941:outline-1942-1949-minmeng-zai-shaanxi,3,"[""domestic:MM1941:outline-1942-1949-minmeng-zai-shaanxi"", ""domestic:MM1941:outline-1942-1949-minmeng-zai-shaanxi-jing"", ""domestic:MM1941:outline-1942-1949-xian-minmeng-xibei-zongzhibu-mimi-huodongdi""]",2026-08-03 02:13:11
29,DCL-0029,domestic:MM1941:outline-1942-2012-shaanxi-meng-70nian,2,"[""domestic:MM1941:outline-1942-2012-shaanxi-meng-70nian"", ""domestic:MM1941:outline-shaanxi-minmeng-shi""]",2026-08-03 02:13:11
30,DCL-0030,domestic:MM1941:outline-1942-shaanxi-tongzhanbu-meng-zhibu-renxuan,2,"[""domestic:MM1941:outline-1942-shaanxi-tongzhanbu-meng-zhibu-renxuan"", ""domestic:MM1941:outline-shaanxi-sheng-zhibu-choubei-weiyuanhui-mingdan""]",2026-08-03 02:13:11
31,DCL-0031,domestic:WM:1949-xinzhengxie-choubeihui-changwei-maxulun-categorized,2,"[""domestic:WM:1949-xinzhengxie-choubeihui-changwei-heying"", ""domestic:WM:1949-xinzhengxie-choubeihui-changwei-maxulun-categorized""]",2026-08-03 02:13:11
32,DCL-0032,domestic:GMD:2022-12-22-minmeng-baodao,2,"[""domestic:GMD:2022-12-22-minmeng-baodao"", ""domestic:GMD:2022-12-22-zhongguo-minmeng-baojing""]",2026-08-03 02:13:11
