task_id,candidate_id,title,period,repository_code,repository_name,current_level,gap_type,action,priority,estimated_minutes,source_url
NR-0011,domestic:WS:dagongbao-1946-pcc-five-agreements-1946-01-31,政协五项协议通过（《大公报》1946-01-31 报道）,1946-1950,WS,Wangfang Data 上海图书公司近代期刊全文库（或其他公开数据库）,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,https://www.dagongbao.com/ (及公网数据库入口)
NR-0012,domestic:WS:dagongbao-1946-pcc-five-agreements-1946-01-31,政协五项协议通过（《大公报》1946-01-31 报道）,1946-1950,WS,Wangfang Data 上海图书公司近代期刊全文库（或其他公开数据库）,,level_review,升级或降级当前等级；提供理由,p1,5,https://www.dagongbao.com/ (及公网数据库入口)
NR-0013,domestic:XHB:xinhuaribao-1946-pcc-five-agreements-1946-01-31,政协五项协议通过（《新华日报》1946-01-31 报道）,1946-1950,XHB,《新华日报》(1938-1947 公开数字档案),,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,https://news.xinhuanet.com/zwcp/jsxwh/ (及新华日报数据库入口)
NR-0014,domestic:XHB:xinhuaribao-1946-pcc-five-agreements-1946-01-31,政协五项协议通过（《新华日报》1946-01-31 报道）,1946-1950,XHB,《新华日报》(1938-1947 公开数字档案),,level_review,升级或降级当前等级；提供理由,p1,5,https://news.xinhuanet.com/zwcp/jsxwh/ (及新华日报数据库入口)
NR-0015,domestic:WH:wenhuibao-1946-pcc-five-agreements-1946-01-31,政协会议闭幕五项协议通过（《文汇报》1946-01-31 报道）,1946-1950,WH,《文汇报》(1938 创刊于上海),,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,https://www.whb.cn/ (及文汇报数据库入口)
NR-0016,domestic:WH:wenhuibao-1946-pcc-five-agreements-1946-01-31,政协会议闭幕五项协议通过（《文汇报》1946-01-31 报道）,1946-1950,WH,《文汇报》(1938 创刊于上海),,level_review,升级或降级当前等级；提供理由,p1,5,https://www.whb.cn/ (及文汇报数据库入口)
NR-0017,domestic:WS:dagongbao-1946-refuse-national-assembly-minmeng-1946-11-14,民盟正式拒绝参加国大（《大公报》1946-11-14 报道）,1946-1950,WS,《大公报》数字版(及公网数据库),,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,https://www.dagongbao.com/
NR-0018,domestic:WS:dagongbao-1946-refuse-national-assembly-minmeng-1946-11-14,民盟正式拒绝参加国大（《大公报》1946-11-14 报道）,1946-1950,WS,《大公报》数字版(及公网数据库),,level_review,升级或降级当前等级；提供理由,p1,5,https://www.dagongbao.com/
NR-0019,domestic:XHB:xinhuaribao-1946-refuse-national-assembly-editorial-1946-11-25,立刻解散非法的国大（《新华日报》1946-11-25 社论）,1946-1950,XHB,《新华日报》(1938-1947),,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,https://news.xinhuanet.com/zwcp/jsxwh/
NR-0020,domestic:XHB:xinhuaribao-1946-refuse-national-assembly-editorial-1946-11-25,立刻解散非法的国大（《新华日报》1946-11-25 社论）,1946-1950,XHB,《新华日报》(1938-1947),,level_review,升级或降级当前等级；提供理由,p1,5,https://news.xinhuanet.com/zwcp/jsxwh/
NR-0021,domestic:WH:wenhuibao-1946-refuse-national-assembly-shanghai-1946-11-25,民盟不参加国大上海声明（《文汇报》1946-11-25 报道）,1946-1950,WH,《文汇报》,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,https://www.whb.cn/ (及孔夫子旧书网 book.kongfz.com 公开目录)
NR-0022,domestic:WH:wenhuibao-1946-refuse-national-assembly-shanghai-1946-11-25,民盟不参加国大上海声明（《文汇报》1946-11-25 报道）,1946-1950,WH,《文汇报》,,level_review,升级或降级当前等级；提供理由,p1,5,https://www.whb.cn/ (及孔夫子旧书网 book.kongfz.com 公开目录)
NR-0023,domestic:KMY:minzhuzhoukan-1946-li-wen-wen-yiduo-1946-07,闻一多在《民主周刊》的社论与追悼文章（1946-07）,1946-1950,KMY,"《民主周刊》(闻一多任社长,1946-07 停刊)",,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,https://www.cctv.com (CCTV.com '闻一多骨灰保存和安葬'等公开资料)
NR-0024,domestic:KMY:minzhuzhoukan-1946-li-wen-wen-yiduo-1946-07,闻一多在《民主周刊》的社论与追悼文章（1946-07）,1946-1950,KMY,"《民主周刊》(闻一多任社长,1946-07 停刊)",,level_review,升级或降级当前等级；提供理由,p1,5,https://www.cctv.com (CCTV.com '闻一多骨灰保存和安葬'等公开资料)
NR-0025,domestic:XHB:xinhuaribao-1946-li-wen-mao-zhu-condolence-1946-07-21,毛泽东朱德唁电李公朴闻一多家属（《新华日报》1946-07-21 转载）,1946-1950,XHB,《新华日报》(1938-1947),,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,https://news.xinhuanet.com/zwcp/jsxwh/
NR-0026,domestic:XHB:xinhuaribao-1946-li-wen-mao-zhu-condolence-1946-07-21,毛泽东朱德唁电李公朴闻一多家属（《新华日报》1946-07-21 转载）,1946-1950,XHB,《新华日报》(1938-1947),,level_review,升级或降级当前等级；提供理由,p1,5,https://news.xinhuanet.com/zwcp/jsxwh/
NR-0027,domestic:NLC:observer-1947-3-11-article-government-oppression-minmeng,我们对于政府压迫民盟的看法（《观察》第3卷第11期 1947-11-08 头条）,1946-1950,NLC,中国国家图书馆数字化民国期刊（Wikimedia Commons 镜像）,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,https://commons.wikimedia.org/wiki/File%3ANLC404-01J000332-6817_%E8%A7%80%E5%AF%9F_1947%E5%B9%B43%E5%8D%B711%E6%9C%9F.pdf
NR-0028,domestic:NLC:observer-1947-3-11-article-government-oppression-minmeng,我们对于政府压迫民盟的看法（《观察》第3卷第11期 1947-11-08 头条）,1946-1950,NLC,中国国家图书馆数字化民国期刊（Wikimedia Commons 镜像）,,level_review,升级或降级当前等级；提供理由,p1,5,https://commons.wikimedia.org/wiki/File%3ANLC404-01J000332-6817_%E8%A7%80%E5%AF%9F_1947%E5%B9%B43%E5%8D%B711%E6%9C%9F.pdf
NR-0029,domestic:SHDPZ:zlc-chapter5-line571-shi-liang-1942-join,史良 1942 年加入民盟条目（《上海民主党派志》资料长编 第五章）,1941-1943,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,
NR-0030,domestic:SHDPZ:zlc-chapter5-line571-shi-liang-1942-join,史良 1942 年加入民盟条目（《上海民主党派志》资料长编 第五章）,1941-1943,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,,access_offline,调档申请 / 现场核验 / 采购扫描；写入 acquisition_required,p3,30,
NR-0031,domestic:SHDPZ:zlc-chapter5-line571-shi-liang-1942-join,史良 1942 年加入民盟条目（《上海民主党派志》资料长编 第五章）,1941-1943,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,,level_review,升级或降级当前等级；提供理由,p1,5,
NR-0032,domestic:SHDPZ:zlc-characters-line527-shang-ding-1943-join,尚丁 1943 年参加中国民主同盟条目（《上海民主党派志》资料长编 人物）,1941-1943,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,
NR-0033,domestic:SHDPZ:zlc-characters-line527-shang-ding-1943-join,尚丁 1943 年参加中国民主同盟条目（《上海民主党派志》资料长编 人物）,1941-1943,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,,access_offline,调档申请 / 现场核验 / 采购扫描；写入 acquisition_required,p3,30,
NR-0034,domestic:SHDPZ:zlc-characters-line527-shang-ding-1943-join,尚丁 1943 年参加中国民主同盟条目（《上海民主党派志》资料长编 人物）,1941-1943,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,,level_review,升级或降级当前等级；提供理由,p1,5,
NR-0035,domestic:SHDPZ:zlc-characters-line79-liu-simou-1942-return,刘思慕 1942 年春回国条目（《上海民主党派志》资料长编 人物）,1941-1943,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,
NR-0036,domestic:SHDPZ:zlc-characters-line79-liu-simou-1942-return,刘思慕 1942 年春回国条目（《上海民主党派志》资料长编 人物）,1941-1943,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,,access_offline,调档申请 / 现场核验 / 采购扫描；写入 acquisition_required,p3,30,
NR-0037,domestic:SHDPZ:zlc-characters-line79-liu-simou-1942-return,刘思慕 1942 年春回国条目（《上海民主党派志》资料长编 人物）,1941-1943,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,,level_review,升级或降级当前等级；提供理由,p1,5,
NR-0038,domestic:SHDPZ:printed-page816-su-yanbin-1943-11-join,苏延宾 1943 年 11 月参加中国民主同盟条目（《上海民主党派志》印刷厂验收稿正文）,1941-1943,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,
NR-0039,domestic:SHDPZ:printed-page816-su-yanbin-1943-11-join,苏延宾 1943 年 11 月参加中国民主同盟条目（《上海民主党派志》印刷厂验收稿正文）,1941-1943,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,,access_offline,调档申请 / 现场核验 / 采购扫描；写入 acquisition_required,p3,30,
NR-0040,domestic:SHDPZ:printed-page816-su-yanbin-1943-11-join,苏延宾 1943 年 11 月参加中国民主同盟条目（《上海民主党派志》印刷厂验收稿正文）,1941-1943,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,,level_review,升级或降级当前等级；提供理由,p1,5,
NR-0041,domestic:SHDPZ:printed-page840-shang-ding-1943-10-join,尚丁 1943 年 10 月加入中国民主同盟条目（《上海民主党派志》印刷厂验收稿正文）,1941-1943,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,
NR-0042,domestic:SHDPZ:printed-page840-shang-ding-1943-10-join,尚丁 1943 年 10 月加入中国民主同盟条目（《上海民主党派志》印刷厂验收稿正文）,1941-1943,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,,access_offline,调档申请 / 现场核验 / 采购扫描；写入 acquisition_required,p3,30,
NR-0043,domestic:SHDPZ:printed-page840-shang-ding-1943-10-join,尚丁 1943 年 10 月加入中国民主同盟条目（《上海民主党派志》印刷厂验收稿正文）,1941-1943,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,,level_review,升级或降级当前等级；提供理由,p1,5,
NR-0044,domestic:SHDPZ:printed-page820-zhou-gucheng-federation-consultant-1942,周谷城 1942 年后被聘为民主政团同盟顾问条目（《上海民主党派志》印刷厂验收稿正文）,1941-1943,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,
NR-0045,domestic:SHDPZ:printed-page820-zhou-gucheng-federation-consultant-1942,周谷城 1942 年后被聘为民主政团同盟顾问条目（《上海民主党派志》印刷厂验收稿正文）,1941-1943,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,,access_offline,调档申请 / 现场核验 / 采购扫描；写入 acquisition_required,p3,30,
NR-0046,domestic:SHDPZ:printed-page820-zhou-gucheng-federation-consultant-1942,周谷城 1942 年后被聘为民主政团同盟顾问条目（《上海民主党派志》印刷厂验收稿正文）,1941-1943,SHDPZ,上海市地方志办公室／上海民主党派志验收稿,,level_review,升级或降级当前等级；提供理由,p1,5,
NR-0047,domestic:MX:cheng-boren-1942-join-northwest-org,成柏仁 1942 年加入民盟条目（《盟贤》第 47 页）,1941-1943,MX,民盟上海市委内部传记汇编《盟贤》（169 页 PDF）,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,
NR-0048,domestic:MX:cheng-boren-1942-join-northwest-org,成柏仁 1942 年加入民盟条目（《盟贤》第 47 页）,1941-1943,MX,民盟上海市委内部传记汇编《盟贤》（169 页 PDF）,,access_offline,调档申请 / 现场核验 / 采购扫描；写入 acquisition_required,p3,30,
NR-0049,domestic:MX:cheng-boren-1942-join-northwest-org,成柏仁 1942 年加入民盟条目（《盟贤》第 47 页）,1941-1943,MX,民盟上海市委内部传记汇编《盟贤》（169 页 PDF）,,level_review,升级或降级当前等级；提供理由,p1,5,
NR-0050,domestic:MX:shang-ding-1943-11-join-mengxian,尚丁 1943 年 11 月加入民盟条目（《盟贤》第 63 页；与 SHDPZ 印刷厂正文 1943-10 互证）,1941-1943,MX,民盟上海市委内部传记汇编《盟贤》（169 页 PDF）,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,
NR-0051,domestic:MX:shang-ding-1943-11-join-mengxian,尚丁 1943 年 11 月加入民盟条目（《盟贤》第 63 页；与 SHDPZ 印刷厂正文 1943-10 互证）,1941-1943,MX,民盟上海市委内部传记汇编《盟贤》（169 页 PDF）,,access_offline,调档申请 / 现场核验 / 采购扫描；写入 acquisition_required,p3,30,
NR-0052,domestic:MX:shang-ding-1943-11-join-mengxian,尚丁 1943 年 11 月加入民盟条目（《盟贤》第 63 页；与 SHDPZ 印刷厂正文 1943-10 互证）,1941-1943,MX,民盟上海市委内部传记汇编《盟贤》（169 页 PDF）,,level_review,升级或降级当前等级；提供理由,p1,5,
NR-0053,domestic:MX:ding-cong-1942-chongqing-artist,丁聪 1942 年在桂林/重庆/成都/昆明美术设计活动条目（《盟贤》第 158 页）,1941-1943,MX,民盟上海市委内部传记汇编《盟贤》,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,
NR-0054,domestic:MX:ding-cong-1942-chongqing-artist,丁聪 1942 年在桂林/重庆/成都/昆明美术设计活动条目（《盟贤》第 158 页）,1941-1943,MX,民盟上海市委内部传记汇编《盟贤》,,access_offline,调档申请 / 现场核验 / 采购扫描；写入 acquisition_required,p3,30,
NR-0055,domestic:MX:ding-cong-1942-chongqing-artist,丁聪 1942 年在桂林/重庆/成都/昆明美术设计活动条目（《盟贤》第 158 页）,1941-1943,MX,民盟上海市委内部传记汇编《盟贤》,,level_review,升级或降级当前等级；提供理由,p1,5,
NR-0056,domestic:MX:shang-ding-1942-journalist-secretary,尚丁 1942 年任黄炎培秘书 + 政团同盟组织协调条目（《盟贤》第 63 页，1942 关键人物活动）,1944-1945,MX,民盟上海市委内部传记汇编《盟贤》,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,
NR-0057,domestic:MX:shang-ding-1942-journalist-secretary,尚丁 1942 年任黄炎培秘书 + 政团同盟组织协调条目（《盟贤》第 63 页，1942 关键人物活动）,1944-1945,MX,民盟上海市委内部传记汇编《盟贤》,,access_offline,调档申请 / 现场核验 / 采购扫描；写入 acquisition_required,p3,30,
NR-0058,domestic:MX:shang-ding-1942-journalist-secretary,尚丁 1942 年任黄炎培秘书 + 政团同盟组织协调条目（《盟贤》第 63 页，1942 关键人物活动）,1944-1945,MX,民盟上海市委内部传记汇编《盟贤》,,level_review,升级或降级当前等级；提供理由,p1,5,
NR-0059,domestic:MX:wang-lingu-1942-art-troupe,王林谷 1942 年入中国艺术剧社条目（《盟贤》，1946-12 入盟）,1944-1945,MX,民盟上海市委内部传记汇编《盟贤》,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,
NR-0060,domestic:MX:wang-lingu-1942-art-troupe,王林谷 1942 年入中国艺术剧社条目（《盟贤》，1946-12 入盟）,1944-1945,MX,民盟上海市委内部传记汇编《盟贤》,,access_offline,调档申请 / 现场核验 / 采购扫描；写入 acquisition_required,p3,30,
NR-0061,domestic:MX:wang-lingu-1942-art-troupe,王林谷 1942 年入中国艺术剧社条目（《盟贤》，1946-12 入盟）,1944-1945,MX,民盟上海市委内部传记汇编《盟贤》,,level_review,升级或降级当前等级；提供理由,p1,5,
NR-0062,domestic:MX:lu-jinhua-1942-yueju-troupe,陆锦花 1942 年入袁雪芬领衔大来剧场条目（《盟贤》，1956-10 入盟）,1944-1945,MX,民盟上海市委内部传记汇编《盟贤》,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,
NR-0063,domestic:MX:lu-jinhua-1942-yueju-troupe,陆锦花 1942 年入袁雪芬领衔大来剧场条目（《盟贤》，1956-10 入盟）,1944-1945,MX,民盟上海市委内部传记汇编《盟贤》,,access_offline,调档申请 / 现场核验 / 采购扫描；写入 acquisition_required,p3,30,
NR-0064,domestic:MX:lu-jinhua-1942-yueju-troupe,陆锦花 1942 年入袁雪芬领衔大来剧场条目（《盟贤》，1956-10 入盟）,1944-1945,MX,民盟上海市委内部传记汇编《盟贤》,,level_review,升级或降级当前等级；提供理由,p1,5,
NR-0065,domestic:RCL:wenliangmo-1942-join-national-anthem,刘良模 1942 年加入民盟条目（《民盟代表人士资料汇编·文化篇》）,1944-1945,RCL,上海市地方志办公室／民盟代表人士资料汇编,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,
NR-0066,domestic:RCL:wenliangmo-1942-join-national-anthem,刘良模 1942 年加入民盟条目（《民盟代表人士资料汇编·文化篇》）,1944-1945,RCL,上海市地方志办公室／民盟代表人士资料汇编,,access_offline,调档申请 / 现场核验 / 采购扫描；写入 acquisition_required,p3,30,
NR-0067,domestic:RCL:wenliangmo-1942-join-national-anthem,刘良模 1942 年加入民盟条目（《民盟代表人士资料汇编·文化篇》）,1944-1945,RCL,上海市地方志办公室／民盟代表人士资料汇编,,level_review,升级或降级当前等级；提供理由,p1,5,
NR-0068,domestic:RCL:textile-engineer-1943-12-join,纺织工程专家 1943 年 12 月加入民盟条目（《民盟代表人士资料汇编·科技篇》）,1944-1945,RCL,上海市地方志办公室／民盟代表人士资料汇编,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,
NR-0069,domestic:RCL:textile-engineer-1943-12-join,纺织工程专家 1943 年 12 月加入民盟条目（《民盟代表人士资料汇编·科技篇》）,1944-1945,RCL,上海市地方志办公室／民盟代表人士资料汇编,,access_offline,调档申请 / 现场核验 / 采购扫描；写入 acquisition_required,p3,30,
NR-0070,domestic:RCL:textile-engineer-1943-12-join,纺织工程专家 1943 年 12 月加入民盟条目（《民盟代表人士资料汇编·科技篇》）,1944-1945,RCL,上海市地方志办公室／民盟代表人士资料汇编,,level_review,升级或降级当前等级；提供理由,p1,5,
NR-0071,domestic:RCL:qian-weichang-1942-phd-meng-vice-chairman,钱伟长 1942 年获多伦多大学博士学位条目（《民盟代表人士资料汇编·领导篇》，1952 入盟，1983-1996 民盟中央副主席）,1944-1945,RCL,上海市地方志办公室／民盟代表人士资料汇编,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,
NR-0072,domestic:RCL:qian-weichang-1942-phd-meng-vice-chairman,钱伟长 1942 年获多伦多大学博士学位条目（《民盟代表人士资料汇编·领导篇》，1952 入盟，1983-1996 民盟中央副主席）,1944-1945,RCL,上海市地方志办公室／民盟代表人士资料汇编,,access_offline,调档申请 / 现场核验 / 采购扫描；写入 acquisition_required,p3,30,
NR-0073,domestic:RCL:qian-weichang-1942-phd-meng-vice-chairman,钱伟长 1942 年获多伦多大学博士学位条目（《民盟代表人士资料汇编·领导篇》，1952 入盟，1983-1996 民盟中央副主席）,1944-1945,RCL,上海市地方志办公室／民盟代表人士资料汇编,,level_review,升级或降级当前等级；提供理由,p1,5,
