identifier,title,date,matched_keywords,is_meng,decision,meng_mentions,people,summary_zh,review_method,evidence_snippet,ia_detail_url
cia-readingroom-document-cia-rdp82-00457r005200490011-3,CIA Reading Room cia-rdp82-00457r005200490011-3: REACTIONS OF VARIOUS CHINESE ELEMENTS TO U.S. FAR EASTERN POLICY,1950-07-07,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,a belief that South Kerea started the war at the instigation of the U.S. after the Jotmson~Bradley visit to Japan. Chinese independent groups interested in farming a so-called third force welcome the U.S. decision to prevent the Commnist invagion of Taiwan and approve of its long-range implications. Die-hard Kuomintang groups on Taiwan are chie€ly concerned ov,https://archive.org/details/cia-readingroom-document-cia-rdp82-00457r005200490011-3
cia-readingroom-document-cia-rdp78-01617a002400030001-1,CIA Reading Room cia-rdp78-01617a002400030001-1: THE WARM PEACE,1950-08-18,"""Democratic Parties"" Peiping; ""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"the internal Communist threat. -Furthermore, there is little likelihood that governmental ‘revenues can be raised appreciably, nor does the tenuous political position of the ‘“Third Force’’ coalition permit major economies through cuts in the heavy expenditures for social welfare. Such a move would almost certainly result: in the collapse of the governing coalit",https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002400030001-1
cia-readingroom-document-cia-rdp78-01617a002400040001-0,CIA Reading Room cia-rdp78-01617a002400040001-0: UNITED NATIONS,1950-08-25,"""third force"" China",False,exclude,无,,未发现民盟名称、民盟前身或核心人物，暂不入库。,local_rules,,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002400040001-0
cia-readingroom-document-cia-rdp78-01617a002400060001-8,CIA Reading Room cia-rdp78-01617a002400060001-8: WESTERN MILITARY DEVELOPMENTS,1950-09-08,Coalition Government China 1946,False,exclude,无,,未发现民盟名称、民盟前身或核心人物，暂不入库。,local_rules,,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002400060001-8
cia-readingroom-document-cia-rdp80-00809a000600350191-1,CIA Reading Room cia-rdp80-00809a000600350191-1: REPORTS ON NATIONAL CULTURE AND EDUCATION,1950-10-05,"""Democratic Parties"" Peiping",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"-wen Jih-pao. REPORTS ON NATIONAL CULTURE AND EDUCATION The following report on-culture and education was presented to the National Committee of the CPPCC (Central People's Political Consultative Conference) on L] dune 1950 by Kuo Mo-jo, Minister of Education. - cae A. Nation-Wide People's Political Education Movement This movement began, when the Central People's g || ve been set up enrolling at least 470,000 persons of al) types, the largest number being intellectuals and students. Various pol",https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000600350191-1
cia-readingroom-document-cia-rdp79-01090a000300050002-2,CIA Reading Room cia-rdp79-01090a000300050002-2: SUMMARIES OF TRENDS AND DEVELOPMENTS,1950-12-12,Coalition Government China 1946,False,exclude,无,,未发现民盟名称、民盟前身或核心人物，暂不入库。,local_rules,,https://archive.org/details/cia-readingroom-document-cia-rdp79-01090a000300050002-2
cia-readingroom-document-cia-rdp79-01090a000300050004-0,CIA Reading Room cia-rdp79-01090a000300050004-0: SUMMARIES OF TRENDS AND DEVELOPMENTS,1950-12-26,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"rawal may occur if the USSR estimated that this action would destroy the UN as such, The Soviet estimate would be that its withdrawal would effect an increase of neutrality or ""third force"" sentiment in some countries, particularly Asian and Arab, to the extent that they would also withdraw from the UN to avoid taking sides in a formal break between the Western a",https://archive.org/details/cia-readingroom-document-cia-rdp79-01090a000300050004-0
cia-readingroom-document-cia-rdp80-00809a000600380636-4,CIA Reading Room cia-rdp80-00809a000600380636-4: CCP EXPANDS AND PUSHES LAND REFORM,1951-03-30,"""Democratic Parties"" Peiping",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"iang level. Approximately 80,000 of them were land-reform working unit cadres in the various local areas. Among these latter were large numbers of representatives of the various democratic parties and revolutionary youth's corps intellectuals. By the end of October 1950, these workers had been sent into all parts of East China to begin work, : Peasants organizations ev",https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000600380636-4
cia-readingroom-document-02733128,CIA Reading Room 02733128: CURRENT INTELLIGENCE BULLETIN - 1951/05/19,1951-05-19,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"ing when their congress meets this week-end. Popularly known as the ""Fourth Force, ' this new political alliance is viewed by some observers as sounding the death knell of the ""Third Force"" coalitions that have governed France since 1947 and have steered a middle course between Communism and .Gaullism. Comment; This development, together with De Gaulle’s recen",https://archive.org/details/cia-readingroom-document-02733128
cia-readingroom-document-cia-rdp82-00457r007800730002-1,CIA Reading Room cia-rdp82-00457r007800730002-1: 1. KWANGSI GUERRILLA ACTIVITIES 2. ACTIVITIES OF THIRD FORCE LEADERS,1951-05-29,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"'ENG Piao and HUANG Hus-p'iao ( & x & ), writer, educator, former ovneN commissioner of education in Kwangsi, and now a guerrilla leader, are trying to establish themselves as a third force element in Kwangsi Guerrillas so far look upon CHANG Jen-min (3% % f& 50X1-HUM former chief of staff of a Nationalist army group under LI Tsung-jen, a the principal leader",https://archive.org/details/cia-readingroom-document-cia-rdp82-00457r007800730002-1
cia-readingroom-document-02895348,CIA Reading Room 02895348: DAILY DIGEST JUN 1 1951,1951-06-01,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"unist . parties. De Gauvlle's intransigence has obliged the newly organized Rightist— oriented ""Fourth Force"" to form numerous electoral alliances with the middle- of-the-road ""Third Force"" which had managed to maintain a government despite the opposition of both extremes in the last Assembly. This further reduces the chances for,a Gaullist landslide and makes it",https://archive.org/details/cia-readingroom-document-02895348
cia-readingroom-document-02003065,CIA Reading Room 02003065: CURRENT INTELLIGENCE BULLETIN - 1951/06/02,1951-06-02,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"parties. Because of his intransigence, the newly organized Rightist- oriented ""Fourth Force"" has been obliged to form numerous electoral alliances with the middle-of-the-road ""Third Force"", which had managed te maintain a government despite the opposition of both extremes in the last Assembly. This development further reduces the chances for a Gaullist landslide",https://archive.org/details/cia-readingroom-document-02003065
cia-readingroom-document-cia-rdp80-00809a000600390649-9,CIA Reading Room cia-rdp80-00809a000600390649-9: SHANGHAI RUSSIAN PAPER NOTES PROGRESS IN CHINESE AGRARIAN REFORMS AND THE AID OF THE USSR,1951-06-13,"""Democratic Parties"" Peiping",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"and peasant societies of the various administrative and provincial regions. (6) The personnel in workers' brigades exceeds 80,000, The brigades include members of the various democratic parties and groups and a large number of re- volutionary youths, in addition to cultural representatives and scientific workers. By the end of October 1950, workers' brigades had been s",https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000600390649-9
cia-readingroom-document-cia-rdp80-00809a000600390662-4,CIA Reading Room cia-rdp80-00809a000600390662-4: NEW ADMINISTRATIVE DIVISIONS OF PEOPLE'S REPUBLIC OF CHINA,1951-06-15,"""Political Consultative"" 1946",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"peing reflected on th- administrative set up of the entire country. A strong Central People's Government has been created and is now being further strengthened. The People's Political Consultative Conference, which elects the Central People's Government Council, is the highest organ of govern- ment control. The following are gubordinate to the council, the chairman of wh",https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000600390662-4
cia-readingroom-document-cia-rdp82-00457r008000450001-7,CIA Reading Room cia-rdp82-00457r008000450001-7: VARIOUS OPINIONS ON STRENGTH OF CHINESE COMMUNIST REGIME,1951-06-28,"""third force"" China",False,exclude,无,,未发现民盟名称、民盟前身或核心人物，暂不入库。,local_rules,,https://archive.org/details/cia-readingroom-document-cia-rdp82-00457r008000450001-7
cia-readingroom-document-cia-rdp80-00809a000600400173-5,CIA Reading Room cia-rdp80-00809a000600400173-5: CHINA'S FUTURE AND A THIRD FORCE,1951-07-03,"""third force"" China; ""third party"" Chiang Kai-shek",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"Ldaded REPRODUCTION OF THIS FORM 1S PROHIBITED. Chapters X and XI, Chung-kuo Ch'ien-tu Yu Ti-san Shih-1i, Chung-kuo Chung-hsing Ch'u-pan She, 1950. CHINA'S FUTURE AND A ""THIRD FORCE"" -- 3 Chang Fei-hsiung [The author, Chang Fei-hsiung (1) /numbers in parentheses refer to appended characters/, is the vice chairman of the Chung-yung (Middle of the Road) P || Fei-hsiung (1) /numbers in parentheses refer to appended characters/, is the vice chairman of the Chung-yung (Middle of the Road) Party, whic",https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000600400173-5
cia-readingroom-document-02740744,CIA Reading Room 02740744: CURRENT INTELLIGENCE BULLETIN - 1951/07/25,1951-07-25,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"l Kwei and Chiang Ching-kuo is rumored to be behind this example of ""thought.: control at its worst."" : Comment: Chiang Kai-shek's fear of defec- tions to the Communists or ""Third Force"" groups has increased the scope and power of Soviet-trained Chiang Ching-kuo's political officers. This _ is the first report indicating the unprecedented power of Ching-kuo vis",https://archive.org/details/cia-readingroom-document-02740744
cia-readingroom-document-cia-rdp79t01146a000300260001-1,CIA Reading Room cia-rdp79t01146a000300260001-1: OFFICE OF CURRENT INTELLIGENCE DAILY DIGEST,1951-07-26,Coalition Government China 1946,False,exclude,无,,未发现民盟名称、民盟前身或核心人物，暂不入库。,local_rules,,https://archive.org/details/cia-readingroom-document-cia-rdp79t01146a000300260001-1
cia-readingroom-document-cia-rdp79t01146a000300270001-0,CIA Reading Room cia-rdp79t01146a000300270001-0: DAILY DIGEST,1951-07-27,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"well as a freer intra-West European exchange of information than is now the case. Dutch policy, based on a strong NATO, fears that the European Army concept might turn into a ""third force"", Dutch military leaders amplified Staf's comments pointing out.that uncertainty exists over deliveries of US military equip- ment and that failure to meet agreed programs will || STERN) ""BY FRANCE. French Consider Cut-back in Defense Program, ‘The French are made. | COMMENT: Growing inflationary pressures — 25",https://archive.org/details/cia-readingroom-document-cia-rdp79t01146a000300270001-0
cia-readingroom-document-cia-rdp79t00975a000300320001-2,CIA Reading Room cia-rdp79t00975a000300320001-2: CENTRAL INTELLIGENCE BULLETIN,1951-08-04,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"y-dominated government to take the public's mind off serious pre-election weaknesses within the party by displaying once more the government's independence and ‘prestige as a ""third force"" in world affairs. Despite its recent protestations, Burma has never seriously expected to receive reparations from Japan. It has seized upon this issue to avoid indicating i",https://archive.org/details/cia-readingroom-document-cia-rdp79t00975a000300320001-2
cia-readingroom-document-02739452,CIA Reading Room 02739452: CURRENT INTELLIGENCE BULLETIN - 1951/08/04,1951-08-04,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"ty-dominated government to take the public's mind off serious pre-election weaknesses within the party by displaying once more the government's independence and ‘prestige as a ""third force"" in world affairs. Despite its recent protestations, Burma has never seriously expected to recéive reparations from Japan. It has seized _ upon this issue to avoid indicating",https://archive.org/details/cia-readingroom-document-02739452
cia-readingroom-document-02002001,CIA Reading Room 02002001: CURRENT INTELLIGENCE BULLETIN - 1951/08/26,1951-08-26,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"as the removal of foreign troops from Japan and the return of Formosa to Communist China. India's shift once again points up the govern- ment's desire to exhibit itself as a ""third force"" in world affairs. By refusing to attend the San Francisco Conference, India separates itself further from the West which it views as tainted with colonialism and imperiali",https://archive.org/details/cia-readingroom-document-02002001
cia-readingroom-document-cia-rdp80-00809a000700020135-8,CIA Reading Room cia-rdp80-00809a000700020135-8: TWO CHINESE WRITERS DISCUSS CAMPAIGN TO SUPPRESS COUNTERREVOLUTIONARIES,1951-11-06,"""Democratic Parties"" Peiping",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"ial for gov- ernment administrators to assume the leadership. Cultural, educational, and se-~ ewity departments must take charge of the whole undertaking, and people from ' all democratic parties and people's organizations must participate to make ‘the propaganda campaign successful. Propaganda methods sheuld be greatly varied. The following techniques have proved effect",https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000700020135-8
cia-readingroom-document-cia-rdp83-00415r009700030006-5,CIA Reading Room cia-rdp83-00415r009700030006-5: AGREEMENT OF 1946 OF REPRESENTATIVES OF CHINESE COMMUNIST PARTY AND MINORITY PARTIES,1951-11-07,Coalition Government China 1946,False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"sed by the contracting parties and passed by the new PCC, 3. The highest guidance on principles and nolitical courses of action in the establishment of the 2eople's Democratic Coalition Government shall be under the leadership of Chairman MAO Tse—tung of the CC>. However, pro- | posals shall be made jointly by the contracting parties and passed by the PCC. hh. All arm || tics, and all movements of democratic individuals to en- large democratic strength and overthrow the traitorous, dictatorial p",https://archive.org/details/cia-readingroom-document-cia-rdp83-00415r009700030006-5
cia-readingroom-document-cia-rdp80-00809a000700030078-1,CIA Reading Room cia-rdp80-00809a000700030078-1: CHINESE CHRISTIAN LEADER VOICES COMPLAINT AGAINST LEIGHTON STUART AND WORLD COUNCIL OF CHURCHES,1951-11-16,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"sing political capital to further US imperialism's aggressive policies. He used religion, he used all sorts of seductive methods, to create in China a third force. He usec that third force to correct Kuomintang corruption and at the same time to obstruct the revolution led by the Communists. This third force consists of liberals and individuals who like and worshi",https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000700030078-1
cia-readingroom-document-00771585,CIA Reading Room 00771585: INTERVIEW WITH GENERAL LI TSUNG-JEN/ HIS RELATIONS WITH DR HU SHIH,1951-11-17,"""third force"" China",False,exclude,无,,未发现民盟名称、民盟前身或核心人物，暂不入库。,local_rules,,https://archive.org/details/cia-readingroom-document-00771585
cia-readingroom-document-cia-rdp79t01146a000500270001-4,CIA Reading Room cia-rdp79t01146a000500270001-4: DAILY DIGEST,1951-11-19,Coalition Government China 1946,False,exclude,无,,未发现民盟名称、民盟前身或核心人物，暂不入库。,local_rules,,https://archive.org/details/cia-readingroom-document-cia-rdp79t01146a000500270001-4
cia-readingroom-document-cia-rdp82-00457r009400520002-3,CIA Reading Room cia-rdp82-00457r009400520002-3: POSSIBLE CHANGES IN CHINESE NATIONALIST GOVERNMENT POSTS,1951-11-20,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"aal of CHOU would afford an opportunity to strengthen the Nationalist position by appointing a more popular man aa chief of the general staff. HSUEH Yueh, influential among auch third force leadera ag CHANG Fa~-kuei, is a possible choice. i Paes An educated Chinese with no known political affiliations reports that the following rumor concerning possible changes",https://archive.org/details/cia-readingroom-document-cia-rdp82-00457r009400520002-3
cia-readingroom-document-cia-rdp79t01146a000500280001-3,CIA Reading Room cia-rdp79t01146a000500280001-3: DAILY DIGEST,1951-11-20,"""third force"" China",False,exclude,无,,未发现民盟名称、民盟前身或核心人物，暂不入库。,local_rules,,https://archive.org/details/cia-readingroom-document-cia-rdp79t01146a000500280001-3
cia-readingroom-document-cia-rdp79t01146a000600010001-5,CIA Reading Room cia-rdp79t01146a000600010001-5: DAILY DIGEST,1951-11-21,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"ent campaigns, many of which have been vociferously acclaimed by Japaner> left-wing Socialist and labor minority eroups, Indian efforts to obtain Japanese support for an Asian ""third force"" movement are therefore’ having an effect contrary to that desired, 25X1 25X1 Comments India in 1948 aspired to lead a ""third force"" of all non- Soviet Asian nations. I",https://archive.org/details/cia-readingroom-document-cia-rdp79t01146a000600010001-5
cia-readingroom-document-cia-rdp82-00457r009400020003-7,"CIA Reading Room cia-rdp82-00457r009400020003-7: LIANG HAN-TS'AO, POTENTIAL THIRD FORCE LEADER",1951-12-06,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"ELLIGENCE AGENCY REPORT NO. INFORMATION REPORT conc. 9” 25X14 are i ty : Fg tbo re ‘af a tess ee Oe DATE: DISTR. 6 DiuG ol . ‘ a i f Fi SUSUR LIANG it aniets'ao, Potential Third Force | NO.OF PAGES 1 Leader o PLACE, 25x A | NO. OF ENCLS. ACQUIRED {LISTED BELOW) 5 DATE OF , . SUPPLEMENT TO INO, arly Sentenber 1951 REPORT NO. leah gsi 25X1X Pe ae ae",https://archive.org/details/cia-readingroom-document-cia-rdp82-00457r009400020003-7
cia-readingroom-document-cia-rdp82-00457r009500150001-4,CIA Reading Room cia-rdp82-00457r009500150001-4: SOUTH CHINA SUB-BUREAU DIRECTIVE ON INVESTIGATION OF THIRD FORCE ACTIVITIES,1951-12-21,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"IA 83-00457R008500#5000 PMFORDIA TION REPORT rr an 25X1A POUNTS¥ Canal tac Mone OATES R 87 Dee ol SUBJECT South China Sub-Dureau Directive on NG. OF PAGES L Investigation of Third Force Activities prace - 2oX1A : NO. OF ENCLS. DATE OF 5X1A SUPPLEMENT TO INFO. REPORT NO, 295X1X le As of mid-August, the South China Sub-DBureau had ordered Sabie: invest",https://archive.org/details/cia-readingroom-document-cia-rdp82-00457r009500150001-4
cia-readingroom-document-02698154,CIA Reading Room 02698154: CURRENT INTELLIGENCE BULLETIN - 1952/02/16,1952-02-16,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"lans to ground its air squadron in Korea (page 3). New Chinese Communist army may be in Korea (page 4). Soviet Union seeking trade with Burma (page 4). French plan attack on ""third force"" group in Indochina (page 5). NEAR EAST. - AFRICA Attempted assassination of Iranian Shah reported (page 6). Iranian Prime Minister considers armed forces unfriendly to h",https://archive.org/details/cia-readingroom-document-02698154
cia-readingroom-document-cia-rdp80-00809a000700040611-7,CIA Reading Room cia-rdp80-00809a000700040611-7: COMMUNIST TAKE-OVER AND SOVIET PENETRATION IN SINKIANG,1952-03-04,Coalition Government China 1946,False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"Soviets to restrain the one laught 2 of the Soviet Army and the Turkestan People's Army, and to concentrate on the poli- tical arena. Akhmed jan Kasimi was directed to Bet up a coalition government together with Chang Chih-chung. Communiet sympathizers were planted in this government und awaited the word to carry out a ""change in government."" The Northwest China pattern o",https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000700040611-7
cia-readingroom-document-02016343,CIA Reading Room 02016343: CURRENT INTELLIGENCE BULLETIN - 1952/03/15,1952-03-15,"""Democratic Parties"" Peiping",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"reement with scheduling the 3.3(h)(2) 3.3(h)(2) 3.5(c). | Approved for Release: 2019/05/08 C02016343 TeP SECRET 3.5(c) . Prospects for a victory of the pro-Italian democratic parties in the Trieste Zone A elections may be jeopardized by the Catholic Action group, which objects on religious grounds-to Christian Democratic cooperation with the other modera",https://archive.org/details/cia-readingroom-document-02016343
cia-readingroom-document-cia-rdp80-00809a000700050219-2,CIA Reading Room cia-rdp80-00809a000700050219-2: SPREADING AND INTENSIFYING THE POLITICAL EDUCATION DRIVE IN CHINA,1952-03-19,"""Democratic Parties"" Peiping",False,exclude,无,,未发现民盟名称、民盟前身或核心人物，暂不入库。,local_rules,,https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000700050219-2
cia-readingroom-document-cia-rdp80-00809a000700060173-2,CIA Reading Room cia-rdp80-00809a000700060173-2: TREATMENT OF RELIGIOUS REFORM MOVEMENT BY CHINESE COMMUNIST PRESS DURING 1951,1952-05-12,"""Democratic Parties"" Peiping",False,exclude,无,,未发现民盟名称、民盟前身或核心人物，暂不入库。,local_rules,,https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000700060173-2
