candidate_id,title,event_date,institution,original_url,page_url,source_type,layer_label,access_status,mime,file_size_bytes,sha256,page_count,page_chain,judgment_basis,gap_theme,concrete_class,probe_status,probe_error,wave,citation_ready,human_verified,verified_at
W6-LOCAL-008,commons_NLC_民主中国的党派.pdf,from_filename_pending,local_scan,,local://data/domestic/grok_cycle_0011_20260801/pdf/commons_NLC_民主中国的党派.pdf,local_primary_or_compiled_scan,contemporaneous_primary_scan,local_file_verified,application/pdf,2046998,5059cb476b5a4806c8749e6ef49f594a80208b060c87f1a26bcd0a81fb8f4085,42,local:data/domestic/grok_cycle_0011_20260801/pdf/commons_NLC_民主中国的党派.pdf,Wave6 新本地绑定；人工确认 period/是否汇编。,other,concrete_primary_scan_local,,,6,False,False,2026-08-02T20:44:54+08:00
W6-LOCAL-009,commons_NLC_和平民主统一建国之路.pdf,from_filename_pending,local_scan,,local://data/domestic/grok_cycle_0007_20260801/pdf/commons_NLC_和平民主统一建国之路.pdf,local_primary_or_compiled_scan,contemporaneous_primary_scan,local_file_verified,application/pdf,2475973,c9eb7a257d19529fd385b377d99fab7f780bee550a5862b0f5fc7db5f03641d0,64,local:data/domestic/grok_cycle_0007_20260801/pdf/commons_NLC_和平民主统一建国之路.pdf,Wave6 新本地绑定；人工确认 period/是否汇编。,other,concrete_primary_scan_local,,,6,False,False,2026-08-02T20:44:54+08:00
W6-LOCAL-010,NLC511-027032013012333-19131_民主同盟文獻_alternate_scan.pdf,from_filename_pending,local_scan,,local://data/domestic/sourcebooks/NLC511-027032013012333-19131_民主同盟文獻_alternate_scan.pdf,local_primary_or_compiled_scan,contemporaneous_primary_scan,local_file_verified,application/pdf,7055868,a24e5e5bf9158ab08e74edfa3d4a8bf4927c10841a5e15321ba7d9cf701034dd,178,local:data/domestic/sourcebooks/NLC511-027032013012333-19131_民主同盟文獻_alternate_scan.pdf,Wave6 新本地绑定；人工确认 period/是否汇编。,other,concrete_primary_scan_local,,,6,False,False,2026-08-02T20:44:54+08:00
W6-LOCAL-011,NLC511-027032016010761-42571_中国民主同盟言论集.pdf,from_filename_pending,local_scan,,local://data/domestic/sourcebooks/NLC511-027032016010761-42571_中国民主同盟言论集.pdf,local_primary_or_compiled_scan,contemporaneous_primary_scan,local_file_verified,application/pdf,7059569,386faf360e73fd31e39d1f0a584877dddc76855f0d0be6157e01e06ac4234ef1,107,local:data/domestic/sourcebooks/NLC511-027032016010761-42571_中国民主同盟言论集.pdf,Wave6 新本地绑定；人工确认 period/是否汇编。,other,concrete_primary_scan_local,,,6,False,False,2026-08-02T20:44:54+08:00
W6-LOCAL-012,commons_NLC_中国民主宪政运动史.pdf,from_filename_pending,local_scan,,local://data/domestic/grok_cycle_0007_20260801/pdf/commons_NLC_中国民主宪政运动史.pdf,local_primary_or_compiled_scan,contemporaneous_primary_scan,local_file_verified,application/pdf,19547520,1ef20be199910fbe03917a561a59346b324fb918d167e260ed134ee3a9c4bad3,436,local:data/domestic/grok_cycle_0007_20260801/pdf/commons_NLC_中国民主宪政运动史.pdf,Wave6 新本地绑定；人工确认 period/是否汇编。,other,concrete_primary_scan_local,,,6,False,False,2026-08-02T20:44:54+08:00
W6-LOCAL-013,commons_NLC_民主周刊.pdf,from_filename_pending,local_scan,,local://data/domestic/grok_cycle_0006_20260801/pdf/commons_NLC_民主周刊.pdf,local_primary_or_compiled_scan,contemporaneous_primary_scan,local_file_verified,application/pdf,59527186,38e7ca88e6b45efca27c7b685fff1ff57c2dc292ca3c1b8972c05994994e8fae,1279,local:data/domestic/grok_cycle_0006_20260801/pdf/commons_NLC_民主周刊.pdf,Wave6 新本地绑定；人工确认 period/是否汇编。,other,concrete_primary_scan_local,,,6,False,False,2026-08-02T20:44:54+08:00
W6-LOCAL-014,GDC2-0193_新中国成立前民盟对政治协商制度的贡献_008.pdf,from_filename_pending,local_scan,,local://data/domestic/official_research_public_20260730/pdf/GDC2-0193_新中国成立前民盟对政治协商制度的贡献_008.pdf,local_primary_or_compiled_scan,local_scan_unclassified,local_file_verified,application/pdf,586939,48c538740b8177fb40fc7efdf019eda91936629175d911365e7fa7d4de04584a,1,local:data/domestic/official_research_public_20260730/pdf/GDC2-0193_新中国成立前民盟对政治协商制度的贡献_008.pdf,Wave6 新本地绑定；人工确认 period/是否汇编。,other,concrete_local_scan,,,6,False,False,2026-08-02T20:44:54+08:00
W6-LOCAL-015,sinica_国共斗争下的自由主义_PublicationDetail_784.pdf,from_filename_pending,local_scan,,local://data/domestic/grok_cycle_0003_20260801/pdf/sinica_国共斗争下的自由主义_PublicationDetail_784.pdf,local_primary_or_compiled_scan,local_scan_unclassified,local_file_verified,application/pdf,1926237,a97bdf981bbbfac4504a69ecf1ad879cdbb4c9698805d02261f573f0f57ffcf0,29,local:data/domestic/grok_cycle_0003_20260801/pdf/sinica_国共斗争下的自由主义_PublicationDetail_784.pdf,Wave6 新本地绑定；人工确认 period/是否汇编。,other,concrete_local_scan,,,6,False,False,2026-08-02T20:44:54+08:00
W6-LOCAL-016,sinica_PublicationDetail_784.pdf,from_filename_pending,local_scan,,local://data/domestic/grok_cycle_0006_20260801/pdf/sinica_PublicationDetail_784.pdf,local_primary_or_compiled_scan,local_scan_unclassified,local_file_verified,application/pdf,1926237,a97bdf981bbbfac4504a69ecf1ad879cdbb4c9698805d02261f573f0f57ffcf0,29,local:data/domestic/grok_cycle_0006_20260801/pdf/sinica_PublicationDetail_784.pdf,Wave6 新本地绑定；人工确认 period/是否汇编。,other,concrete_local_scan,,,6,False,False,2026-08-02T20:44:54+08:00
W6-LOCAL-017,mmzy_202104mx.pdf,from_filename_pending,local_scan,,local://data/domestic/grok_cycle_0003_20260801/pdf/mmzy_202104mx.pdf,local_primary_or_compiled_scan,local_scan_unclassified,local_file_verified,application/pdf,2477320,27c8f6de237347ba1e1fdd561beeab96e17a19a95af931dfa5a7f7fa8924ef91,40,local:data/domestic/grok_cycle_0003_20260801/pdf/mmzy_202104mx.pdf,Wave6 新本地绑定；人工确认 period/是否汇编。,other,concrete_local_scan,,,6,False,False,2026-08-02T20:44:54+08:00
W6-LOCAL-018,sinica_国民党控制下的国会选举_PublicationDetail_645.pdf,from_filename_pending,local_scan,,local://data/domestic/grok_cycle_0003_20260801/pdf/sinica_国民党控制下的国会选举_PublicationDetail_645.pdf,local_primary_or_compiled_scan,local_scan_unclassified,local_file_verified,application/pdf,2485172,444cc1b015f3fb4d336d7e13ff1a6c86baa7c1ff10c39acde2683cfadad8d37e,51,local:data/domestic/grok_cycle_0003_20260801/pdf/sinica_国民党控制下的国会选举_PublicationDetail_645.pdf,Wave6 新本地绑定；人工确认 period/是否汇编。,other,concrete_local_scan,,,6,False,False,2026-08-02T20:44:54+08:00
